Date,1960,1970,1980,1990,2000,2010,Sum
1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,0.1,0.0,0.0,0.0,0.0,0.0,0.1
1969,1.1,0.0,0.0,0.0,0.0,0.0,1.1
1970,1.1,0.5,0.0,0.0,0.0,0.0,1.6
1971,1.1,1.2,0.0,0.0,0.0,0.0,2.3
1972,1.1,1.6,0.0,0.0,0.0,0.0,2.7
1973,1.1,1.7,0.0,0.0,0.0,0.0,2.8
1974,1.1,3.4,0.0,0.0,0.0,0.0,4.4
1975,1.1,3.6,0.0,0.0,0.0,0.0,4.7
1976,1.1,3.7,0.0,0.0,0.0,0.0,4.7
1977,1.0,3.7,0.0,0.0,0.0,0.0,4.7
1978,1.0,4.6,0.0,0.0,0.0,0.0,5.6
1979,1.0,14.3,0.0,0.0,0.0,0.0,15.3
1980,0.9,14.2,0.1,0.0,0.0,0.0,15.2
1981,0.9,14.0,2.0,0.0,0.0,0.0,16.9
1982,0.8,13.9,2.3,0.0,0.0,0.0,17.1
1983,0.8,13.8,2.5,0.0,0.0,0.0,17.2
1984,0.8,13.7,4.1,0.0,0.0,0.0,18.6
1985,0.7,13.6,4.5,0.0,0.0,0.0,18.8
1986,0.7,13.4,5.0,0.0,0.0,0.0,19.2
1987,0.7,13.3,5.3,0.0,0.0,0.0,19.3
1988,0.6,13.1,5.3,0.0,0.0,0.0,19.1
1989,0.6,13.0,5.6,0.0,0.0,0.0,19.2
1990,0.6,12.9,5.6,0.2,0.0,0.0,19.2
1991,0.5,12.7,5.5,0.2,0.0,0.0,19.1
1992,0.5,12.6,5.5,0.3,0.0,0.0,19.0
1993,0.5,12.5,5.5,0.3,0.0,0.0,18.9
1994,0.4,12.4,5.5,1.0,0.0,0.0,19.3
1995,0.4,12.3,5.5,1.1,0.0,0.0,19.3
1996,0.4,12.2,5.4,1.1,0.0,0.0,19.0
1997,0.3,12.0,5.3,3.4,0.0,0.0,21.1
1998,0.3,11.8,5.3,3.8,0.0,0.0,21.2
1999,0.3,11.6,5.2,3.8,0.0,0.0,20.9
2000,0.3,11.4,5.1,3.8,0.0,0.0,20.5
2001,0.3,11.2,5.0,3.7,0.0,0.0,20.2
2002,0.3,11.0,4.8,3.7,0.0,0.0,19.8
2003,0.2,10.7,4.6,3.7,0.0,0.0,19.4
2004,0.2,10.5,4.4,3.7,0.1,0.0,18.9
2005,0.2,10.2,4.2,3.6,0.1,0.0,18.3
2006,0.2,10.0,4.1,3.5,0.1,0.0,17.8
2007,0.2,9.7,3.8,3.5,0.1,0.0,17.2
2008,0.2,9.4,3.6,3.3,0.2,0.0,16.7
2009,0.1,9.2,3.4,3.1,0.2,0.0,16.0
2010,0.1,9.0,3.2,2.9,0.1,0.1,15.4
2011,0.1,8.8,3.0,2.7,0.1,0.1,14.8
2012,0.1,8.5,2.8,2.5,0.1,0.1,14.1
2013,0.1,8.3,2.6,2.3,0.1,0.1,13.4
2014,0.1,8.0,2.4,2.0,0.1,0.1,12.7
2015,0.1,7.7,2.2,1.8,0.1,0.1,12.0
2016,0.1,7.4,2.0,1.6,0.1,0.1,11.2
