Date,1960,1970,1980,1990,2000,2010,Sum
1967,0.5,0.0,0.0,0.0,0.0,0.0,0.5
1968,0.5,0.0,0.0,0.0,0.0,0.0,0.5
1969,5.2,0.0,0.0,0.0,0.0,0.0,5.2
1970,5.2,1.6,0.0,0.0,0.0,0.0,6.8
1971,5.2,2.4,0.0,0.0,0.0,0.0,7.5
1972,5.1,2.9,0.0,0.0,0.0,0.0,8.0
1973,5.1,3.0,0.0,0.0,0.0,0.0,8.1
1974,5.1,8.9,0.0,0.0,0.0,0.0,14.0
1975,5.0,10.3,0.0,0.0,0.0,0.0,15.3
1976,4.9,11.1,0.0,0.0,0.0,0.0,16.1
1977,4.8,11.4,0.0,0.0,0.0,0.0,16.3
1978,4.7,15.5,0.0,0.0,0.0,0.0,20.2
1979,4.6,31.6,0.0,0.0,0.0,0.0,36.2
1980,4.5,31.4,0.7,0.0,0.0,0.0,36.6
1981,4.3,31.2,4.8,0.0,0.0,0.0,40.4
1982,4.2,30.9,5.2,0.0,0.0,0.0,40.4
1983,4.1,30.7,5.9,0.0,0.0,0.0,40.7
1984,4.0,30.3,9.2,0.0,0.0,0.0,43.6
1985,3.9,29.9,10.9,0.0,0.0,0.0,44.8
1986,3.9,29.5,12.4,0.0,0.0,0.0,45.8
1987,3.8,29.0,13.3,0.0,0.0,0.0,46.2
1988,3.8,28.4,13.5,0.0,0.0,0.0,45.7
1989,3.7,27.8,13.9,0.0,0.0,0.0,45.3
1990,3.6,27.1,13.9,0.5,0.0,0.0,45.0
1991,3.5,26.4,13.8,1.4,0.0,0.0,45.1
1992,3.4,25.6,13.7,2.2,0.0,0.0,44.9
1993,3.3,24.7,13.7,2.3,0.0,0.0,44.0
1994,3.2,23.9,13.5,3.4,0.0,0.0,44.0
1995,3.1,23.0,13.2,3.6,0.0,0.0,42.9
1996,3.0,22.1,12.8,3.7,0.0,0.0,41.6
1997,2.8,21.2,12.4,6.4,0.0,0.0,42.8
1998,2.7,20.3,12.0,7.2,0.0,0.0,42.2
1999,2.6,19.5,11.6,7.1,0.0,0.0,40.8
2000,2.4,18.7,11.1,7.0,0.2,0.0,39.5
2001,2.3,17.9,10.6,6.8,0.4,0.0,38.0
2002,2.1,17.2,10.0,6.7,0.4,0.0,36.4
2003,2.0,16.4,9.4,6.6,0.5,0.0,34.9
2004,1.8,15.7,8.8,6.4,0.6,0.0,33.3
2005,1.7,15.0,8.3,6.2,0.6,0.0,31.7
2006,1.5,14.3,7.8,5.9,0.5,0.0,30.1
2007,1.4,13.7,7.3,5.7,0.7,0.0,28.8
2008,1.2,13.1,6.8,5.4,1.1,0.0,27.6
2009,1.1,12.7,6.3,4.9,1.1,0.0,26.2
2010,1.0,12.2,5.9,4.5,1.1,2.1,26.8
2011,1.0,11.8,5.4,4.1,1.0,2.1,25.4
2012,0.9,11.3,5.0,3.8,1.0,2.1,24.0
2013,0.8,10.8,4.6,3.4,0.9,2.1,22.6
2014,0.8,10.4,4.2,3.0,0.9,2.1,21.2
2015,0.7,9.9,3.7,2.6,0.8,2.1,19.8
2016,0.7,9.4,3.3,2.3,0.7,2.1,18.5
