Date,1960,1970,1980,1990,2000,2010,Sum
1967,0.5,0.0,0.0,0.0,0.0,0.0,0.5
1968,0.5,0.0,0.0,0.0,0.0,0.0,0.5
1969,3.9,0.0,0.0,0.0,0.0,0.0,3.9
1970,3.9,1.1,0.0,0.0,0.0,0.0,5.0
1971,3.9,1.1,0.0,0.0,0.0,0.0,5.0
1972,3.9,1.2,0.0,0.0,0.0,0.0,5.1
1973,3.9,1.2,0.0,0.0,0.0,0.0,5.1
1974,3.9,4.9,0.0,0.0,0.0,0.0,8.8
1975,3.8,6.0,0.0,0.0,0.0,0.0,9.8
1976,3.7,6.8,0.0,0.0,0.0,0.0,10.5
1977,3.6,7.0,0.0,0.0,0.0,0.0,10.6
1978,3.5,10.0,0.0,0.0,0.0,0.0,13.5
1979,3.4,15.9,0.0,0.0,0.0,0.0,19.4
1980,3.4,15.8,0.6,0.0,0.0,0.0,19.8
1981,3.3,15.7,1.9,0.0,0.0,0.0,20.9
1982,3.2,15.6,1.9,0.0,0.0,0.0,20.8
1983,3.2,15.4,2.2,0.0,0.0,0.0,20.8
1984,3.1,15.2,3.6,0.0,0.0,0.0,22.0
1985,3.1,15.0,4.8,0.0,0.0,0.0,22.9
1986,3.1,14.7,5.7,0.0,0.0,0.0,23.5
1987,3.0,14.4,6.3,0.0,0.0,0.0,23.7
1988,3.0,14.0,6.4,0.0,0.0,0.0,23.4
1989,3.0,13.5,6.5,0.0,0.0,0.0,22.9
1990,2.9,13.0,6.4,0.3,0.0,0.0,22.6
1991,2.9,12.4,6.4,1.2,0.0,0.0,22.8
1992,2.8,11.7,6.3,1.8,0.0,0.0,22.7
1993,2.8,11.0,6.3,1.9,0.0,0.0,21.9
1994,2.7,10.3,6.1,2.3,0.0,0.0,21.4
1995,2.6,9.6,6.0,2.4,0.0,0.0,20.5
1996,2.5,8.8,5.7,2.5,0.0,0.0,19.5
1997,2.4,8.1,5.4,2.6,0.0,0.0,18.6
1998,2.3,7.4,5.1,3.0,0.0,0.0,17.9
1999,2.2,6.9,4.8,3.0,0.0,0.0,16.9
2000,2.1,6.3,4.4,2.8,0.2,0.0,16.0
2001,2.0,5.8,4.0,2.7,0.3,0.0,14.9
2002,1.9,5.4,3.7,2.6,0.3,0.0,13.8
2003,1.7,4.9,3.3,2.5,0.5,0.0,12.9
2004,1.6,4.4,3.1,2.4,0.5,0.0,11.9
2005,1.4,4.0,2.8,2.2,0.5,0.0,11.0
2006,1.3,3.7,2.6,2.1,0.5,0.0,10.1
2007,1.2,3.4,2.3,1.9,0.7,0.0,9.5
2008,1.1,3.2,2.1,1.7,0.9,0.0,9.0
2009,1.0,2.9,2.0,1.5,0.9,0.0,8.3
2010,0.9,2.7,1.8,1.4,0.9,1.9,9.6
2011,0.8,2.5,1.6,1.2,0.9,2.0,9.0
2012,0.8,2.4,1.4,1.1,0.8,2.0,8.5
2013,0.7,2.2,1.3,0.9,0.8,2.0,8.0
2014,0.7,2.0,1.1,0.8,0.8,2.0,7.4
2015,0.6,1.8,1.0,0.7,0.7,2.0,6.8
2016,0.6,1.6,0.9,0.6,0.6,2.0,6.2
2017,0.5,1.6,0.8,0.5,0.6,2.0,6.0
