year,reserveOil,reserveGas,reserveOE,producedOil,producedGas,producedOE
1990,0.27,0.20,0.50,0.59,0.16,0.79
1991,1.20,0.22,1.45,1.28,0.32,1.66
1992,1.84,0.33,2.22,2.06,0.48,2.63
1993,1.91,0.34,2.29,2.89,0.64,3.65
1994,2.34,0.96,3.48,3.81,0.81,4.80
1995,2.41,1.07,3.68,4.79,0.98,6.03
1996,2.49,1.07,3.75,5.90,1.22,7.45
1997,2.64,3.42,6.47,7.00,1.49,8.91
1998,3.06,3.76,7.28,8.06,1.76,10.33
1999,3.06,3.76,7.28,9.13,2.07,11.77
2000,3.31,3.76,7.53,10.27,2.38,13.31
2001,3.37,3.81,7.65,11.40,2.72,14.89
2002,3.37,3.81,7.65,12.50,3.13,16.51
2003,3.55,3.81,7.83,13.54,3.59,18.16
2004,3.57,3.81,7.86,14.56,4.09,19.82
2005,3.58,3.81,7.87,15.49,4.63,21.44
2006,3.58,3.81,7.87,16.35,5.19,23.01
2007,3.76,3.84,8.09,17.16,5.76,24.51
2008,4.02,3.91,8.45,17.93,6.39,26.04
2009,4.07,3.92,8.51,18.65,7.04,27.56
2010,6.00,4.00,10.59,19.31,7.72,29.01
2011,6.00,4.00,10.59,19.92,8.35,30.39
2012,6.00,4.00,10.59,20.48,9.08,31.82
2013,6.00,4.00,10.59,21.02,9.76,33.17
2014,6.00,4.00,10.59,21.57,10.44,34.55
2015,6.00,4.00,10.59,22.14,11.18,35.99
2016,6.00,4.00,10.59,22.73,11.92,37.46
2017,6.00,4.00,10.59,22.78,11.99,37.59
