Date,1960,1970,1980,1990,2000,2010,Sum
1977-09,0.0046048,0,0,0,0,0,0.0046048
1977-10,0.0165742,0,0,0,0,0,0.0165742
1977-11,0.0281289,1.94732e-05,0,0,0,0,0.0281484
1977-12,0.0413262,0.0044254,0,0,0,0,0.0457516
1978-01,0.0559165,0.00965489,0,0,0,0,0.0655714
1978-02,0.0686485,0.0150014,0,0,0,0,0.0836499
1978-03,0.0807786,0.0204325,0,0,0,0,0.101211
1978-04,0.0929404,0.0265865,0,0,0,0,0.119527
1978-05,0.101596,0.0325327,0,0,0,0,0.134128
1978-06,0.110204,0.0379154,0,0,0,0,0.148119
1978-07,0.119904,0.0452628,0,0,0,0,0.165167
1978-08,0.12892,0.0532046,0,0,0,0,0.182124
1978-09,0.140489,0.0608939,0,0,0,0,0.201383
1978-10,0.146322,0.0684629,0,0,0,0,0.214785
1978-11,0.155427,0.0764352,0,0,0,0,0.231863
1978-12,0.163958,0.080762,0,0,0,0,0.24472
1979-01,0.172608,0.0843949,0,0,0,0,0.257003
1979-02,0.179961,0.0869797,0,0,0,0,0.26694
1979-03,0.190512,0.0889447,0,0,0,0,0.279457
1979-04,0.198224,0.090854,0,0,0,0,0.289078
1979-05,0.20899,0.0925964,0,0,0,0,0.301587
1979-06,0.211532,0.0947272,0,0,0,0,0.306259
1979-07,0.219404,0.0960142,0,0,0,0,0.315419
1979-08,0.230036,0.0981028,0,0,0,0,0.328139
1979-09,0.233338,0.101304,0,0,0,0,0.334641
1979-10,0.23729,0.101013,0,0,0,0,0.338303
1979-11,0.243457,0.103368,0,0,0,0,0.346826
1979-12,0.250297,0.105903,0,0,0,0,0.3562
1980-01,0.255949,0.109146,0,0,0,0,0.365094
1980-02,0.264292,0.11373,0,0,0,0,0.378022
1980-03,0.270709,0.118187,0,0,0,0,0.388896
1980-04,0.276256,0.121003,0,0,0,0,0.39726
1980-05,0.280136,0.125653,0,0,0,0,0.405789
1980-06,0.290436,0.130533,0,0,0,0,0.420969
1980-07,0.291091,0.127509,0,0,0,0,0.4186
1980-08,0.292642,0.128746,0,0,0,0,0.421388
1980-09,0.29534,0.129094,0,0,0,0,0.424434
1980-10,0.296891,0.133975,0,0,0,0,0.430867
1980-11,0.2961,0.135425,0,0,0,0,0.431525
1980-12,0.29603,0.135134,0,0,0,0,0.431164
1981-01,0.298542,0.133416,0,0,0,0,0.431958
1981-02,0.298976,0.129951,0,0,0,0,0.428927
1981-03,0.302673,0.127811,0,0,0,0,0.430484
1981-04,0.306705,0.127361,0,0,0,0,0.434065
1981-05,0.306255,0.125865,0,0,0,0,0.43212
1981-06,0.305833,0.124417,0,0,0,0,0.43025
1981-07,0.307851,0.130465,0,0,0,0,0.438316
1981-08,0.301558,0.122898,0,0,0,0,0.424455
1981-09,0.30318,0.122199,0,0,0,0,0.425379
1981-10,0.30739,0.11958,0,0,0,0,0.42697
1981-11,0.310304,0.117254,0,0,0,0,0.427558
1981-12,0.312185,0.117795,0,0,0,0,0.42998
1982-01,0.313764,0.119053,0,0,0,0,0.432817
1982-02,0.314604,0.120074,0,0,0,0,0.434677
