Date,1960,1970,1980,1990,2000,2010,Sum
1972-05,0.0191936,0,0,0,0,0,0.0191936
1972-06,0.022422,0,0,0,0,0,0.022422
1972-07,0.0253293,0,0,0,0,0,0.0253293
1972-08,0.0279621,0,0,0,0,0,0.0279621
1972-09,0.0298232,0,0,0,0,0,0.0298232
1972-10,0.0313165,0,0,0,0,0,0.0313165
1972-11,0.0320627,0,0,0,0,0,0.0320627
1972-12,0.0331175,0,0,0,0,0,0.0331175
1973-01,0.0355912,0,0,0,0,0,0.0355912
1973-02,0.0351375,0,0,0,0,0,0.0351375
1973-03,0.0357191,0,0,0,0,0,0.0357191
1973-04,0.0346881,0,0,0,0,0,0.0346881
1973-05,0.0345266,0,0,0,0,0,0.0345266
1973-06,0.0345686,0,0,0,0,0,0.0345686
1973-07,0.034021,0,0,0,0,0,0.034021
1973-08,0.0336036,0,0,0,0,0,0.0336036
1973-09,0.033967,0,0,0,0,0,0.033967
1973-10,0.0342304,0,0,0,0,0,0.0342304
1973-11,0.0340701,0,0,0,0,0,0.0340701
1973-12,0.0322174,0,0,0,0,0,0.0322174
1974-01,0.0291875,0,0,0,0,0,0.0291875
1974-02,0.0290744,0,0,0,0,0,0.0290744
1974-03,0.0269429,0,0,0,0,0,0.0269429
1974-04,0.0258112,0,0,0,0,0,0.0258112
1974-05,0.024677,0,0,0,0,0,0.024677
1974-06,0.0244848,0,0,0,0,0,0.0244848
1974-07,0.0257866,0,0,0,0,0,0.0257866
1974-08,0.0265688,0,0,0,0,0,0.0265688
1974-09,0.0273165,0,0,0,0,0,0.0273165
1974-10,0.027839,0,0,0,0,0,0.027839
1974-11,0.0310872,0,0,0,0,0,0.0310872
1974-12,0.0347099,0,0,0,0,0,0.0347099
1975-01,0.0365671,0,0,0,0,0,0.0365671
1975-02,0.0405279,0,0,0,0,0,0.0405279
1975-03,0.0495085,0,0,0,0,0,0.0495085
1975-04,0.0606711,0,0,0,0,0,0.0606711
1975-05,0.0727281,0,0,0,0,0,0.0727281
1975-06,0.0876474,0,0,0,0,0,0.0876474
1975-07,0.105029,0,0,0,0,0,0.105029
1975-08,0.119648,0,0,0,0,0,0.119648
1975-09,0.139393,0,0,0,0,0,0.139393
1975-10,0.157873,0,0,0,0,0,0.157873
1975-11,0.17194,0,0,0,0,0,0.17194
1975-12,0.189482,0,0,0,0,0,0.189482
1976-01,0.209263,0,0,0,0,0,0.209263
1976-02,0.225454,0,0,0,0,0,0.225454
1976-03,0.237766,0,0,0,0,0,0.237766
1976-04,0.241503,0,0,0,0,0,0.241503
1976-05,0.241618,0,0,0,0,0,0.241618
1976-06,0.246647,0,0,0,0,0,0.246647
1976-07,0.252022,0,0,0,0,0,0.252022
1976-08,0.261056,0,0,0,0,0,0.261056
1976-09,0.262669,0,0,0,0,0,0.262669
1976-10,0.270026,0,0,0,0,0,0.270026
1976-11,0.270826,0,0,0,0,0,0.270826
1976-12,0.27887,0,0,0,0,0,0.27887
1977-01,0.286553,0,0,0,0,0,0.286553
1977-02,0.290166,0,0,0,0,0,0.290166
1977-03,0.294482,0,0,0,0,0,0.294482
1977-04,0.297803,0,0,0,0,0,0.297803
1977-05,0.296828,4.37715e-05,0,0,0,0,0.296871
1977-06,0.286064,0.00493894,0,0,0,0,0.291003
1977-07,0.27938,0.00642597,0,0,0,0,0.285806
1977-08,0.275701,0.00642597,0,0,0,0,0.282127
1977-09,0.275593,0.00792126,0,0,0,0,0.283514
1977-10,0.280242,0.0122719,0,0,0,0,0.292513
1977-11,0.294795,0.0168879,0,0,0,0,0.311683
1977-12,0.298737,0.0338533,0,0,0,0,0.332591
1978-01,0.304254,0.0525722,0,0,0,0,0.356826
1978-02,0.308451,0.0701006,0,0,0,0,0.378551
1978-03,0.313417,0.0859995,0,0,0,0,0.399416
1978-04,0.325381,0.10314,0,0,0,0,0.428521
1978-05,0.341219,0.117395,0,0,0,0,0.458614
1978-06,0.35199,0.125679,0,0,0,0,0.477669
1978-07,0.361582,0.141776,0,0,0,0,0.503358
1978-08,0.367039,0.161447,0,0,0,0,0.528486
1978-09,0.371408,0.184148,0,0,0,0,0.555556
1978-10,0.366087,0.205616,0,0,0,0,0.571703
1978-11,0.361058,0.230107,0,0,0,0,0.591165
1978-12,0.356011,0.244828,0,0,0,0,0.600839
1979-01,0.349237,0.260675,0,0,0,0,0.609912
1979-02,0.344796,0.273524,0,0,0,0,0.61832
1979-03,0.34184,0.288463,0,0,0,0,0.630303
1979-04,0.341653,0.30101,0,0,0,0,0.642663
1979-05,0.343119,0.314938,0,0,0,0,0.658057
1979-06,0.344547,0.32539,0,0,0,0,0.669937
1979-07,0.343015,0.337436,0,0,0,0,0.680451
1979-08,0.344892,0.35161,0,0,0,0,0.696501
1979-09,0.346709,0.365452,0,0,0,0,0.71216
1979-10,0.342854,0.373957,0,0,0,0,0.716811
1979-11,0.34478,0.392401,0,0,0,0,0.737182
1979-12,0.34667,0.417079,0,0,0,0,0.763749
1980-01,0.347197,0.443084,0,0,0,0,0.790281
1980-02,0.353137,0.471479,0,0,0,0,0.824616
1980-03,0.355247,0.498214,0,0,0,0,0.853461
1980-04,0.353635,0.519787,0,0,0,0,0.873422
1980-05,0.353716,0.544125,0,0,0,0,0.897841
1980-06,0.357523,0.571471,0,0,0,0,0.928994
1980-07,0.343997,0.573552,0,0,0,0,0.917549
1980-08,0.341139,0.58907,0,0,0,0,0.930209
1980-09,0.337385,0.597965,0,0,0,0,0.93535
1980-10,0.343229,0.613404,0,0,0,0,0.956632
1980-11,0.342171,0.617289,0,0,0,0,0.95946
1980-12,0.343492,0.615437,0,0,0,0,0.958928
1981-01,0.345785,0.611456,0,0,0,0,0.957241
1981-02,0.342094,0.604239,0,0,0,0,0.946333
1981-03,0.341818,0.602289,0,0,0,0,0.944107
1981-04,0.341336,0.603523,0,0,0,0,0.944859
1981-05,0.340343,0.602966,0,0,0,0,0.94331
1981-06,0.336962,0.606095,0,0,0,0,0.943058
1981-07,0.347207,0.628768,0,0,0,0,0.975975
1981-08,0.330306,0.615191,0,0,0,0,0.945496
1981-09,0.329118,0.618462,0,0,0,0,0.947581
1981-10,0.319529,0.6212,0,0,0,0,0.940729
1981-11,0.312848,0.628613,0,0,0,0,0.941461
1981-12,0.304113,0.637704,0,0,0,0,0.941817
1982-01,0.301511,0.645065,0,0,0,0,0.946576
1982-02,0.299085,0.649763,0,0,0,0,0.948847
1982-03,0.295292,0.657727,0,0,0,0,0.95302
1982-04,0.292641,0.667102,0,0,0,0,0.959744
1982-05,0.285377,0.66794,0,0,0,0,0.953318
1982-06,0.281513,0.65929,0,0,0,0,0.940803
1982-07,0.277215,0.654186,0,0,0,0,0.931401
1982-08,0.287771,0.664469,0,0,0,0,0.952239
1982-09,0.283386,0.656265,0,0,0,0,0.939651
1982-10,0.283736,0.65076,0,0,0,0,0.934495
1982-11,0.285744,0.653757,0,0,0,0,0.9395
1982-12,0.288626,0.656036,0,0,0,0,0.944662
1983-01,0.287046,0.65404,0,0,0,0,0.941086
1983-02,0.283398,0.663459,0,0,0,0,0.946857
1983-03,0.281639,0.669575,0,0,0,0,0.951214
1983-04,0.278459,0.674534,0,0,0,0,0.952993
1983-05,0.279717,0.684266,0,0,0,0,0.963983
1983-06,0.281016,0.698641,0,0,0,0,0.979657
1983-07,0.284352,0.711753,0,0,0,0,0.996105
1983-08,0.286094,0.719996,0,0,0,0,1.00609
1983-09,0.285892,0.735643,0,0,0,0,1.02153
1983-10,0.287221,0.760085,0,0,0,0,1.04731
1983-11,0.284746,0.771676,0,0,0,0,1.05642
1983-12,0.283449,0.78463,0,0,0,0,1.06808
1984-01,0.277899,0.804334,0,0,0,0,1.08223
1984-02,0.283099,0.812547,0,0,0,0,1.09565
1984-03,0.284854,0.820913,0,0,0,0,1.10577
1984-04,0.285621,0.829099,0,0,0,0,1.11472
1984-05,0.285666,0.845252,0,0,0,0,1.13092
1984-06,0.285618,0.855786,0,0,0,0,1.1414
1984-07,0.28285,0.858331,0,0,0,0,1.14118
1984-08,0.274213,0.873282,0,0,0,0,1.1475
1984-09,0.274314,0.887219,0,0,0,0,1.16153
1984-10,0.2757,0.899343,0,0,0,0,1.17504
1984-11,0.2762,0.911252,0,0,0,0,1.18745
