Date,1960,1970,1980,1990,2000,2010,Sum
1972,0.0331175,0,0,0,0,0,0.0331175
1973,0.0322174,0,0,0,0,0,0.0322174
1974,0.0347099,0,0,0,0,0,0.0347099
1975,0.189482,0,0,0,0,0,0.189482
1976,0.27887,0,0,0,0,0,0.27887
1977,0.315194,0.0173962,0,0,0,0,0.332591
1978,0.432972,0.167867,0,0,0,0,0.600839
1979,0.490171,0.273578,0,0,0,0,0.763749
1980,0.514927,0.444001,0,0,0,0,0.958928
1981,0.493264,0.448553,0,0,0,0,0.941817
1982,0.464549,0.480113,0,0,0,0,0.944662
1983,0.468875,0.599205,0,0,0,0,1.06808
1984,0.449153,0.749759,0,0,0,0,1.19891
1985,0.388559,0.886445,0,0,0,0,1.275
1986,0.294643,1.06274,0,0,0,0,1.35739
1987,0.289739,1.24883,0,0,0,0,1.53857
1988,0.304932,1.37834,0,0,0,0,1.68327
1989,0.316619,1.74567,0,0,0,0,2.06229
1990,0.282935,1.78812,0.0844633,0,0,0,2.15551
1991,0.28238,1.96923,0.135001,0,0,0,2.38661
1992,0.304587,2.20491,0.151651,0,0,0,2.66115
1993,0.273623,2.31031,0.218817,0,0,0,2.80275
1994,0.292514,2.32073,0.534321,0,0,0,3.14757
1995,0.341578,2.30155,0.729504,0,0,0,3.37264
1996,0.347209,2.49027,1.02652,0.00136111,0,0,3.86535
1997,0.357255,2.57,1.06892,0.0071563,0,0,4.00334
1998,0.335854,2.3657,1.07347,0.108838,0,0,3.88387
1999,0.323233,2.25346,1.22289,0.158208,0,0,3.95779
2000,0.42712,2.10029,1.34062,0.318645,0,0,4.18668
2001,0.4238,2.04842,1.49029,0.371742,0,0,4.33425
2002,0.426259,2.10771,1.60909,0.309302,0,0,4.45236
2003,0.433826,2.07028,1.63832,0.367512,0,0,4.50994
2004,0.461033,2.00033,1.59062,0.489083,0,0,4.54106
2005,0.451518,1.90006,1.49754,0.582296,0.0101384,0,4.44155
2006,0.441688,1.74014,1.33544,0.725432,0.0580577,0,4.30075
2007,0.375764,1.71256,1.31651,0.649351,0.0531197,0,4.1073
2008,0.333789,1.57842,1.29046,0.920675,0.0637638,0,4.18711
2009,0.293416,1.31271,1.27151,1.17874,0.0923913,0,4.14876
2010,0.24411,1.32198,1.21404,1.10173,0.104337,0,3.9862
2011,0.212552,1.12179,1.26946,1.07785,0.103692,0,3.78534
2012,0.18649,1.29646,1.24472,1.04551,0.114177,0.00145856,3.88882
2013,0.162115,1.22601,1.12437,1.04372,0.153049,0.00253237,3.71179
2014,0.181414,1.2479,1.13003,1.04812,0.151805,0.00477592,3.76405
2015,0.177751,1.43816,1.19198,0.980401,0.172601,0.00590174,3.96679
2016,0.171059,1.46554,1.14464,0.923937,0.284809,0.00937829,3.99937
2017,0.170852,1.4764,1.14364,0.924459,0.29088,0.00949549,4.01572
