fldName,fldDiscoveryYear,percentageProducedOil,percentageProducedGas,percentageProducedOE
33/9-6 DELTA,1976,100.0,,
ALBUSKJELL,1972,100.0,100.0,100.0
ALVE,1990,83.3,70.5,72.8
ALVHEIM,1998,66.4,42.9,62.6
ATLA,2010,66.7,50.0,53.3
BALDER,1967,84.6,78.9,84.5
BLANE,1989,75.0,,75.0
BRAGE,1980,93.6,64.3,90.2
BRYNHILD,1992,33.3,,33.3
BØYLA,2009,23.5,50.0,25.0
COD,1968,100.0,100.0,100.0
DRAUGEN,1984,94.8,94.1,94.6
EDDA,1972,100.0,100.0,100.0
EDVARD GRIEG,2007,0.8,0.0,0.7
EKOFISK,1969,84.1,90.9,85.9
ELDFISK,1970,81.4,94.8,85.5
EMBLA,1988,84.4,67.8,78.6
ENOCH,1985,100.0,,100.0
FLYNDRE,1974,0.0,0.0,0.0
FRAM,1990,83.0,37.4,71.0
FRAM H-NORD,2007,57.1,,57.1
FRIGG,1971,,100.0,100.0
FRØY,1987,100.0,100.0,100.0
GAUPE,1985,100.0,100.0,100.0
GIMLE,2004,100.0,88.9,97.6
GINA KROG,1978,0.0,0.0,0.0
GJØA,1989,74.2,45.4,51.3
GLITNE,1995,100.0,,100.0
GOLIAT,2000,0.0,,0.0
GRANE,1991,71.2,,71.2
GUDRUN,1975,35.3,35.5,34.5
GULLFAKS,1978,95.6,100.0,96.0
GULLFAKS SØR,1978,77.9,49.9,59.4
GUNGNE,1982,50.0,96.7,96.3
GYDA,1980,99.4,98.4,99.3
HANZ,1997,0.0,0.0,0.0
HEIDRUN,1985,81.5,34.5,70.6
HEIMDAL,1972,100.0,100.0,100.0
HOD,1974,93.2,94.4,91.0
HULDRA,1982,100.0,100.0,100.0
HYME,2009,38.1,33.3,38.4
ISLAY,2008,,100.0,100.0
IVAR AASEN,2008,0.0,0.0,0.0
JETTE,2009,80.0,,80.0
JOHAN SVERDRUP,2010,0.0,0.0,0.0
JOTUN,1994,99.6,81.8,98.8
KNARR,2008,14.6,50.0,15.5
KRISTIN,1997,83.5,76.9,80.3
KVITEBJØRN,1994,72.8,63.0,62.3
LILLE-FRIGG,1975,100.0,100.0,100.0
MARIA,2010,0.0,0.0,0.0
MARTIN LINGE,1978,0.0,0.0,0.0
MARULK,1992,40.0,50.0,49.4
MIKKEL,1987,64.5,58.5,60.7
MIME,1982,100.0,100.0,100.0
MORVIN,2001,65.3,53.2,58.8
MURCHISON,1975,100.0,100.0,100.0
NJORD,1986,89.9,54.1,71.7
NORDØST FRIGG,1974,,100.0,100.0
NORNE,1992,97.6,66.0,93.5
ODIN,1974,,100.0,100.0
ORMEN LANGE,1997,,53.0,53.5
OSEBERG,1979,92.3,35.3,78.7
OSEBERG SØR,1984,75.0,48.4,67.5
OSEBERG ØST,1981,70.6,75.0,70.2
OSELVAR,1991,55.6,60.0,57.1
REV,2001,87.5,100.0,97.1
RINGHORNE ØST,2003,72.0,66.7,71.9
SIGYN,1982,12.5,89.5,91.8
SKARV,1998,48.0,24.2,30.2
SKIRNE,1990,87.0,100.0,97.6
SKULD,2008,51.0,66.7,53.5
SLEIPNER VEST,1974,41.7,92.8,92.9
SLEIPNER ØST,1981,50.0,99.4,99.6
SNORRE,1979,75.7,95.5,76.8
SNØHVIT,1984,,15.7,16.8
STATFJORD,1974,99.0,88.0,96.6
STATFJORD NORD,1977,87.7,104.5,87.9
STATFJORD ØST,1976,97.9,100.0,95.3
SVALIN,1992,39.0,,39.0
SYGNA,1996,90.2,,90.2
TAMBAR,1983,95.1,95.5,91.2
TAMBAR ØST,2007,100.0,,100.0
TOMMELITEN GAMMA,1978,100.0,100.0,100.0
TOR,1970,100.0,100.0,100.0
TORDIS,1987,88.2,89.6,88.3
TROLL,1979,88.9,37.8,46.0
TRYM,1990,75.0,62.5,66.1
TUNE,1995,106.1,105.4,105.4
TYRIHANS,1983,72.2,9.3,33.3
ULA,1976,88.8,100.0,89.0
URD,2000,78.7,75.0,79.0
VALE,1991,80.0,72.0,76.0
VALEMON,1985,6.4,6.2,5.8
VALHALL,1975,77.6,80.7,77.6
VARG,1984,99.4,66.7,98.8
VEGA,1981,58.5,39.6,40.5
VESLEFRIKK,1981,98.2,63.3,94.9
VEST EKOFISK,1970,100.0,100.0,100.0
VIGDIS,1986,83.5,100.0,83.7
VILJE,2003,79.1,,82.8
VISUND,1986,75.2,17.2,36.6
VISUND SØR,2008,63.0,26.7,33.7
VOLUND,1994,66.4,66.7,66.4
VOLVE,1993,95.1,100.0,95.8
YME,1987,100.0,,100.0
YTTERGRYTA,2007,100.0,100.0,100.0
ØST FRIGG,1973,,100.0,100.0
ÅSGARD,1981,87.7,72.8,77.7
AASTA HANSTEEN,1997,,0.0,0.0
