fldName,fldDiscoveryYear,percentageProducedOil,percentageProducedGas,percentageProducedOE
TAMBAR ØST,2007,100.0,,100.0
YTTERGRYTA,2007,100.0,100.0,100.0
ISLAY,2008,,100.0,100.0
GIMLE,2004,100.0,88.9,97.6
REV,2001,87.5,100.0,97.1
VILJE,2003,79.1,,82.8
JETTE,2009,80.0,,80.0
URD,2000,78.7,75.0,79.0
RINGHORNE ØST,2003,72.0,66.7,71.9
MORVIN,2001,65.3,53.2,58.8
FRAM H-NORD,2007,57.1,,57.1
SKULD,2008,51.0,66.7,53.5
ATLA,2010,66.7,50.0,53.3
HYME,2009,38.1,33.3,38.4
VISUND SØR,2008,63.0,26.7,33.7
BØYLA,2009,23.5,50.0,25.0
KNARR,2008,14.6,50.0,15.5
EDVARD GRIEG,2007,0.8,0.0,0.7
GOLIAT,2000,0.0,,0.0
IVAR AASEN,2008,0.0,0.0,0.0
JOHAN SVERDRUP,2010,0.0,0.0,0.0
MARIA,2010,0.0,0.0,0.0
