,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
0,33/9-6 DELTA,2009,7,0.00025,0.0,-4e-05,0.0,0.00021,0.0005099999999999999,44576
1,33/9-6 DELTA,2009,8,0.00325,0.0,0.00014,0.0,0.00339,0.00063,44576
2,33/9-6 DELTA,2009,9,0.00317,0.0,0.0001,0.0,0.0032700000000000003,0.00316,44576
3,33/9-6 DELTA,2009,10,0.00294,0.0,0.00011999999999999999,0.0,0.0030600000000000002,0.00535,44576
4,33/9-6 DELTA,2009,11,-1e-05,0.0,-4e-05,0.0,-5e-05,0.0,44576
5,33/9-6 DELTA,2009,12,0.00062,0.0,-2e-05,0.0,0.0006,0.0009599999999999999,44576
6,33/9-6 DELTA,2010,1,0.00298,0.0,8e-05,0.0,0.00305,0.00079,44576
7,33/9-6 DELTA,2010,2,0.0026,0.0,0.0001,0.0,0.0027,0.00451,44576
8,33/9-6 DELTA,2010,3,0.00302,0.0,0.00015,0.0,0.00317,0.0068200000000000005,44576
9,33/9-6 DELTA,2010,4,0.00183,0.0,2e-05,0.0,0.00185,0.009179999999999999,44576
10,33/9-6 DELTA,2010,5,0.00314,0.0,0.0001,0.0,0.00324,0.00698,44576
11,33/9-6 DELTA,2010,6,0.00168,0.0,2.9999999999999997e-05,0.0,0.0017100000000000001,0.00267,44576
12,33/9-6 DELTA,2010,7,0.00282,0.0,-2e-05,0.0,0.0028,0.0036200000000000004,44576
13,33/9-6 DELTA,2010,8,0.00231,0.0,0.0,0.0,0.00231,0.00307,44576
14,33/9-6 DELTA,2010,9,-2e-05,0.0,0.0,0.0,-2e-05,0.0,44576
15,33/9-6 DELTA,2010,10,0.00047999999999999996,0.0,-0.00061,0.0,-0.00013000000000000002,0.0,44576
16,33/9-6 DELTA,2010,11,0.0,0.0,-8e-05,0.0,-8e-05,0.0,44576
17,33/9-6 DELTA,2010,12,0.00049,0.0,0.0,0.0,0.00049,0.00075,44576
18,33/9-6 DELTA,2011,1,-1e-05,0.0,0.0,0.0,-1e-05,0.0,44576
19,33/9-6 DELTA,2011,2,0.00109,0.0,0.0,0.0,0.00109,0.00139,44576
20,33/9-6 DELTA,2011,3,0.001,0.0,0.0,0.0,0.001,0.00141,44576
21,33/9-6 DELTA,2011,4,0.00237,0.0,0.0,0.0,0.00237,0.00295,44576
22,33/9-6 DELTA,2011,5,0.00251,0.0,0.0,0.0,0.00251,0.00079,44576
23,33/9-6 DELTA,2011,6,0.0015199999999999999,0.0,0.0,0.0,0.0015199999999999999,9e-05,44576
24,33/9-6 DELTA,2011,7,0.00186,0.0,0.0,0.0,0.00186,0.00011,44576
25,33/9-6 DELTA,2011,8,0.00253,0.0,0.0,0.0,0.00253,0.00015,44576
26,33/9-6 DELTA,2011,9,0.00207,0.0,0.0,0.0,0.00207,0.00011999999999999999,44576
27,33/9-6 DELTA,2011,10,0.00047999999999999996,0.0,0.0,0.0,0.00047999999999999996,4e-05,44576
28,33/9-6 DELTA,2011,11,0.00199,0.0,0.0,0.0,0.00199,0.00018,44576
29,33/9-6 DELTA,2011,12,0.00148,0.0,0.0,0.0,0.00148,0.00014,44576
30,33/9-6 DELTA,2012,1,0.00165,0.0,0.0,0.0,0.00165,0.00047999999999999996,44576
31,33/9-6 DELTA,2012,2,0.00059,0.0,0.0,0.0,0.00059,0.00039,44576
32,33/9-6 DELTA,2012,3,0.0011300000000000001,0.0,0.0,0.0,0.0011300000000000001,0.00081,44576
33,33/9-6 DELTA,2012,4,-1e-05,0.0,0.0,0.0,-1e-05,0.0,44576
34,33/9-6 DELTA,2012,5,0.00025,0.0,0.0,0.0,0.00025,0.00022999999999999998,44576
35,33/9-6 DELTA,2012,6,0.0012,0.0,0.0,0.0,0.0012,0.00025,44576
36,33/9-6 DELTA,2012,7,0.00242,0.0,0.0,0.0,0.00242,0.00047999999999999996,44576
37,33/9-6 DELTA,2012,8,0.0014199999999999998,0.0,0.0,0.0,0.0014199999999999998,0.00026000000000000003,44576
38,33/9-6 DELTA,2012,9,2.9999999999999997e-05,0.0,0.0,0.0,2.9999999999999997e-05,2e-05,44576
39,33/9-6 DELTA,2012,10,0.00235,0.0,0.0,0.0,0.00235,0.0004,44576
40,33/9-6 DELTA,2012,11,0.00147,0.0,0.0,0.0,0.00147,0.00035,44576
41,33/9-6 DELTA,2012,12,0.0008699999999999999,0.0,0.0,0.0,0.0008699999999999999,0.00021,44576
