,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
478,ATLA,2012,10,0.013,0.01909,0.0,0.0,0.03209,0.0,21106284
479,ATLA,2012,11,0.01594,0.02737,0.0,0.0,0.04331,0.0,21106284
480,ATLA,2012,12,0.009470000000000001,0.0,0.0,0.0,0.009470000000000001,0.0,21106284
481,ATLA,2013,1,0.006490000000000001,0.0,0.0,0.0,0.006490000000000001,0.0,21106284
482,ATLA,2013,2,1e-05,0.0,0.0,0.0,1e-05,0.0,21106284
483,ATLA,2013,3,0.013580000000000002,0.0,0.0,0.0,0.013580000000000002,0.0,21106284
484,ATLA,2013,4,0.01462,0.02446,0.0,0.0,0.03907,0.0,21106284
485,ATLA,2013,5,0.0057,0.03273,0.0,0.0,0.038419999999999996,0.0,21106284
486,ATLA,2013,6,0.00492,0.00992,0.0,0.0,0.01484,0.0,21106284
487,ATLA,2013,7,0.00642,0.004070000000000001,0.0,0.0,0.010490000000000001,0.0,21106284
488,ATLA,2013,8,0.0072900000000000005,0.0012900000000000001,0.0,0.0,0.008579999999999999,0.0,21106284
489,ATLA,2013,9,0.00095,0.00229,0.0,0.0,0.00324,0.0,21106284
490,ATLA,2013,10,0.00535,0.0,0.0,0.0,0.00535,0.0,21106284
491,ATLA,2013,11,0.0032,0.00018,0.0,0.0,0.0033799999999999998,0.0,21106284
492,ATLA,2013,12,0.0035,0.0,0.0,0.0,0.0035,0.0,21106284
493,ATLA,2014,1,0.0038299999999999996,0.012329999999999999,0.0,0.0,0.01616,0.0,21106284
494,ATLA,2014,2,0.00359,0.020730000000000002,0.0,0.0,0.02431,0.0,21106284
495,ATLA,2014,3,0.00279,0.03134,0.0,0.0,0.03413,0.0,21106284
496,ATLA,2014,4,0.0041,0.01872,0.0,0.0,0.02282,0.0,21106284
497,ATLA,2014,5,0.00107,0.0,0.0,0.0,0.00107,0.0,21106284
498,ATLA,2014,6,0.0,0.012209999999999999,0.0,0.0,0.012209999999999999,0.0,21106284
499,ATLA,2014,7,0.0054399999999999995,0.025689999999999998,0.0,0.0,0.031139999999999998,0.0,21106284
500,ATLA,2014,8,0.0017100000000000001,0.02027,0.0,0.0,0.02197,0.0,21106284
501,ATLA,2014,9,0.00418,0.02416,0.0,0.0,0.028339999999999997,0.0,21106284
502,ATLA,2014,10,0.00343,0.03645,0.0,0.0,0.03988,0.0,21106284
503,ATLA,2014,11,0.0027199999999999998,0.01264,0.0,0.0,0.01535,0.0,21106284
504,ATLA,2014,12,0.00206,0.027710000000000002,0.0,0.0,0.02976,0.0,21106284
505,ATLA,2015,1,0.0033399999999999997,0.02487,0.0,0.0,0.028210000000000002,0.0,21106284
506,ATLA,2015,2,0.00231,0.01695,0.0,0.0,0.01926,0.0,21106284
507,ATLA,2015,3,0.00285,0.01341,0.0,0.0,0.01625,0.0,21106284
508,ATLA,2015,4,0.00271,0.0324,0.0,0.0,0.03511,0.0,21106284
509,ATLA,2015,5,0.0027300000000000002,0.01906,0.0,0.0,0.02179,0.0,21106284
510,ATLA,2015,6,0.00214,0.022180000000000002,0.0,0.0,0.024319999999999998,0.0,21106284
511,ATLA,2015,7,0.00158,0.013309999999999999,0.0,0.0,0.01489,0.0,21106284
512,ATLA,2015,8,0.0021100000000000003,0.01266,0.0,0.0,0.014769999999999998,0.0,21106284
513,ATLA,2015,9,0.0018100000000000002,0.0123,0.0,0.0,0.01411,0.0,21106284
514,ATLA,2015,10,0.0013,0.02793,0.0,0.0,0.029230000000000003,0.0,21106284
515,ATLA,2015,11,0.00224,0.056029999999999996,0.0,0.0,0.05827,0.0,21106284
516,ATLA,2015,12,0.00187,0.06439,0.0,0.0,0.06626,0.0,21106284
517,ATLA,2016,1,0.0016699999999999998,0.06442,0.0,0.0,0.06608,0.00131,21106284
518,ATLA,2016,2,0.00205,0.05985,0.0,0.0,0.06191,0.00131,21106284
519,ATLA,2016,3,0.00271,0.05705,0.0,0.0,0.05976,0.00084,21106284
520,ATLA,2016,4,0.0,0.04288,0.0,0.0,0.04288,0.0,21106284
521,ATLA,2016,5,0.0,0.052579999999999995,0.0,0.0,0.052579999999999995,2.9999999999999997e-05,21106284
522,ATLA,2016,6,0.00078,0.04032,0.0,0.0,0.0411,0.00028,21106284
523,ATLA,2016,7,0.0019399999999999999,0.0333,0.0,0.0,0.03524,0.00015,21106284
524,ATLA,2016,8,0.0,0.016909999999999998,0.0,0.0,0.016909999999999998,0.0,21106284
525,ATLA,2016,9,0.00183,0.038130000000000004,0.0,0.0,0.03996,0.0,21106284
