,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
526,BALDER,1991,5,0.01948,0.0,0.0,0.0,0.01948,0.0,43562
527,BALDER,1991,6,0.02696,0.0,0.0,0.0,0.02696,0.0,43562
528,BALDER,1991,7,0.03225,0.0,0.0,0.0,0.03225,0.0,43562
529,BALDER,1991,8,0.02055,0.0,0.0,0.0,0.02055,0.0,43562
530,BALDER,1991,9,0.02932,0.0,0.0,0.0,0.02932,0.0,43562
531,BALDER,1999,10,0.18143,0.0,0.0,0.0,0.18143,0.0,43562
532,BALDER,1999,11,0.3247,0.0,0.0,0.0,0.3247,0.0,43562
533,BALDER,1999,12,0.37508,0.0,0.0,0.0,0.37508,0.0059,43562
534,BALDER,2000,1,0.36884,0.0,0.0,0.0,0.36884,0.02588,43562
535,BALDER,2000,2,0.33987,0.0,0.0,0.0,0.33987,0.034089999999999995,43562
536,BALDER,2000,3,0.37401999999999996,0.0,0.0,0.0,0.37401999999999996,0.10784,43562
537,BALDER,2000,4,0.35999000000000003,0.0,0.0,0.0,0.35999000000000003,0.09137,43562
538,BALDER,2000,5,0.35973,0.0,0.0,0.0,0.35973,0.0981,43562
539,BALDER,2000,6,0.34205,0.0,0.0,0.0,0.34205,0.08286,43562
540,BALDER,2000,7,0.31716,0.0,0.0,0.0,0.31716,0.11648,43562
541,BALDER,2000,8,0.31274,0.0,0.0,0.0,0.31274,0.12002,43562
542,BALDER,2000,9,0.29559,0.0,0.0,0.0,0.29559,0.11325999999999999,43562
543,BALDER,2000,10,0.33776,0.0,0.0,0.0,0.33776,0.14164000000000002,43562
544,BALDER,2000,11,0.29458,0.0,0.0,0.0,0.29458,0.13203,43562
545,BALDER,2000,12,0.31568,0.0,0.0,0.0,0.31568,0.14804,43562
546,BALDER,2001,1,0.30062,0.0,0.0,0.0,0.30062,0.17624,43562
547,BALDER,2001,2,0.22696,0.0,0.0,0.0,0.22696,0.11737,43562
548,BALDER,2001,3,0.24638000000000002,0.0,0.0,0.0,0.24638000000000002,0.12480999999999999,43562
549,BALDER,2001,4,0.33501,0.0,0.0,0.0,0.33501,0.13589,43562
550,BALDER,2001,5,0.3476,0.0,0.0,0.0,0.3476,0.11705,43562
551,BALDER,2001,6,0.35773,0.0,0.0,0.0,0.35773,0.08945,43562
552,BALDER,2001,7,0.29754,0.0,0.0,0.0,0.29754,0.07704,43562
553,BALDER,2001,8,0.33897,0.0,0.0,0.0,0.33897,0.11932000000000001,43562
554,BALDER,2001,9,0.35628000000000004,0.0,0.0,0.0,0.35628000000000004,0.14139000000000002,43562
555,BALDER,2001,10,0.38326,0.0,0.0,0.0,0.38326,0.15677,43562
556,BALDER,2001,11,0.34621,0.0,0.0,0.0,0.34621,0.16976,43562
557,BALDER,2001,12,0.35147,0.0,0.0,0.0,0.35147,0.1544,43562
558,BALDER,2002,1,0.34615,0.0,0.0,0.0,0.34615,0.1897,43562
559,BALDER,2002,2,0.20986,0.0,0.0,0.0,0.20986,0.10252,43562
560,BALDER,2002,3,0.35298,0.0,0.0,0.0,0.35298,0.20182,43562
561,BALDER,2002,4,0.29901,0.0,0.0,0.0,0.29901,0.20054,43562
562,BALDER,2002,5,0.23221999999999998,0.0,0.0,0.0,0.23221999999999998,0.14168,43562
563,BALDER,2002,6,0.30475,0.0,0.0,0.0,0.30475,0.22059,43562
564,BALDER,2002,7,0.30928,0.0,0.0,0.0,0.30928,0.23459000000000002,43562
565,BALDER,2002,8,0.30159,0.0,0.0,0.0,0.30159,0.14215,43562
566,BALDER,2002,9,0.27723000000000003,0.0,0.0,0.0,0.27723000000000003,0.24191,43562
567,BALDER,2002,10,0.27684000000000003,0.0,0.0,0.0,0.27684000000000003,0.22380999999999998,43562
568,BALDER,2002,11,0.26566999999999996,0.0,0.0,0.0,0.26566999999999996,0.22605999999999998,43562
569,BALDER,2002,12,0.26049,0.0,0.0,0.0,0.26049,0.24518,43562
570,BALDER,2003,1,0.24523000000000003,0.0,0.0,0.0,0.24523000000000003,0.20688,43562
571,BALDER,2003,2,0.27731,0.0,0.0,0.0,0.27731,0.17973,43562
572,BALDER,2003,3,0.33211999999999997,0.0,0.0,0.0,0.33211999999999997,0.19685,43562
573,BALDER,2003,4,0.36327,0.0,0.0,0.0,0.36327,0.20182,43562
574,BALDER,2003,5,0.34696,0.0,0.0,0.0,0.34696,0.15099,43562
575,BALDER,2003,6,0.34421,0.0,0.0,0.0,0.34421,0.1488,43562
576,BALDER,2003,7,0.32533,0.0,0.0,0.0,0.32533,0.25323,43562
577,BALDER,2003,8,0.24785,0.0,0.0,0.0,0.24785,0.18029,43562
578,BALDER,2003,9,0.35253,0.0,0.0,0.0,0.35253,0.21859,43562
579,BALDER,2003,10,0.36554000000000003,0.00105,0.0,0.0,0.36659,0.12915,43562
580,BALDER,2003,11,0.39578,0.016059999999999998,0.0,0.0,0.41183000000000003,0.16562000000000002,43562
581,BALDER,2003,12,0.35333000000000003,0.01465,0.0,0.0,0.36796999999999996,0.13136,43562
582,BALDER,2004,1,0.40033,0.01821,0.0,0.0,0.41853999999999997,0.20124,43562
583,BALDER,2004,2,0.39536,0.01662,0.0,0.0,0.41197,0.19935,43562
584,BALDER,2004,3,0.4039,0.01722,0.0,0.0,0.42112,0.20626999999999998,43562
585,BALDER,2004,4,0.50961,0.025869999999999997,0.0,0.0,0.5354899999999999,0.2427,43562
586,BALDER,2004,5,0.5529,0.02536,0.0,0.0,0.57826,0.28755,43562
587,BALDER,2004,6,0.5372100000000001,0.024630000000000003,0.0,0.0,0.56185,0.26721999999999996,43562
588,BALDER,2004,7,0.59783,0.02461,0.0,0.0,0.62243,0.29391999999999996,43562
589,BALDER,2004,8,0.59783,0.01618,0.0,0.0,0.614,0.242,43562
590,BALDER,2004,9,0.50317,0.0,0.0,0.0,0.50317,0.15683,43562
591,BALDER,2004,10,0.50233,0.0,0.0,0.0,0.50233,0.21155,43562
592,BALDER,2004,11,0.43088000000000004,0.00117,0.0,0.0,0.43205,0.10178,43562
593,BALDER,2004,12,0.61456,0.02454,0.0,0.0,0.6391,0.21661999999999998,43562
594,BALDER,2005,1,0.57191,0.022369999999999998,0.0,0.0,0.59428,0.19910999999999998,43562
595,BALDER,2005,2,0.55,0.022019999999999998,0.0,0.0,0.57202,0.20025,43562
596,BALDER,2005,3,0.6168,0.02568,0.0,0.0,0.64248,0.26895,43562
597,BALDER,2005,4,0.58815,0.023780000000000003,0.0,0.0,0.61193,0.23961,43562
598,BALDER,2005,5,0.5956100000000001,0.0177,0.0,0.0,0.61331,0.22941999999999999,43562
599,BALDER,2005,6,0.5716600000000001,0.016819999999999998,0.0,0.0,0.5884699999999999,0.23425,43562
600,BALDER,2005,7,0.593,0.02114,0.0,0.0,0.6141399999999999,0.22519,43562
601,BALDER,2005,8,0.61758,0.02284,0.0,0.0,0.64041,0.26229,43562
602,BALDER,2005,9,0.46695,0.01051,0.0,0.0,0.47746000000000005,0.18538,43562
603,BALDER,2005,10,0.6051300000000001,0.02112,0.0,0.0,0.62625,0.23299,43562
604,BALDER,2005,11,0.58439,0.0238,0.0,0.0,0.60819,0.22943000000000002,43562
605,BALDER,2005,12,0.6232300000000001,0.026619999999999998,0.0,0.0,0.64985,0.28509,43562
606,BALDER,2006,1,0.62941,0.02087,0.0,0.0,0.65028,0.28376,43562
607,BALDER,2006,2,0.54035,0.01251,0.0,0.0,0.55286,0.08198,43562
608,BALDER,2006,3,0.5864199999999999,0.02134,0.0,0.0,0.6077600000000001,0.18532,43562
609,BALDER,2006,4,0.52779,0.02232,0.0,0.0,0.55011,0.28611,43562
610,BALDER,2006,5,0.54595,0.020980000000000002,0.0,0.0,0.56692,0.29479,43562
611,BALDER,2006,6,0.48227,0.01113,0.0,0.0,0.4934,0.27384000000000003,43562
612,BALDER,2006,7,0.51313,0.01766,0.0,0.0,0.53078,0.23931999999999998,43562
613,BALDER,2006,8,0.52909,0.021509999999999998,0.0,0.0,0.5506,0.29070999999999997,43562
614,BALDER,2006,9,0.46913,0.0173,0.0,0.0,0.48643000000000003,0.27188,43562
615,BALDER,2006,10,0.51836,0.01865,0.0,0.0,0.53701,0.28976999999999997,43562
616,BALDER,2006,11,0.49851999999999996,0.015330000000000002,0.0,0.0,0.51385,0.30716,43562
