prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
BLANE,2007,5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3437650
BLANE,2007,6,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3437650
BLANE,2007,7,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3437650
BLANE,2007,8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3437650
BLANE,2007,9,0.00777,0.00000,0.00029,0.00000,0.00806,0.00010,3437650
BLANE,2007,10,0.01372,0.00000,0.00058,0.00000,0.01430,0.00007,3437650
BLANE,2007,11,0.01313,0.00000,0.00057,0.00000,0.01369,0.00005,3437650
BLANE,2007,12,0.01402,0.00000,0.00059,0.00000,0.01460,0.00004,3437650
BLANE,2008,1,0.01334,0.00000,0.00060,0.00000,0.01394,0.00005,3437650
BLANE,2008,2,0.01223,0.00000,0.00052,0.00000,0.01275,0.00004,3437650
BLANE,2008,3,0.01398,0.00000,0.00061,0.00000,0.01459,0.00004,3437650
BLANE,2008,4,0.00758,0.00000,0.00032,0.00000,0.00790,0.00002,3437650
BLANE,2008,5,0.01409,0.00000,0.00059,0.00000,0.01467,0.00004,3437650
BLANE,2008,6,0.01191,0.00000,0.00048,0.00000,0.01239,0.00004,3437650
BLANE,2008,7,0.01129,0.00000,0.00046,0.00000,0.01175,0.00004,3437650
BLANE,2008,8,0.01233,0.00000,0.00048,0.00000,0.01281,0.00004,3437650
BLANE,2008,9,0.01123,0.00000,0.00051,0.00000,0.01174,0.00004,3437650
BLANE,2008,10,0.01097,0.00000,0.00043,0.00000,0.01140,0.00004,3437650
BLANE,2008,11,0.01028,0.00000,0.00041,0.00000,0.01069,0.00004,3437650
BLANE,2008,12,0.01019,0.00000,0.00048,0.00000,0.01067,0.00003,3437650
BLANE,2009,1,0.00992,0.00000,0.00032,0.00000,0.01024,0.00003,3437650
BLANE,2009,2,0.00926,0.00000,0.00055,0.00000,0.00981,0.00003,3437650
BLANE,2009,3,0.01175,0.00000,0.00061,0.00000,0.01235,0.00004,3437650
BLANE,2009,4,0.01083,0.00000,0.00057,0.00000,0.01140,0.00004,3437650
