prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
BRYNHILD,2014,12,0.00958,0.00000,0.00000,0.00000,0.00958,0.00000,21123063
BRYNHILD,2015,1,0.00796,0.00000,0.00000,0.00000,0.00796,0.00000,21123063
BRYNHILD,2015,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21123063
BRYNHILD,2015,3,0.04199,0.00000,0.00000,0.00000,0.04199,0.00000,21123063
BRYNHILD,2015,4,0.00718,0.00000,0.00000,0.00000,0.00718,0.00000,21123063
BRYNHILD,2015,5,0.02901,0.00000,0.00000,0.00000,0.02901,0.00000,21123063
BRYNHILD,2015,6,0.01914,0.00000,0.00000,0.00000,0.01914,0.00000,21123063
BRYNHILD,2015,7,0.03655,0.00000,0.00000,0.00000,0.03655,0.00000,21123063
BRYNHILD,2015,8,0.02986,0.00000,0.00000,0.00000,0.02986,0.00000,21123063
BRYNHILD,2015,9,0.03841,0.00000,0.00000,0.00000,0.03841,0.00000,21123063
BRYNHILD,2015,10,0.00754,0.00000,0.00000,0.00000,0.00754,0.00000,21123063
BRYNHILD,2015,11,0.03618,0.00000,0.00000,0.00000,0.03618,0.00000,21123063
BRYNHILD,2015,12,0.03033,0.00000,0.00000,0.00000,0.03033,0.00000,21123063
BRYNHILD,2016,1,0.02384,0.00000,0.00000,0.00000,0.02384,0.00000,21123063
BRYNHILD,2016,2,0.01949,0.00000,0.00000,0.00000,0.01949,0.00000,21123063
BRYNHILD,2016,3,0.00635,0.00000,0.00000,0.00000,0.00635,0.00000,21123063
BRYNHILD,2016,4,0.00995,0.00000,0.00000,0.00000,0.00995,0.00000,21123063
BRYNHILD,2016,5,0.02011,0.00000,0.00000,0.00000,0.02011,0.00000,21123063
BRYNHILD,2016,6,0.00184,0.00000,0.00000,0.00000,0.00184,0.00000,21123063
BRYNHILD,2016,7,0.02058,0.00000,0.00000,0.00000,0.02058,0.00000,21123063
BRYNHILD,2016,8,0.01982,0.00000,0.00000,0.00000,0.01982,0.00000,21123063
BRYNHILD,2016,9,0.00973,0.00000,0.00000,0.00000,0.00973,0.00000,21123063
BRYNHILD,2016,10,0.00901,0.00000,0.00000,0.00000,0.00901,0.00000,21123063
BRYNHILD,2016,11,0.02053,0.00000,0.00000,0.00000,0.02053,0.00000,21123063
BRYNHILD,2016,12,0.01712,0.00000,0.00000,0.00000,0.01712,0.00000,21123063
BRYNHILD,2017,1,0.01084,0.00000,0.00000,0.00000,0.01084,0.00526,21123063
BRYNHILD,2017,2,0.01096,0.00000,0.00000,0.00000,0.01096,0.00520,21123063
BRYNHILD,2017,3,0.00835,0.00000,0.00000,0.00000,0.00835,0.00549,21123063
BRYNHILD,2017,4,0.01271,0.00000,0.00000,0.00000,0.01271,0.00794,21123063
