prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
BØYLA,2015,1,0.03587,0.00285,0.00000,0.00000,0.03871,0.00088,22492497
BØYLA,2015,2,0.06379,0.00757,0.00000,0.00000,0.07136,0.00124,22492497
BØYLA,2015,3,0.05915,0.00952,0.00000,0.00000,0.06867,0.00117,22492497
BØYLA,2015,4,0.05900,0.01096,0.00000,0.00000,0.06996,0.00204,22492497
BØYLA,2015,5,0.05668,0.00557,0.00000,0.00000,0.06225,0.00270,22492497
BØYLA,2015,6,0.05835,0.00414,0.00000,0.00000,0.06249,0.00276,22492497
BØYLA,2015,7,0.06082,0.00422,0.00000,0.00000,0.06504,0.00328,22492497
BØYLA,2015,8,0.08525,0.00616,0.00000,0.00000,0.09141,0.00449,22492497
BØYLA,2015,9,0.08179,0.00590,0.00000,0.00000,0.08769,0.00704,22492497
BØYLA,2015,10,0.07743,0.00695,0.00000,0.00000,0.08439,0.00961,22492497
BØYLA,2015,11,0.04916,0.00395,0.00000,0.00000,0.05311,0.00594,22492497
BØYLA,2015,12,0.06385,0.00562,0.00000,0.00000,0.06947,0.01035,22492497
BØYLA,2016,1,0.06571,0.00604,0.00000,0.00000,0.07175,0.01119,22492497
BØYLA,2016,2,0.05925,0.00516,0.00000,0.00000,0.06441,0.01081,22492497
BØYLA,2016,3,0.06340,0.00541,0.00000,0.00000,0.06881,0.01207,22492497
BØYLA,2016,4,0.05745,0.00532,0.00000,0.00000,0.06278,0.01171,22492497
BØYLA,2016,5,0.05230,0.00461,0.00000,0.00000,0.05691,0.01230,22492497
BØYLA,2016,6,0.05390,0.00526,0.00000,0.00000,0.05916,0.01327,22492497
BØYLA,2016,7,0.05137,0.00347,0.00000,0.00000,0.05484,0.01206,22492497
BØYLA,2016,8,0.02829,0.00245,0.00000,0.00000,0.03074,0.00659,22492497
BØYLA,2016,9,0.04955,0.00623,0.00000,0.00000,0.05577,0.01721,22492497
BØYLA,2016,10,0.05036,0.00505,0.00000,0.00000,0.05541,0.01668,22492497
BØYLA,2016,11,0.04609,0.00471,0.00000,0.00000,0.05080,0.01661,22492497
