prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
COD,1977,11,0.00000,0.00081,0.00000,0.00000,0.00081,0.00000,43785
COD,1977,12,0.00156,0.00341,0.00000,0.00000,0.00497,0.00000,43785
COD,1978,1,0.02507,0.05241,0.00000,0.00000,0.07748,0.00000,43785
COD,1978,2,0.01135,0.02470,0.00000,0.00000,0.03604,0.00000,43785
COD,1978,3,0.00735,0.01567,0.00000,0.00000,0.02302,0.00000,43785
COD,1978,4,0.00527,0.01168,0.00000,0.00000,0.01695,0.00000,43785
COD,1978,5,0.00042,0.00147,0.00000,0.00000,0.00189,0.00000,43785
COD,1978,6,0.01202,0.02103,0.00000,0.00000,0.03305,0.00000,43785
COD,1978,7,0.00169,0.00349,0.00000,0.00000,0.00517,0.00000,43785
COD,1978,8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,43785
COD,1978,9,0.00000,0.00006,0.00000,0.00000,0.00006,0.00000,43785
COD,1978,10,0.00111,0.00181,0.00000,0.00000,0.00292,0.00000,43785
COD,1978,11,0.00344,0.00536,0.00000,0.00000,0.00880,0.00000,43785
COD,1978,12,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,43785
COD,1979,1,0.00634,0.01274,0.00000,0.00000,0.01908,0.00000,43785
COD,1979,2,0.00717,0.01271,0.00000,0.00000,0.01989,0.00000,43785
COD,1979,3,0.01420,0.02356,0.00022,0.00000,0.03798,0.00000,43785
COD,1979,4,0.03014,0.04808,0.00155,0.00000,0.07977,0.00000,43785
COD,1979,5,0.01789,0.03495,0.00149,0.00000,0.05433,0.00000,43785
COD,1979,6,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,43785
COD,1979,7,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,43785
COD,1979,8,0.04448,0.07614,0.00599,0.00000,0.12661,0.00000,43785
COD,1979,9,0.04783,0.08063,0.00677,0.00000,0.13523,0.00000,43785
COD,1979,10,0.03054,0.05196,0.00333,0.00000,0.08583,0.00000,43785
COD,1979,11,0.04103,0.07023,0.00713,0.00000,0.11839,0.00000,43785
COD,1979,12,0.04571,0.07098,0.00849,0.00000,0.12518,0.00000,43785
COD,1980,1,0.04927,0.08466,0.01087,0.00000,0.14480,0.00000,43785
COD,1980,2,0.04908,0.08239,0.01001,0.00000,0.14148,0.00000,43785
COD,1980,3,0.04372,0.07400,0.00863,0.00000,0.12636,0.00000,43785
COD,1980,4,0.03047,0.05452,0.00677,0.00000,0.09176,0.00000,43785
COD,1980,5,0.04833,0.08555,0.01124,0.00000,0.14512,0.00000,43785
COD,1980,6,0.04407,0.08186,0.01029,0.00000,0.13621,0.00000,43785
COD,1980,7,0.01361,0.02328,0.00282,0.00000,0.03971,0.00000,43785
COD,1980,8,0.03328,0.06055,0.00806,0.00000,0.10189,0.00000,43785
COD,1980,9,0.03977,0.07534,0.00999,0.00000,0.12510,0.00000,43785
COD,1980,10,0.03646,0.07200,0.00913,0.00000,0.11758,0.00000,43785
COD,1980,11,0.03879,0.07239,0.00944,0.00000,0.12062,0.00000,43785
COD,1980,12,0.03818,0.07680,0.00959,0.00000,0.12456,0.00000,43785
COD,1981,1,0.03779,0.07042,0.00915,0.00000,0.11736,0.00000,43785
COD,1981,2,0.03415,0.06368,0.00863,0.00000,0.10646,0.00000,43785
COD,1981,3,0.03468,0.06968,0.00939,0.00000,0.11374,0.00000,43785
COD,1981,4,0.02904,0.05918,0.00801,0.00000,0.09623,0.00000,43785
COD,1981,5,0.03511,0.06759,0.00855,0.00000,0.11126,0.00000,43785
COD,1981,6,0.03279,0.06377,0.00810,0.00000,0.10467,0.00000,43785
COD,1981,7,0.02797,0.05788,0.00728,0.00000,0.09313,0.00000,43785
COD,1981,8,0.00692,0.01453,0.00168,0.00000,0.02313,0.00000,43785
COD,1981,9,0.02415,0.05292,0.00654,0.00000,0.08362,0.00000,43785
COD,1981,10,0.02377,0.05301,0.00653,0.00000,0.08331,0.00000,43785
COD,1981,11,0.02714,0.05565,0.00733,0.00000,0.09011,0.00000,43785
COD,1981,12,0.02884,0.06298,0.00744,0.00000,0.09926,0.00000,43785
COD,1982,1,0.03194,0.07369,0.00825,0.00000,0.11388,0.00000,43785
COD,1982,2,0.02791,0.06567,0.00803,0.00000,0.10162,0.00000,43785
COD,1982,3,0.02869,0.06616,0.00915,0.00000,0.10400,0.00000,43785
COD,1982,4,0.03035,0.06811,0.00880,0.00000,0.10726,0.00000,43785
COD,1982,5,0.02519,0.05731,0.00704,0.00000,0.08953,0.00000,43785
COD,1982,6,0.02550,0.05844,0.00851,0.00000,0.09244,0.00000,43785
COD,1982,7,0.02346,0.05628,0.00852,0.00000,0.08826,0.00000,43785
COD,1982,8,0.02557,0.06206,0.00913,0.00000,0.09676,0.00000,43785
COD,1982,9,0.02615,0.05927,0.00902,0.00000,0.09444,0.00000,43785
COD,1982,10,0.02173,0.05233,0.00795,0.00000,0.08200,0.00000,43785
COD,1982,11,0.03056,0.07656,0.01122,0.00000,0.11834,0.00000,43785
COD,1982,12,0.02535,0.06196,0.00915,0.00000,0.09647,0.00000,43785
COD,1983,1,0.02168,0.05460,0.00849,0.00000,0.08477,0.00000,43785
COD,1983,2,0.02860,0.06776,0.01016,0.00000,0.10653,0.00000,43785
COD,1983,3,0.02848,0.06903,0.01295,0.00000,0.11046,0.00000,43785
COD,1983,4,0.02598,0.06886,0.01314,0.00000,0.10799,0.00000,43785
COD,1983,5,0.02487,0.06895,0.01419,0.00000,0.10801,0.00000,43785
COD,1983,6,0.02351,0.05937,0.01029,0.00000,0.09317,0.00000,43785
COD,1983,7,0.02494,0.06718,0.01124,0.00000,0.10336,0.00000,43785
COD,1983,8,0.02354,0.06235,0.00986,0.00000,0.09575,0.00000,43785
COD,1983,9,0.01543,0.04083,0.00676,0.00000,0.06302,0.00000,43785
COD,1983,10,0.02155,0.05495,0.00876,0.00000,0.08526,0.00000,43785
COD,1983,11,0.02219,0.05769,0.00975,0.00000,0.08963,0.00000,43785
COD,1983,12,0.02249,0.05877,0.00983,0.00000,0.09110,0.00000,43785
COD,1984,1,0.02148,0.05895,0.00906,0.00000,0.08950,0.00000,43785
COD,1984,2,0.01901,0.05258,0.00902,0.00000,0.08060,0.00000,43785
COD,1984,3,0.01871,0.05227,0.00841,0.00000,0.07939,0.00000,43785
COD,1984,4,0.01837,0.04944,0.00901,0.00000,0.07681,0.00000,43785
COD,1984,5,0.01785,0.04904,0.00871,0.00000,0.07559,0.00000,43785
COD,1984,6,0.01716,0.04578,0.00806,0.00000,0.07100,0.00000,43785
COD,1984,7,0.01203,0.03340,0.00491,0.00000,0.05034,0.00000,43785
COD,1984,8,0.00869,0.02364,0.00359,0.00000,0.03592,0.00000,43785
COD,1984,9,0.01538,0.04387,0.00655,0.00000,0.06580,0.00000,43785
COD,1984,10,0.01505,0.04398,0.00714,0.00000,0.06617,0.00000,43785
COD,1984,11,0.01432,0.03985,0.00620,0.00000,0.06037,0.00000,43785
COD,1984,12,0.01327,0.03593,0.00611,0.00000,0.05531,0.00000,43785
COD,1985,1,0.01225,0.03448,0.00486,0.00000,0.05159,0.00000,43785
COD,1985,2,0.01133,0.03270,0.00588,0.00000,0.04990,0.00000,43785
COD,1985,3,0.01290,0.03571,0.00708,0.00000,0.05569,0.00000,43785
COD,1985,4,0.01175,0.03244,0.00580,0.00000,0.04999,0.00000,43785
COD,1985,5,0.01333,0.03902,0.00686,0.00000,0.05921,0.00000,43785
COD,1985,6,0.01204,0.03469,0.00637,0.00000,0.05310,0.00000,43785
COD,1985,7,0.01247,0.03680,0.00721,0.00000,0.05648,0.00000,43785
COD,1985,8,0.01198,0.03782,0.00724,0.00000,0.05704,0.00000,43785
COD,1985,9,0.01469,0.04450,0.00883,0.00000,0.06802,0.00000,43785
COD,1985,10,0.01375,0.04456,0.00782,0.00000,0.06614,0.00000,43785
COD,1985,11,0.01324,0.04067,0.00761,0.00000,0.06153,0.00000,43785
COD,1985,12,0.01373,0.04130,0.00759,0.00000,0.06261,0.00000,43785
COD,1986,1,0.01379,0.04125,0.00765,0.00000,0.06268,0.00000,43785
COD,1986,2,0.01126,0.03738,0.00621,0.00000,0.05485,0.00000,43785
COD,1986,3,0.01248,0.03947,0.00733,0.00000,0.05929,0.00000,43785
COD,1986,4,0.00299,0.00914,0.00171,0.00000,0.01384,0.00000,43785
COD,1986,5,0.01195,0.03776,0.00657,0.00000,0.05627,0.00000,43785
COD,1986,6,0.01200,0.03783,0.00692,0.00000,0.05674,0.00000,43785
COD,1986,7,0.01117,0.03899,0.00636,0.00000,0.05651,0.00000,43785
COD,1986,8,0.01106,0.03554,0.00588,0.00000,0.05247,0.00000,43785
COD,1986,9,0.01024,0.03415,0.00510,0.00000,0.04949,0.00000,43785
COD,1986,10,0.00978,0.03467,0.00375,0.00000,0.04820,0.00000,43785
COD,1986,11,0.00954,0.02925,0.00532,0.00000,0.04411,0.00000,43785
COD,1986,12,0.00956,0.02942,0.00530,0.00000,0.04428,0.00000,43785
COD,1987,1,0.00803,0.02463,0.00419,0.00000,0.03685,0.00000,43785
COD,1987,2,0.00491,0.01612,0.00293,0.00000,0.02396,0.00000,43785
COD,1987,3,0.00748,0.02538,0.00406,0.00000,0.03691,0.00000,43785
COD,1987,4,0.00708,0.02346,0.00420,0.00000,0.03474,0.00000,43785
COD,1987,5,0.00749,0.02663,0.00460,0.00000,0.03872,0.00000,43785
COD,1987,6,0.00718,0.02682,0.00479,0.00000,0.03880,0.00000,43785
COD,1987,7,0.00749,0.02596,0.00462,0.00000,0.03807,0.00000,43785
COD,1987,8,0.00201,0.00766,0.00135,0.00000,0.01102,0.00000,43785
COD,1987,9,0.00545,0.01935,0.00339,0.00000,0.02818,0.00000,43785
COD,1987,10,0.00720,0.02501,0.00429,0.00000,0.03650,0.00000,43785
