prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
EKOFISK,1971,6,0.00019,0.00000,0.00000,0.00000,0.00019,0.00000,43506
EKOFISK,1971,7,0.03377,0.00000,0.00000,0.00000,0.03377,0.00000,43506
EKOFISK,1971,8,0.05139,0.00000,0.00000,0.00000,0.05139,0.00000,43506
EKOFISK,1971,9,0.06430,0.00000,0.00000,0.00000,0.06430,0.00000,43506
EKOFISK,1971,10,0.08640,0.00000,0.00000,0.00000,0.08640,0.00000,43506
EKOFISK,1971,11,0.05780,0.00000,0.00000,0.00000,0.05780,0.00000,43506
EKOFISK,1971,12,0.06327,0.00000,0.00000,0.00000,0.06327,0.00000,43506
EKOFISK,1972,1,0.04684,0.00000,0.00000,0.00000,0.04684,0.00000,43506
EKOFISK,1972,2,0.14546,0.00000,0.00000,0.00000,0.14546,0.00000,43506
EKOFISK,1972,3,0.17286,0.00000,0.00000,0.00000,0.17286,0.00000,43506
EKOFISK,1972,4,0.19534,0.00000,0.00000,0.00000,0.19534,0.00000,43506
EKOFISK,1972,5,0.19921,0.00000,0.00000,0.00000,0.19921,0.00000,43506
EKOFISK,1972,6,0.18804,0.00000,0.00000,0.00000,0.18804,0.00000,43506
EKOFISK,1972,7,0.20294,0.00000,0.00000,0.00000,0.20294,0.00000,43506
EKOFISK,1972,8,0.20459,0.00000,0.00000,0.00000,0.20459,0.00000,43506
EKOFISK,1972,9,0.17259,0.00000,0.00000,0.00000,0.17259,0.00000,43506
EKOFISK,1972,10,0.17329,0.00000,0.00000,0.00000,0.17329,0.00000,43506
EKOFISK,1972,11,0.10122,0.00000,0.00000,0.00000,0.10122,0.00000,43506
EKOFISK,1972,12,0.12465,0.00000,0.00000,0.00000,0.12465,0.00000,43506
EKOFISK,1973,1,0.18512,0.00000,0.00000,0.00000,0.18512,0.00000,43506
EKOFISK,1973,2,0.11913,0.00000,0.00000,0.00000,0.11913,0.00000,43506
EKOFISK,1973,3,0.20661,0.00000,0.00000,0.00000,0.20661,0.00000,43506
EKOFISK,1973,4,0.13551,0.00000,0.00000,0.00000,0.13551,0.00000,43506
EKOFISK,1973,5,0.18984,0.00000,0.00000,0.00000,0.18984,0.00000,43506
EKOFISK,1973,6,0.19048,0.00000,0.00000,0.00000,0.19048,0.00000,43506
EKOFISK,1973,7,0.17116,0.00000,0.00000,0.00000,0.17116,0.00000,43506
EKOFISK,1973,8,0.18037,0.00000,0.00000,0.00000,0.18037,0.00000,43506
EKOFISK,1973,9,0.19368,0.00000,0.00000,0.00000,0.19368,0.00000,43506
EKOFISK,1973,10,0.18857,0.00000,0.00000,0.00000,0.18857,0.00000,43506
EKOFISK,1973,11,0.09192,0.00000,0.00000,0.00000,0.09192,0.00000,43506
