prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
ELDFISK,1979,8,0.15587,0.02314,0.00508,0.00000,0.18409,0.00000,43527
ELDFISK,1979,9,0.33925,0.08632,0.01517,0.00000,0.44074,0.00000,43527
ELDFISK,1979,10,0.28505,0.06939,0.00956,0.00000,0.36399,0.00000,43527
ELDFISK,1979,11,0.39138,0.09156,0.01605,0.00000,0.49898,0.00000,43527
ELDFISK,1979,12,0.54063,0.14215,0.02683,0.00000,0.70961,0.00000,43527
ELDFISK,1980,1,0.56989,0.13467,0.02783,0.00000,0.73239,0.00000,43527
ELDFISK,1980,2,0.59848,0.15012,0.02905,0.00000,0.77766,0.00000,43527
ELDFISK,1980,3,0.51925,0.12536,0.02316,0.00000,0.66777,0.00000,43527
ELDFISK,1980,4,0.50031,0.12495,0.02473,0.00000,0.64999,0.00000,43527
ELDFISK,1980,5,0.58094,0.14597,0.03006,0.00000,0.75697,0.00000,43527
ELDFISK,1980,6,0.52296,0.13511,0.02705,0.00000,0.68512,0.00000,43527
ELDFISK,1980,7,0.29304,0.06904,0.01417,0.00000,0.37626,0.00000,43527
ELDFISK,1980,8,0.51970,0.13174,0.02632,0.00000,0.67776,0.00000,43527
ELDFISK,1980,9,0.42342,0.11039,0.02154,0.00000,0.55535,0.00000,43527
ELDFISK,1980,10,0.49176,0.13296,0.02600,0.00000,0.65071,0.00000,43527
ELDFISK,1980,11,0.48800,0.13238,0.02618,0.00000,0.64656,0.00000,43527
ELDFISK,1980,12,0.36740,0.10317,0.01922,0.00000,0.48980,0.00000,43527
ELDFISK,1981,1,0.39962,0.10212,0.02114,0.00000,0.52288,0.00000,43527
ELDFISK,1981,2,0.39745,0.10844,0.02298,0.00000,0.52887,0.00000,43527
ELDFISK,1981,3,0.41522,0.12091,0.02470,0.00000,0.56083,0.00000,43527
ELDFISK,1981,4,0.40522,0.12228,0.02397,0.00000,0.55147,0.00000,43527
ELDFISK,1981,5,0.48386,0.14821,0.02670,0.00000,0.65876,0.00000,43527
ELDFISK,1981,6,0.44987,0.14508,0.02589,0.00000,0.62084,0.00000,43527
ELDFISK,1981,7,0.48058,0.15315,0.02713,0.00000,0.66087,0.00000,43527
ELDFISK,1981,8,0.19035,0.05267,0.00901,0.00000,0.25203,0.00000,43527
ELDFISK,1981,9,0.47433,0.14956,0.02737,0.00000,0.65126,0.00000,43527
ELDFISK,1981,10,0.38560,0.13277,0.02363,0.00000,0.54200,0.00000,43527
ELDFISK,1981,11,0.42479,0.13096,0.02432,0.00000,0.58008,0.00000,43527
ELDFISK,1981,12,0.42634,0.14492,0.02410,0.00000,0.59536,0.00000,43527
ELDFISK,1982,1,0.43707,0.15184,0.02493,0.00000,0.61384,0.00000,43527
ELDFISK,1982,2,0.32948,0.10493,0.01965,0.00000,0.45406,0.00000,43527
ELDFISK,1982,3,0.40429,0.13450,0.02620,0.00000,0.56499,0.00000,43527
ELDFISK,1982,4,0.36813,0.12960,0.02331,0.00000,0.52103,0.00000,43527
ELDFISK,1982,5,0.28327,0.09630,0.01734,0.00000,0.39690,0.00000,43527
ELDFISK,1982,6,0.36896,0.12059,0.02462,0.00000,0.51417,0.00000,43527
ELDFISK,1982,7,0.35423,0.12447,0.02669,0.00000,0.50538,0.00000,43527
ELDFISK,1982,8,0.36548,0.12379,0.02560,0.00000,0.51487,0.00000,43527
ELDFISK,1982,9,0.30156,0.09761,0.02113,0.00000,0.42029,0.00000,43527
ELDFISK,1982,10,0.28651,0.09177,0.02060,0.00000,0.39888,0.00000,43527
ELDFISK,1982,11,0.31066,0.10675,0.02455,0.00000,0.44196,0.00000,43527
ELDFISK,1982,12,0.30507,0.10302,0.02402,0.00000,0.43211,0.00000,43527
ELDFISK,1983,1,0.30051,0.10545,0.02284,0.00000,0.42881,0.00000,43527
ELDFISK,1983,2,0.30213,0.10542,0.02331,0.00000,0.43086,0.00000,43527
ELDFISK,1983,3,0.32176,0.11715,0.02981,0.00000,0.46872,0.00000,43527
ELDFISK,1983,4,0.30196,0.11092,0.02992,0.00000,0.44280,0.00000,43527
ELDFISK,1983,5,0.31576,0.12266,0.03299,0.00000,0.47141,0.00000,43527
ELDFISK,1983,6,0.31066,0.11567,0.02677,0.00000,0.45310,0.00000,43527
ELDFISK,1983,7,0.33287,0.13579,0.02885,0.00000,0.49751,0.00000,43527
ELDFISK,1983,8,0.32144,0.13242,0.02820,0.00000,0.48206,0.00000,43527
ELDFISK,1983,9,0.29402,0.12681,0.02634,0.00000,0.44717,0.00000,43527
ELDFISK,1983,10,0.31065,0.12753,0.02686,0.00000,0.46504,0.00000,43527
ELDFISK,1983,11,0.29296,0.11755,0.02646,0.00000,0.43697,0.00000,43527
ELDFISK,1983,12,0.31024,0.12238,0.02638,0.00000,0.45900,0.00000,43527
ELDFISK,1984,1,0.28952,0.11803,0.02385,0.00000,0.43141,0.00000,43527
ELDFISK,1984,2,0.27644,0.11065,0.02496,0.00000,0.41204,0.00000,43527
ELDFISK,1984,3,0.28740,0.11879,0.02457,0.00000,0.43076,0.00000,43527
ELDFISK,1984,4,0.27650,0.11101,0.02644,0.00000,0.41395,0.00000,43527
ELDFISK,1984,5,0.27878,0.11423,0.02662,0.00000,0.41963,0.00000,43527
ELDFISK,1984,6,0.25957,0.10634,0.02474,0.00000,0.39065,0.00000,43527
ELDFISK,1984,7,0.25916,0.10724,0.02060,0.00000,0.38700,0.00000,43527
ELDFISK,1984,8,0.23691,0.08970,0.01799,0.00000,0.34460,0.00000,43527
ELDFISK,1984,9,0.29232,0.12859,0.02454,0.00000,0.44544,0.00000,43527
ELDFISK,1984,10,0.30453,0.12678,0.02675,0.00000,0.45807,0.00000,43527
ELDFISK,1984,11,0.29773,0.12727,0.02564,0.00000,0.45064,0.00000,43527
ELDFISK,1984,12,0.32159,0.13045,0.02887,0.00000,0.48091,0.00000,43527
ELDFISK,1985,1,0.30138,0.12200,0.02309,0.00000,0.44647,0.00000,43527
ELDFISK,1985,2,0.23989,0.09734,0.02215,0.00000,0.35938,0.00000,43527
ELDFISK,1985,3,0.28265,0.11318,0.02885,0.00000,0.42469,0.00000,43527
ELDFISK,1985,4,0.28731,0.11613,0.02614,0.00000,0.42959,0.00000,43527
ELDFISK,1985,5,0.28582,0.11884,0.02746,0.00000,0.43211,0.00000,43527
ELDFISK,1985,6,0.27097,0.11443,0.02732,0.00000,0.41272,0.00000,43527
ELDFISK,1985,7,0.28447,0.11654,0.02989,0.00000,0.43090,0.00000,43527
ELDFISK,1985,8,0.27619,0.11688,0.02923,0.00000,0.42230,0.00000,43527
ELDFISK,1985,9,0.27905,0.11465,0.03025,0.00000,0.42394,0.00000,43527
ELDFISK,1985,10,0.29536,0.12623,0.02979,0.00000,0.45138,0.00000,43527
ELDFISK,1985,11,0.27884,0.11370,0.02831,0.00000,0.42085,0.00000,43527
ELDFISK,1985,12,0.29558,0.12376,0.02784,0.00000,0.44718,0.00000,43527
ELDFISK,1986,1,0.29074,0.12500,0.02860,0.00000,0.44434,0.00000,43527
ELDFISK,1986,2,0.27578,0.11556,0.02603,0.00000,0.41737,0.00000,43527
ELDFISK,1986,3,0.30301,0.13102,0.02965,0.00000,0.46368,0.00000,43527
ELDFISK,1986,4,0.10034,0.03619,0.00849,0.00000,0.14501,0.00000,43527
ELDFISK,1986,5,0.34826,0.13462,0.02851,0.00000,0.51139,0.00000,43527
ELDFISK,1986,6,0.31034,0.13505,0.02912,0.00000,0.47451,0.00000,43527
ELDFISK,1986,7,0.29266,0.13756,0.02834,0.00000,0.45856,0.00000,43527
ELDFISK,1986,8,0.28890,0.12546,0.02814,0.00000,0.44250,0.00000,43527
ELDFISK,1986,9,0.28384,0.12756,0.02572,0.00000,0.43712,0.00000,43527
ELDFISK,1986,10,0.29489,0.13195,0.01951,0.00000,0.44635,0.00000,43527
ELDFISK,1986,11,0.27573,0.11495,0.02459,0.00000,0.41527,0.00000,43527
ELDFISK,1986,12,0.29310,0.12834,0.02909,0.00000,0.45052,0.00000,43527
ELDFISK,1987,1,0.28722,0.12818,0.02712,0.00000,0.44252,0.00000,43527
ELDFISK,1987,2,0.27360,0.11608,0.02477,0.00000,0.41445,0.00000,43527
ELDFISK,1987,3,0.26256,0.10878,0.02366,0.00000,0.39500,0.00000,43527
ELDFISK,1987,4,0.29973,0.12237,0.02800,0.00000,0.45010,0.00000,43527
ELDFISK,1987,5,0.29929,0.12657,0.02924,0.00000,0.45509,0.00000,43527
ELDFISK,1987,6,0.27888,0.11457,0.02612,0.00000,0.41957,0.00000,43527
ELDFISK,1987,7,0.31899,0.13621,0.03062,0.00000,0.48582,0.00000,43527
ELDFISK,1987,8,0.08809,0.03806,0.00890,0.00000,0.13505,0.00000,43527
ELDFISK,1987,9,0.27684,0.10298,0.02424,0.00000,0.40407,0.00000,43527
ELDFISK,1987,10,0.31944,0.14462,0.02731,0.00000,0.49136,0.00000,43527
ELDFISK,1987,11,0.24382,0.11788,0.02420,0.00000,0.38589,0.00000,43527
ELDFISK,1987,12,0.19650,0.10226,0.02021,0.00000,0.31897,0.00000,43527
ELDFISK,1988,1,0.34034,0.16877,0.03956,0.00000,0.54867,0.00000,43527
ELDFISK,1988,2,0.29349,0.15923,0.03788,0.00000,0.49060,0.00000,43527
ELDFISK,1988,3,0.33069,0.18706,0.04583,0.00000,0.56359,0.00000,43527
ELDFISK,1988,4,0.32858,0.19646,0.04570,0.00000,0.57074,0.00000,43527
ELDFISK,1988,5,0.32512,0.18461,0.03966,0.00000,0.54939,0.00000,43527
ELDFISK,1988,6,0.21566,0.13321,0.02941,0.00000,0.37828,0.00000,43527
ELDFISK,1988,7,0.35880,0.20932,0.04780,0.00000,0.61592,0.00000,43527
ELDFISK,1988,8,0.32335,0.19775,0.04457,0.00000,0.56567,0.00000,43527
ELDFISK,1988,9,0.32362,0.19676,0.04483,0.00000,0.56521,0.00000,43527
