prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
EMBLA,1993,5,0.01709,0.00515,0.00108,0.00000,0.02332,0.00000,43534
EMBLA,1993,6,0.02875,0.00675,0.00157,0.00000,0.03706,0.00000,43534
EMBLA,1993,7,0.04877,0.01472,0.00315,0.00000,0.06664,0.00000,43534
EMBLA,1993,8,0.08336,0.02582,0.00549,0.00000,0.11467,0.00000,43534
EMBLA,1993,9,0.12237,0.03847,0.00838,0.00000,0.16922,0.00000,43534
EMBLA,1993,10,0.13059,0.04014,0.00840,0.00000,0.17913,0.00000,43534
EMBLA,1993,11,0.12272,0.03845,0.00848,0.00000,0.16965,0.00000,43534
EMBLA,1993,12,0.13447,0.04098,0.00906,0.00000,0.18450,0.00000,43534
EMBLA,1994,1,0.14754,0.04412,0.00990,0.00000,0.20157,0.00000,43534
EMBLA,1994,2,0.13227,0.03956,0.00946,0.00000,0.18128,0.00000,43534
EMBLA,1994,3,0.13911,0.04123,0.00979,0.00000,0.19014,0.00000,43534
EMBLA,1994,4,0.12743,0.03891,0.00894,0.00000,0.17529,0.00000,43534
EMBLA,1994,5,0.12150,0.03421,0.00808,0.00000,0.16378,0.00000,43534
EMBLA,1994,6,0.11599,0.03562,0.00811,0.00000,0.15972,0.00000,43534
EMBLA,1994,7,0.11518,0.03664,0.00677,0.00000,0.15858,0.00000,43534
EMBLA,1994,8,0.02506,0.00691,0.00133,0.00000,0.03331,0.00000,43534
EMBLA,1994,9,0.11781,0.03542,0.00744,0.00000,0.16067,0.00000,43534
EMBLA,1994,10,0.12322,0.03755,0.00855,0.00000,0.16932,0.00000,43534
EMBLA,1994,11,0.12689,0.03871,0.00887,0.00000,0.17446,0.00000,43534
EMBLA,1994,12,0.12390,0.03919,0.00902,0.00000,0.17212,0.00000,43534
EMBLA,1995,1,0.12364,0.03716,0.00853,0.00000,0.16932,0.00000,43534
EMBLA,1995,2,0.10954,0.03156,0.00774,0.00000,0.14884,0.00000,43534
EMBLA,1995,3,0.11285,0.03332,0.00808,0.00000,0.15425,0.00000,43534
EMBLA,1995,4,0.10638,0.03223,0.00760,0.00000,0.14621,0.00000,43534
EMBLA,1995,5,0.10415,0.02973,0.00709,0.00000,0.14096,0.00000,43534
EMBLA,1995,6,0.11670,0.03397,0.00773,0.00000,0.15839,0.00000,43534
EMBLA,1995,7,0.11386,0.03421,0.00808,0.00000,0.15614,0.00000,43534
EMBLA,1995,8,0.06850,0.02539,0.00548,0.00000,0.09938,0.00000,43534
EMBLA,1995,9,0.10302,0.03091,0.00736,0.00000,0.14129,0.00000,43534
EMBLA,1995,10,0.10923,0.03350,0.00500,0.00000,0.14772,0.00000,43534
EMBLA,1995,11,0.09753,0.03303,0.00573,0.00000,0.13628,0.00000,43534
EMBLA,1995,12,0.10720,0.03424,0.00728,0.00000,0.14873,0.00000,43534
EMBLA,1996,1,0.09697,0.03102,0.00644,0.00000,0.13443,0.00000,43534
EMBLA,1996,2,0.08986,0.02902,0.00607,0.00000,0.12496,0.00000,43534
EMBLA,1996,3,0.09264,0.03033,0.00620,0.00000,0.12918,0.00000,43534
EMBLA,1996,4,0.08503,0.02711,0.00587,0.00000,0.11802,0.00000,43534
EMBLA,1996,5,0.08412,0.02840,0.00511,0.00000,0.11763,0.00000,43534
EMBLA,1996,6,0.08289,0.02791,0.00525,0.00000,0.11605,0.00000,43534
EMBLA,1996,7,0.08296,0.03004,0.00590,0.00000,0.11890,0.00000,43534
EMBLA,1996,8,0.06262,0.02173,0.00497,0.00000,0.08931,0.00000,43534
EMBLA,1996,9,0.08542,0.03418,0.00676,0.00000,0.12635,0.00000,43534
EMBLA,1996,10,0.08603,0.03450,0.00727,0.00000,0.12780,0.00000,43534
EMBLA,1996,11,0.07944,0.03243,0.00650,0.00000,0.11838,0.00000,43534
EMBLA,1996,12,0.07059,0.02858,0.00546,0.00000,0.10464,0.00000,43534
EMBLA,1997,1,0.06189,0.02462,0.00469,0.00000,0.09120,0.00000,43534
EMBLA,1997,2,0.07193,0.02709,0.00551,0.00000,0.10452,0.00000,43534
EMBLA,1997,3,0.07824,0.03009,0.00595,0.00000,0.11427,0.00000,43534
EMBLA,1997,4,0.06663,0.02659,0.00540,0.00000,0.09862,0.00000,43534
EMBLA,1997,5,0.06427,0.02596,0.00522,0.00000,0.09544,0.00000,43534
EMBLA,1997,6,0.06443,0.02539,0.00518,0.00000,0.09499,0.00000,43534
EMBLA,1997,7,0.06221,0.02543,0.00530,0.00000,0.09294,0.00000,43534
EMBLA,1997,8,0.06620,0.02503,0.00546,0.00000,0.09670,0.00000,43534
EMBLA,1997,9,0.05684,0.02415,0.00508,0.00000,0.08607,0.00000,43534
EMBLA,1997,10,0.05117,0.02317,0.00501,0.00000,0.07935,0.00000,43534
EMBLA,1997,11,0.04652,0.02107,0.00480,0.00000,0.07239,0.00000,43534
EMBLA,1997,12,0.04576,0.01782,0.00396,0.00000,0.06754,0.00000,43534
EMBLA,1998,1,0.04521,0.01920,0.00446,0.00000,0.06887,0.00000,43534
EMBLA,1998,2,0.03492,0.01779,0.00360,0.00000,0.05631,0.00000,43534
EMBLA,1998,3,0.03939,0.01845,0.00374,0.00000,0.06158,0.00000,43534
EMBLA,1998,4,0.03324,0.01632,0.00378,0.00000,0.05334,0.00000,43534
EMBLA,1998,5,0.05483,0.01789,0.00372,0.00000,0.07644,0.00000,43534
EMBLA,1998,6,0.05165,0.02138,0.00476,0.00000,0.07778,0.00000,43534
EMBLA,1998,7,0.06128,0.02380,0.00477,0.00000,0.08985,0.00000,43534
EMBLA,1998,8,0.00648,0.00188,0.00026,0.00000,0.00862,0.00000,43534
EMBLA,1998,9,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,43534
EMBLA,1998,10,0.03634,0.01038,0.00180,0.00000,0.04853,0.00000,43534
EMBLA,1998,11,0.06437,0.01866,0.00370,0.00000,0.08672,0.00000,43534
EMBLA,1998,12,0.05718,0.02015,0.00483,0.00000,0.08217,0.00000,43534
EMBLA,1999,1,0.06083,0.02932,0.00486,0.00000,0.09501,0.00000,43534
EMBLA,1999,2,0.05060,0.01949,0.00398,0.00000,0.07407,0.00000,43534
EMBLA,1999,3,0.05670,0.02160,0.00451,0.00000,0.08281,0.00000,43534
EMBLA,1999,4,0.03368,0.01288,0.00345,0.00000,0.05000,0.00000,43534
EMBLA,1999,5,0.05261,0.01957,0.00500,0.00000,0.07718,0.00000,43534
EMBLA,1999,6,0.03801,0.01568,0.00400,0.00000,0.05769,0.00000,43534
EMBLA,1999,7,0.05941,0.02121,0.00617,0.00000,0.08680,0.00000,43534
EMBLA,1999,8,0.03494,0.01439,0.00386,0.00000,0.05319,0.00000,43534
EMBLA,1999,9,0.09132,0.02924,0.00772,0.00000,0.12828,0.00000,43534
EMBLA,1999,10,0.06607,0.02265,0.00589,0.00000,0.09461,0.00000,43534
EMBLA,1999,11,0.06776,0.02137,0.00569,0.00000,0.09481,0.00000,43534
EMBLA,1999,12,0.08899,0.02365,0.00722,0.00000,0.11985,0.00000,43534
EMBLA,2000,1,0.08644,0.02730,0.00794,0.00000,0.12168,0.00041,43534
EMBLA,2000,2,0.05687,0.02130,0.00535,0.00000,0.08352,0.00025,43534
EMBLA,2000,3,0.04735,0.01983,0.00475,0.00000,0.07193,0.00026,43534
EMBLA,2000,4,0.03906,0.01742,0.00457,0.00000,0.06104,0.00024,43534
EMBLA,2000,5,0.05904,0.02291,0.00607,0.00000,0.08802,0.00039,43534
EMBLA,2000,6,0.05485,0.02302,0.00574,0.00000,0.08360,0.00065,43534
EMBLA,2000,7,0.05700,0.02301,0.00613,0.00000,0.08613,0.00046,43534
EMBLA,2000,8,0.05326,0.02153,0.00589,0.00000,0.08068,0.00033,43534
EMBLA,2000,9,0.04680,0.01115,0.00368,0.00000,0.06162,0.00033,43534
EMBLA,2000,10,0.05213,0.01630,0.00462,0.00000,0.07305,0.00056,43534
EMBLA,2000,11,0.04366,0.00999,0.00312,0.00000,0.05677,0.00066,43534
EMBLA,2000,12,0.04040,0.01157,0.00334,0.00000,0.05531,0.00061,43534
EMBLA,2001,1,0.05645,0.01044,0.00381,0.00000,0.07071,0.00077,43534
EMBLA,2001,2,0.04275,0.00446,0.00241,0.00000,0.04962,0.00066,43534
EMBLA,2001,3,0.05384,0.00711,0.00333,0.00000,0.06428,0.00085,43534
EMBLA,2001,4,0.06244,0.00805,0.00479,0.00000,0.07527,0.00087,43534
EMBLA,2001,5,0.05500,0.01223,0.00545,0.00000,0.07267,0.00069,43534
EMBLA,2001,6,0.03342,0.00604,0.00338,0.00000,0.04284,0.00056,43534
EMBLA,2001,7,0.03189,0.00606,0.00379,0.00000,0.04174,0.00048,43534
EMBLA,2001,8,0.01411,0.00289,0.00155,0.00000,0.01855,0.00031,43534
EMBLA,2001,9,0.03737,0.01104,0.00392,0.00000,0.05233,0.00053,43534
EMBLA,2001,10,0.03756,0.00476,0.00363,0.00000,0.04594,0.00073,43534
EMBLA,2001,11,0.03361,0.00512,0.00364,0.00000,0.04237,0.00119,43534
EMBLA,2001,12,0.03668,0.00395,0.00351,0.00000,0.04414,0.00081,43534
EMBLA,2002,1,0.03752,0.00681,0.00365,0.00000,0.04797,0.00076,43534
EMBLA,2002,2,0.03111,0.00420,0.00303,0.00000,0.03834,0.00057,43534
EMBLA,2002,3,0.02687,0.00976,0.00260,0.00000,0.03922,0.00056,43534
EMBLA,2002,4,0.03292,0.00196,0.00211,0.00000,0.03699,0.00059,43534
EMBLA,2002,5,0.03703,0.00519,0.00302,0.00000,0.04524,0.00069,43534
EMBLA,2002,6,0.03322,0.00645,0.00289,0.00000,0.04256,0.00071,43534
EMBLA,2002,7,0.03280,0.00549,0.00299,0.00000,0.04128,0.00060,43534
EMBLA,2002,8,0.03411,0.00580,0.00323,0.00000,0.04315,0.00075,43534
EMBLA,2002,9,0.03282,0.00657,0.00388,0.00000,0.04328,0.00064,43534
EMBLA,2002,10,0.03029,0.01125,0.00334,0.00000,0.04488,0.00070,43534
EMBLA,2002,11,0.02833,0.00835,0.00274,0.00000,0.03942,0.00066,43534
