prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
FRAM H-NORD,2014,9,0.01241,0.00000,0.00000,0.00000,0.01241,0.00040,23410947
FRAM H-NORD,2014,10,0.05232,0.00000,0.00000,0.00000,0.05232,0.00330,23410947
FRAM H-NORD,2014,11,0.02910,0.00000,0.00000,0.00000,0.02910,0.00612,23410947
FRAM H-NORD,2014,12,0.03200,0.00000,0.00000,0.00000,0.03200,0.00946,23410947
FRAM H-NORD,2015,1,0.02644,0.00000,0.00000,0.00000,0.02644,0.01211,23410947
FRAM H-NORD,2015,2,0.02807,0.00000,0.00000,0.00000,0.02807,0.01856,23410947
FRAM H-NORD,2015,3,0.02956,0.00000,0.00000,0.00000,0.02956,0.02390,23410947
FRAM H-NORD,2015,4,0.02228,0.00000,0.00000,0.00000,0.02228,0.03291,23410947
FRAM H-NORD,2015,5,0.02682,0.00000,0.00000,0.00000,0.02682,0.03142,23410947
FRAM H-NORD,2015,6,0.02258,0.00000,0.00000,0.00000,0.02258,0.03034,23410947
FRAM H-NORD,2015,7,0.02395,0.00000,0.00000,0.00000,0.02395,0.03697,23410947
FRAM H-NORD,2015,8,0.01979,0.00000,0.00000,0.00000,0.01979,0.03702,23410947
FRAM H-NORD,2015,9,0.01922,0.00000,0.00000,0.00000,0.01922,0.03387,23410947
FRAM H-NORD,2015,10,0.01647,0.00000,0.00000,0.00000,0.01647,0.03216,23410947
FRAM H-NORD,2015,11,0.01697,0.00000,0.00000,0.00000,0.01697,0.03204,23410947
FRAM H-NORD,2015,12,0.01694,0.00000,0.00000,0.00000,0.01694,0.03929,23410947
FRAM H-NORD,2016,1,0.01858,0.00000,0.00000,0.00000,0.01858,0.04050,23410947
FRAM H-NORD,2016,2,0.01538,0.00000,0.00000,0.00000,0.01538,0.03730,23410947
FRAM H-NORD,2016,3,0.01600,0.00000,0.00000,0.00000,0.01600,0.03156,23410947
FRAM H-NORD,2016,4,0.01573,0.00000,0.00000,0.00000,0.01573,0.03015,23410947
FRAM H-NORD,2016,5,0.01484,0.00000,0.00000,0.00000,0.01484,0.02715,23410947
FRAM H-NORD,2016,6,0.01047,0.00000,0.00000,0.00000,0.01047,0.01924,23410947
FRAM H-NORD,2016,7,0.01295,0.00000,0.00000,0.00000,0.01295,0.02630,23410947
FRAM H-NORD,2016,8,0.01221,0.00000,0.00000,0.00000,0.01221,0.01762,23410947
FRAM H-NORD,2016,9,0.01303,0.00000,0.00000,0.00000,0.01303,0.01176,23410947
FRAM H-NORD,2016,10,0.01103,0.00000,0.00000,0.00000,0.01103,0.00766,23410947
FRAM H-NORD,2016,11,0.01036,0.00000,0.00000,0.00000,0.01036,0.00907,23410947
FRAM H-NORD,2016,12,0.01010,0.00000,0.00000,0.00000,0.01010,0.00913,23410947
FRAM H-NORD,2017,1,0.00710,0.00000,0.00000,0.00000,0.00710,0.00649,23410947
FRAM H-NORD,2017,2,0.00664,0.00000,0.00000,0.00000,0.00664,0.00779,23410947
FRAM H-NORD,2017,3,0.00052,0.00000,0.00000,0.00000,0.00052,0.01063,23410947
