prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
FRIGG,1977,9,0.00000,0.08677,0.00000,0.00000,0.08677,0.00000,43555
FRIGG,1977,10,0.00000,0.25246,0.00000,0.00000,0.25246,0.00000,43555
FRIGG,1977,11,0.00000,0.26464,0.00000,0.00068,0.26533,0.00000,43555
FRIGG,1977,12,0.00000,0.34876,0.00000,0.00166,0.35042,0.00000,43555
FRIGG,1978,1,0.00000,0.37062,0.00000,0.00144,0.37206,0.00000,43555
FRIGG,1978,2,0.00000,0.33689,0.00000,0.00131,0.33820,0.00000,43555
FRIGG,1978,3,0.00000,0.26425,0.00000,0.00240,0.26665,0.00000,43555
FRIGG,1978,4,0.00000,0.28657,0.00000,0.00120,0.28776,0.00000,43555
FRIGG,1978,5,0.00000,0.16915,0.00000,0.00127,0.17042,0.00000,43555
FRIGG,1978,6,0.00000,0.16798,0.00000,0.00112,0.16910,0.00000,43555
FRIGG,1978,7,0.00000,0.12880,0.00000,0.00075,0.12955,0.00000,43555
FRIGG,1978,8,0.00000,0.16190,0.00000,0.00077,0.16267,0.00000,43555
FRIGG,1978,9,0.00000,0.47226,0.00000,0.00150,0.47376,0.00000,43555
FRIGG,1978,10,0.00000,0.57669,0.00000,0.00303,0.57972,0.00000,43555
FRIGG,1978,11,0.00000,0.72339,0.00000,0.00329,0.72668,0.00000,43555
FRIGG,1978,12,0.00000,0.78681,0.00000,0.00258,0.78939,0.00000,43555
FRIGG,1979,1,0.00000,0.85290,0.00000,0.00357,0.85647,0.00000,43555
FRIGG,1979,2,0.00000,0.72239,0.00000,0.00389,0.72628,0.00000,43555
FRIGG,1979,3,0.00000,0.79552,0.00000,0.00439,0.79991,0.00000,43555
FRIGG,1979,4,0.00000,0.60983,0.00000,0.00355,0.61338,0.00000,43555
FRIGG,1979,5,0.00000,0.58167,0.00000,0.00334,0.58501,0.00000,43555
FRIGG,1979,6,0.00000,0.32682,0.00000,0.00319,0.33001,0.00000,43555
FRIGG,1979,7,0.00000,0.52600,0.00000,0.00160,0.52761,0.00000,43555
FRIGG,1979,8,0.00000,0.54977,0.00000,0.00295,0.55272,0.00000,43555
FRIGG,1979,9,0.00000,0.50717,0.00000,0.00262,0.50979,0.00000,43555
FRIGG,1979,10,0.00000,0.81469,0.00000,0.00492,0.81961,0.00000,43555
FRIGG,1979,11,0.00000,0.95054,0.00000,0.00495,0.95549,0.00000,43555
FRIGG,1979,12,0.00000,1.04587,0.00000,0.00503,1.05089,0.00000,43555
FRIGG,1980,1,0.00000,1.11669,0.00000,0.00507,1.12176,0.00000,43555
FRIGG,1980,2,0.00000,0.98434,0.00000,0.00571,0.99004,0.00000,43555
FRIGG,1980,3,0.00000,1.02438,0.00000,0.00555,1.02993,0.00000,43555
FRIGG,1980,4,0.00000,0.86345,0.00000,0.00467,0.86812,0.00000,43555
FRIGG,1980,5,0.00000,0.68921,0.00000,0.00329,0.69250,0.00000,43555
FRIGG,1980,6,0.00000,0.63476,0.00000,0.00313,0.63788,0.00000,43555
FRIGG,1980,7,0.00000,0.74693,0.00000,0.00359,0.75052,0.00000,43555
FRIGG,1980,8,0.00000,0.68591,0.00000,0.00306,0.68897,0.00000,43555
FRIGG,1980,9,0.00000,0.66336,0.00000,0.00339,0.66675,0.00000,43555
FRIGG,1980,10,0.00000,0.68995,0.00000,0.00355,0.69350,0.00000,43555
FRIGG,1980,11,0.00000,0.84595,0.00000,0.00305,0.84899,0.00000,43555
FRIGG,1980,12,0.00000,0.98230,0.00000,0.00417,0.98647,0.00000,43555
FRIGG,1981,1,0.00000,1.11938,0.00000,0.00509,1.12446,0.00000,43555
FRIGG,1981,2,0.00000,1.01246,0.00000,0.00516,1.01762,0.00000,43555
FRIGG,1981,3,0.00000,1.11620,0.00000,0.00482,1.12101,0.00000,43555
FRIGG,1981,4,0.00000,0.98355,0.00000,0.00431,0.98786,0.00000,43555
FRIGG,1981,5,0.00000,0.64054,0.00000,0.00292,0.64346,0.00000,43555
FRIGG,1981,6,0.00000,0.68611,0.00000,0.00286,0.68897,0.00000,43555
FRIGG,1981,7,0.00000,0.63785,0.00000,0.00323,0.64108,0.00000,43555
FRIGG,1981,8,0.00000,0.67234,0.00000,0.00326,0.67559,0.00000,43555
FRIGG,1981,9,0.00000,0.72661,0.00000,0.00340,0.73001,0.00000,43555
FRIGG,1981,10,0.00000,1.04706,0.00000,0.00421,1.05127,0.00000,43555
FRIGG,1981,11,0.00000,1.10786,0.00000,0.00365,1.11151,0.00000,43555
FRIGG,1981,12,0.00000,1.17778,0.00000,0.00556,1.18334,0.00000,43555
FRIGG,1982,1,0.00000,1.16972,0.00000,0.00552,1.17524,0.00000,43555
FRIGG,1982,2,0.00000,1.04953,0.00000,0.00523,1.05476,0.00000,43555
FRIGG,1982,3,0.00000,1.16131,0.00000,0.00489,1.16620,0.00000,43555
FRIGG,1982,4,0.00000,1.05147,0.00000,0.00364,1.05511,0.00000,43555
FRIGG,1982,5,0.00000,0.78046,0.00000,0.00291,0.78337,0.00000,43555
FRIGG,1982,6,0.00000,0.52012,0.00000,0.00300,0.52311,0.00000,43555
FRIGG,1982,7,0.00000,0.48396,0.00000,0.00196,0.48592,0.00000,43555
FRIGG,1982,8,0.00000,0.36298,0.00000,0.00158,0.36456,0.00000,43555
FRIGG,1982,9,0.00000,0.46487,0.00000,0.00158,0.46645,0.00000,43555
FRIGG,1982,10,0.00000,0.94020,0.00000,0.00289,0.94309,0.00000,43555
FRIGG,1982,11,0.00000,1.04192,0.00000,0.00447,1.04639,0.00000,43555
FRIGG,1982,12,0.00000,1.13886,0.00000,0.00550,1.14436,0.00000,43555
FRIGG,1983,1,0.00000,1.11415,0.00000,0.00400,1.11814,0.00000,43555
FRIGG,1983,2,0.00000,1.07301,0.00000,0.00474,1.07775,0.00000,43555
FRIGG,1983,3,0.00000,1.08639,0.00000,0.00402,1.09041,0.00000,43555
FRIGG,1983,4,0.00000,1.01615,0.00000,0.00326,1.01941,0.00000,43555
FRIGG,1983,5,0.00000,0.76673,0.00000,0.00366,0.77039,0.00000,43555
FRIGG,1983,6,0.00000,0.56692,0.00000,0.00220,0.56912,0.00000,43555
FRIGG,1983,7,0.00000,0.49284,0.00000,0.00068,0.49352,0.00000,43555
FRIGG,1983,8,0.00000,0.51021,0.00000,0.00240,0.51261,0.00000,43555
FRIGG,1983,9,0.00000,0.58912,0.00000,0.00225,0.59137,0.00000,43555
FRIGG,1983,10,0.00000,1.05873,0.00000,0.00286,1.06159,0.00000,43555
FRIGG,1983,11,0.00000,1.19018,0.00000,0.00553,1.19571,0.00000,43555
FRIGG,1983,12,0.00000,1.25459,0.00000,0.00539,1.25998,0.00000,43555
FRIGG,1984,1,0.00000,1.26108,0.00000,0.00449,1.26557,0.00000,43555
FRIGG,1984,2,0.00000,1.15513,0.00000,0.00416,1.15930,0.00000,43555
FRIGG,1984,3,0.00000,1.22112,0.00000,0.00497,1.22609,0.00000,43555
FRIGG,1984,4,0.00000,1.03112,0.00000,0.00385,1.03497,0.00000,43555
FRIGG,1984,5,0.00000,0.94376,0.00000,0.00396,0.94772,0.00000,43555
FRIGG,1984,6,0.00000,0.73687,0.00000,0.00487,0.74174,0.00000,43555
FRIGG,1984,7,0.00000,0.46699,0.00000,0.00066,0.46765,0.00000,43555
FRIGG,1984,8,0.00000,0.40302,0.00000,0.00104,0.40406,0.00000,43555
FRIGG,1984,9,0.00000,0.44612,0.00000,-0.00093,0.44519,0.00000,43555
FRIGG,1984,10,0.00000,0.64206,0.00000,0.00202,0.64407,0.00000,43555
FRIGG,1984,11,0.00000,0.85196,0.00000,0.00207,0.85403,0.00000,43555
FRIGG,1984,12,0.00000,0.92081,0.00000,0.00273,0.92354,0.00000,43555
FRIGG,1985,1,0.00000,1.03763,0.00000,0.00356,1.04119,0.00000,43555
FRIGG,1985,2,0.00000,0.90846,0.00000,0.00363,0.91209,0.00000,43555
FRIGG,1985,3,0.00000,0.96882,0.00000,0.00364,0.97246,0.00000,43555
FRIGG,1985,4,0.00000,0.90489,0.00000,0.00324,0.90813,0.00000,43555
FRIGG,1985,5,0.00000,0.70972,0.00000,0.00266,0.71238,0.00000,43555
FRIGG,1985,6,0.00000,0.38983,0.00000,0.00153,0.39136,0.00000,43555
FRIGG,1985,7,0.00000,0.53282,0.00000,0.00175,0.53457,0.00000,43555
FRIGG,1985,8,0.00000,0.37174,0.00000,0.00046,0.37220,0.00000,43555
FRIGG,1985,9,0.00000,0.40050,0.00000,0.00140,0.40190,0.00000,43555
FRIGG,1985,10,0.00000,0.49109,0.00000,0.00269,0.49378,0.00000,43555
FRIGG,1985,11,0.00000,0.88654,0.00000,0.00407,0.89061,0.00000,43555
FRIGG,1985,12,0.00000,0.98215,0.00000,0.00546,0.98761,0.00000,43555
FRIGG,1986,1,0.00000,1.01043,0.00000,0.00481,1.01523,0.00000,43555
FRIGG,1986,2,0.00000,0.92118,0.00000,0.00457,0.92575,0.00000,43555
FRIGG,1986,3,0.00000,1.07536,0.00000,0.00154,1.07690,0.00000,43555
FRIGG,1986,4,0.00000,0.62164,0.00000,0.00336,0.62500,0.00000,43555
FRIGG,1986,5,0.00000,0.63785,0.00000,0.00282,0.64067,0.00000,43555
FRIGG,1986,6,0.00000,0.53782,0.00000,0.00165,0.53946,0.00000,43555
FRIGG,1986,7,0.00000,0.48964,0.00000,0.00338,0.49302,0.00000,43555
