,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
3819,FRØY,1995,5,0.01222,0.00185,0.0,0.0,0.01407,0.0,43597
3820,FRØY,1995,6,0.04155,0.00674,0.0,0.00016999999999999999,0.04846,0.0,43597
3821,FRØY,1995,7,0.11949000000000001,0.01731,0.0,0.00058,0.13738,0.0,43597
3822,FRØY,1995,8,0.14790999999999999,0.028569999999999998,0.0,0.00119,0.17767,0.0,43597
3823,FRØY,1995,9,0.11010999999999999,0.018269999999999998,0.0,0.00039,0.12877,0.0,43597
3824,FRØY,1995,10,0.16652999999999998,0.03044,0.0,0.0012900000000000001,0.19826,0.0,43597
3825,FRØY,1995,11,0.12787,0.026439999999999998,0.0,0.00084,0.15514,0.0,43597
3826,FRØY,1995,12,0.14564000000000002,0.02401,0.0,0.00049,0.17014,0.0,43597
3827,FRØY,1996,1,0.13554000000000002,0.02252,0.0,0.00105,0.15911,0.0,43597
3828,FRØY,1996,2,0.15722,0.030180000000000002,0.0,0.0006799999999999999,0.18808,0.0,43597
3829,FRØY,1996,3,0.1559,0.028480000000000002,0.0,0.00107,0.18545,0.0,43597
3830,FRØY,1996,4,0.17375,0.03153,0.0,0.0013599999999999999,0.20663,0.0,43597
3831,FRØY,1996,5,0.17238,0.03172,0.0,0.0019399999999999999,0.20605,0.0,43597
3832,FRØY,1996,6,0.12527,0.02395,0.0,0.0038200000000000005,0.15305,0.0,43597
3833,FRØY,1996,7,0.17267000000000002,0.030080000000000003,0.0,0.00417,0.20692,0.0,43597
3834,FRØY,1996,8,0.14554,0.02962,0.0,0.00162,0.17679,0.0,43597
3835,FRØY,1996,9,0.12650999999999998,0.02493,0.0,0.00165,0.1531,0.0,43597
3836,FRØY,1996,10,0.15345999999999999,0.03113,0.0,0.0026,0.18717999999999999,0.0,43597
3837,FRØY,1996,11,0.11822,0.03015,0.0,0.00145,0.14982,0.0,43597
3838,FRØY,1996,12,0.14190999999999998,0.03121,0.0,0.00141,0.17453,0.0,43597
3839,FRØY,1997,1,0.13057,0.02484,0.0,0.00073,0.15614,0.0,43597
3840,FRØY,1997,2,0.13210999999999998,0.02719,0.0,0.00086,0.16016,0.0,43597
3841,FRØY,1997,3,0.13660999999999998,0.027360000000000002,0.0,0.00073,0.1647,0.0,43597
3842,FRØY,1997,4,0.12655999999999998,0.02441,0.0,0.0007700000000000001,0.15174,0.0,43597
3843,FRØY,1997,5,0.15061,0.0345,0.0,0.0020399999999999997,0.18715,0.0,43597
3844,FRØY,1997,6,0.06352999999999999,0.013080000000000001,0.0,0.0008699999999999999,0.07747000000000001,0.0,43597
3845,FRØY,1997,7,0.13699,0.023459999999999998,0.0,0.0017,0.16215,0.0,43597
3846,FRØY,1997,8,0.11249,0.02623,0.0,0.0036899999999999997,0.14240999999999998,0.0,43597
3847,FRØY,1997,9,0.11270999999999999,0.0239,0.0,0.0027,0.13931,0.0,43597
3848,FRØY,1997,10,0.12591,0.02255,0.0,0.00131,0.14977000000000001,0.0,43597
3849,FRØY,1997,11,0.08138,0.02421,0.0,0.00118,0.10676,0.0,43597
3850,FRØY,1997,12,0.08655,0.01705,0.0,0.00074,0.10435,0.0,43597
3851,FRØY,1998,1,0.0873,0.02026,0.0,0.00072,0.10827,0.0,43597
3852,FRØY,1998,2,0.06702000000000001,0.01665,0.0,0.0005200000000000001,0.0842,0.0,43597
3853,FRØY,1998,3,0.06825,0.01636,0.0,0.00063,0.08523,0.0,43597
3854,FRØY,1998,4,0.06846000000000001,0.01622,0.0,0.0005200000000000001,0.0852,0.0,43597
3855,FRØY,1998,5,0.04949,0.01317,0.0,0.00054,0.06319,0.0,43597
3856,FRØY,1998,6,0.05221,0.01132,0.0,0.00206,0.06559,0.0,43597
3857,FRØY,1998,7,0.06817000000000001,0.01671,0.0,0.00193,0.08681,0.0,43597
3858,FRØY,1998,8,0.07036,0.020569999999999998,0.0,0.0031899999999999997,0.09411,0.0,43597
3859,FRØY,1998,9,0.04633,0.0069900000000000006,0.0,0.0016600000000000002,0.05499,0.0,43597
3860,FRØY,1998,10,0.0487,0.01114,0.0,0.00123,0.061079999999999995,0.0,43597
3861,FRØY,1998,11,0.045630000000000004,0.01017,0.0,0.0013800000000000002,0.057170000000000006,0.0,43597
3862,FRØY,1998,12,0.04389,0.009559999999999999,0.0,0.0022,0.05565,0.0,43597
3863,FRØY,1999,1,0.05189,0.02075,0.0,0.00073,0.07337,0.0,43597
3864,FRØY,1999,2,0.04848,0.02084,0.0,0.00033,0.06965,0.0,43597
3865,FRØY,1999,3,0.0483,0.026789999999999998,0.0,0.00049,0.07558,0.0,43597
3866,FRØY,1999,4,0.04017,0.023190000000000002,0.0,0.0008900000000000001,0.06423999999999999,0.0,43597
