,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
3946,GIMLE,2005,2,0.00577,0.0,0.0,0.0,0.00577,0.0,4005142
3947,GIMLE,2005,3,0.03102,0.008020000000000001,0.00285,0.0,0.04189,4e-05,4005142
3948,GIMLE,2005,4,0.04052,0.00842,0.00294,0.0,0.051879999999999996,0.0006,4005142
3949,GIMLE,2005,5,0.0454,0.00951,0.00292,0.0,0.05782999999999999,0.00025,4005142
3950,GIMLE,2005,6,0.0589,0.01036,0.0039,0.0,0.07316,0.00022999999999999998,4005142
3951,GIMLE,2005,7,0.04725,0.01061,0.00374,0.0,0.0616,0.0012900000000000001,4005142
3952,GIMLE,2005,8,0.033260000000000005,0.00646,0.00229,0.0,0.04202,0.00489,4005142
3953,GIMLE,2005,9,0.03754,0.00822,0.0027600000000000003,0.0,0.048530000000000004,0.00175,4005142
3954,GIMLE,2005,10,0.0,0.0,0.0,0.0,0.0,0.0,4005142
3955,GIMLE,2005,11,0.0,0.0,0.0,0.0,0.0,0.0,4005142
3956,GIMLE,2005,12,0.00041,0.0001,4e-05,0.0,0.00054,1e-05,4005142
3957,GIMLE,2006,1,0.00476,0.00115,0.00045,0.0,0.00635,1e-05,4005142
3958,GIMLE,2006,2,0.02009,0.00489,0.00183,0.0,0.0268,0.0001,4005142
3959,GIMLE,2006,3,0.0,0.0,0.0,0.0,0.0,0.0,4005142
3960,GIMLE,2006,4,0.0,0.0,0.0,0.0,0.0,0.0,4005142
3961,GIMLE,2006,5,0.01278,0.00237,0.00079,0.0,0.01593,5.9999999999999995e-05,4005142
3962,GIMLE,2006,6,0.027780000000000003,0.00343,0.00115,0.0,0.03236,0.0001,4005142
3963,GIMLE,2006,7,0.03474,0.0,0.0,0.0,0.03474,0.00016,4005142
3964,GIMLE,2006,8,0.03658,0.0,0.0,0.0,0.03658,0.00044,4005142
3965,GIMLE,2006,9,0.0,0.0,0.0,0.0,0.0,0.0,4005142
3966,GIMLE,2006,10,0.0309,0.0,0.0,0.0,0.0309,4e-05,4005142
3967,GIMLE,2006,11,0.04389,0.0,0.0,0.0,0.04389,0.00016,4005142
3968,GIMLE,2006,12,0.044180000000000004,0.0,0.0,0.0,0.044180000000000004,8e-05,4005142
3969,GIMLE,2007,1,0.04299,0.0,0.0,0.0,0.04299,0.00028,4005142
3970,GIMLE,2007,2,0.03771,0.0,0.0,0.0,0.03771,0.0001,4005142
3971,GIMLE,2007,3,0.054810000000000005,0.0,0.0,0.0,0.054810000000000005,0.00037999999999999997,4005142
3972,GIMLE,2007,4,0.05115,0.0,0.0,0.0,0.05115,0.0004,4005142
3973,GIMLE,2007,5,0.04983,0.0,0.0,0.0,0.04983,0.00185,4005142
3974,GIMLE,2007,6,0.0523,0.0,0.0,0.0,0.0523,0.00059,4005142
3975,GIMLE,2007,7,0.04698,0.0,0.0,0.0,0.04698,0.00151,4005142
3976,GIMLE,2007,8,0.045380000000000004,0.0,0.0,0.0,0.045380000000000004,0.00337,4005142
3977,GIMLE,2007,9,0.043539999999999995,0.0,0.0,0.0,0.043539999999999995,0.00082,4005142
3978,GIMLE,2007,10,0.04435,0.0,0.0,0.0,0.04435,0.0017100000000000001,4005142
3979,GIMLE,2007,11,0.04122,0.0,0.0,0.0,0.04122,0.00427,4005142
3980,GIMLE,2007,12,0.03975,0.0,0.0,0.0,0.03975,0.0054399999999999995,4005142
3981,GIMLE,2008,1,0.0501,0.0,0.0,0.0,0.0501,0.00677,4005142
