prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
GOLIAT,2016,3,0.13718,0.00000,0.00000,0.00000,0.13718,0.00000,5774394
GOLIAT,2016,4,0.14581,0.00000,0.00000,0.00000,0.14581,0.00000,5774394
GOLIAT,2016,5,0.17715,0.00000,0.00000,0.00000,0.17715,0.00000,5774394
GOLIAT,2016,6,0.34265,0.00000,0.00000,0.00000,0.34265,0.00000,5774394
GOLIAT,2016,7,0.47777,0.00000,0.00000,0.00000,0.47777,0.00000,5774394
GOLIAT,2016,8,0.32846,0.00000,0.00000,0.00000,0.32846,0.00000,5774394
GOLIAT,2016,9,0.05700,0.00000,0.00000,0.00000,0.05700,0.00000,5774394
GOLIAT,2016,10,0.48353,0.00000,0.00000,0.00000,0.48353,0.00000,5774394
GOLIAT,2016,11,0.46257,0.00000,0.00000,0.00000,0.46257,0.00000,5774394
GOLIAT,2016,12,0.35611,0.00000,0.00000,0.00000,0.35611,0.00000,5774394
