prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
GUDRUN,2014,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,18116481
GUDRUN,2014,4,0.04487,0.03544,0.01572,0.00000,0.09604,0.00000,18116481
GUDRUN,2014,5,0.06617,0.04178,0.01261,0.00000,0.12055,0.00000,18116481
GUDRUN,2014,6,0.07107,0.04850,0.01915,0.00000,0.13871,0.00000,18116481
GUDRUN,2014,7,0.08350,0.05540,0.02115,0.00000,0.16005,0.00000,18116481
GUDRUN,2014,8,0.03943,0.02469,0.00859,0.00000,0.07271,0.00000,18116481
GUDRUN,2014,9,0.09353,0.05388,0.01989,0.00000,0.16730,0.00000,18116481
GUDRUN,2014,10,0.18034,0.10905,0.03312,0.00000,0.32251,0.00003,18116481
GUDRUN,2014,11,0.23463,0.13843,0.04231,0.00000,0.41537,0.00134,18116481
GUDRUN,2014,12,0.27453,0.15914,0.04467,0.00000,0.47835,0.00212,18116481
GUDRUN,2015,1,0.22501,0.12668,0.03610,0.00000,0.38779,0.00224,18116481
GUDRUN,2015,2,0.15189,0.08471,0.01421,0.00000,0.25081,0.00116,18116481
GUDRUN,2015,3,0.02313,0.01433,0.00442,0.00000,0.04187,0.00019,18116481
GUDRUN,2015,4,0.24065,0.12700,0.04782,0.00000,0.41546,0.00202,18116481
GUDRUN,2015,5,0.28732,0.14393,0.04256,0.00000,0.47382,0.00344,18116481
GUDRUN,2015,6,0.27397,0.13944,0.04691,0.00000,0.46032,0.00347,18116481
GUDRUN,2015,7,0.28991,0.14705,0.04825,0.00000,0.48521,0.00383,18116481
GUDRUN,2015,8,0.25133,0.12897,0.03670,0.00000,0.41701,0.00350,18116481
GUDRUN,2015,9,0.28733,0.14077,0.05086,0.00000,0.47896,0.00301,18116481
GUDRUN,2015,10,0.33824,0.16245,0.04978,0.00000,0.55046,0.00424,18116481
GUDRUN,2015,11,0.33193,0.16021,0.04876,0.00000,0.54090,0.00403,18116481
GUDRUN,2015,12,0.33124,0.16360,0.05147,0.00000,0.54631,0.00336,18116481
GUDRUN,2016,1,0.32902,0.16622,0.04814,0.00000,0.54338,0.00249,18116481
GUDRUN,2016,2,0.31482,0.15409,0.04647,0.00000,0.51537,0.00356,18116481
GUDRUN,2016,3,0.28135,0.13185,0.03662,0.00000,0.44981,0.00138,18116481
GUDRUN,2016,4,0.32337,0.16520,0.04728,0.00000,0.53584,0.00489,18116481
GUDRUN,2016,5,0.27397,0.13144,0.03330,0.00000,0.43870,0.00351,18116481
GUDRUN,2016,6,0.31148,0.15757,0.04735,0.00000,0.51640,0.00387,18116481
GUDRUN,2016,7,0.32533,0.16187,0.04554,0.00000,0.53274,0.00794,18116481
GUDRUN,2016,8,0.25946,0.12683,0.02906,0.00000,0.41535,0.00769,18116481
GUDRUN,2016,9,0.06512,0.04026,0.00553,0.00000,0.11091,0.00252,18116481
GUDRUN,2016,10,0.31979,0.17033,0.04703,0.00000,0.53714,0.01523,18116481
