prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
GULLFAKS SØR,1998,10,0.01315,0.00000,0.00000,0.00000,0.01315,0.00000,43699
GULLFAKS SØR,1998,11,0.02608,0.00000,0.00000,0.00000,0.02608,0.00000,43699
GULLFAKS SØR,1998,12,0.02975,0.00000,0.00000,0.00000,0.02975,0.00000,43699
GULLFAKS SØR,1999,1,0.03165,0.00000,0.00000,0.00000,0.03165,0.00000,43699
GULLFAKS SØR,1999,2,0.06987,0.00000,0.00000,0.00000,0.06987,0.00000,43699
GULLFAKS SØR,1999,3,0.12024,0.00000,0.00000,0.00000,0.12024,0.00000,43699
GULLFAKS SØR,1999,4,0.15849,0.00000,0.00000,0.00000,0.15849,0.00000,43699
GULLFAKS SØR,1999,5,0.18710,0.00000,0.00000,0.00000,0.18710,0.00000,43699
GULLFAKS SØR,1999,6,0.21592,0.00000,0.00000,0.00000,0.21592,0.00000,43699
GULLFAKS SØR,1999,7,0.22145,0.00000,0.00000,0.00000,0.22145,0.00000,43699
GULLFAKS SØR,1999,8,0.23365,0.00000,0.00000,0.00000,0.23365,0.00000,43699
GULLFAKS SØR,1999,9,0.06916,0.00000,0.00000,0.00000,0.06916,0.00000,43699
GULLFAKS SØR,1999,10,0.32008,0.00000,0.00000,0.00000,0.32008,0.00000,43699
GULLFAKS SØR,1999,11,0.30950,0.00000,0.00000,0.00000,0.30950,0.00000,43699
GULLFAKS SØR,1999,12,0.26997,0.00000,0.00000,0.00000,0.26997,0.00000,43699
GULLFAKS SØR,2000,1,0.23640,0.00000,0.00000,0.00000,0.23640,0.01551,43699
GULLFAKS SØR,2000,2,0.24305,0.00000,0.00000,0.00000,0.24305,0.01342,43699
GULLFAKS SØR,2000,3,0.21164,0.00000,0.00000,0.00000,0.21164,0.01151,43699
GULLFAKS SØR,2000,4,0.26171,0.04460,0.00712,0.00000,0.31343,0.01260,43699
GULLFAKS SØR,2000,5,0.25997,0.00435,0.00075,0.00000,0.26507,0.01724,43699
GULLFAKS SØR,2000,6,0.21792,0.02931,0.00499,0.00000,0.25223,0.01766,43699
GULLFAKS SØR,2000,7,0.25926,0.07454,0.01226,0.00000,0.34605,0.02089,43699
GULLFAKS SØR,2000,8,0.07257,0.00564,0.00066,0.00000,0.07886,0.00495,43699
GULLFAKS SØR,2000,9,0.28106,0.12216,0.02715,0.00000,0.43037,0.01956,43699
GULLFAKS SØR,2000,10,0.32675,0.12639,0.02882,0.00000,0.48196,0.01923,43699
GULLFAKS SØR,2000,11,0.31305,0.09067,0.02234,0.00000,0.42606,0.01806,43699
GULLFAKS SØR,2000,12,0.31113,0.00099,0.00083,0.00000,0.31294,0.01902,43699
