prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
GULLFAKS,1986,12,0.04448,0.00000,0.00000,0.00000,0.04448,0.00000,43686
GULLFAKS,1987,1,0.15022,0.00000,0.00000,0.00000,0.15022,0.00000,43686
GULLFAKS,1987,2,0.18404,0.00000,0.00000,0.00000,0.18404,0.00000,43686
GULLFAKS,1987,3,0.24831,0.00000,0.00000,0.00000,0.24831,0.00000,43686
GULLFAKS,1987,4,0.25665,0.00000,0.00000,0.00000,0.25665,0.00000,43686
GULLFAKS,1987,5,0.30060,0.00000,0.00000,0.00000,0.30060,0.00000,43686
GULLFAKS,1987,6,0.32300,0.00000,0.00000,0.00000,0.32300,0.00000,43686
GULLFAKS,1987,7,0.41031,0.01197,0.00079,0.00000,0.42307,0.00000,43686
GULLFAKS,1987,8,0.49382,0.02311,0.00173,0.00000,0.51866,0.00000,43686
GULLFAKS,1987,9,0.52323,0.03030,0.00593,0.00000,0.55945,0.00000,43686
GULLFAKS,1987,10,0.51704,0.02714,0.00397,0.00000,0.54816,0.00000,43686
GULLFAKS,1987,11,0.40016,0.02008,0.00152,0.00000,0.42176,0.00000,43686
GULLFAKS,1987,12,0.21261,0.00891,0.00283,0.00000,0.22435,0.00000,43686
GULLFAKS,1988,1,0.54138,0.03266,0.00252,0.00000,0.57656,0.00000,43686
GULLFAKS,1988,2,0.53352,0.03459,0.00373,0.00000,0.57184,0.00000,43686
GULLFAKS,1988,3,0.73136,0.04704,0.00520,0.00000,0.78360,0.00000,43686
GULLFAKS,1988,4,0.71983,0.04679,0.00576,0.00000,0.77238,0.00000,43686
GULLFAKS,1988,5,0.54227,0.02903,0.00331,0.00000,0.57460,0.00000,43686
GULLFAKS,1988,6,0.36593,0.02016,0.00236,0.00000,0.38845,0.00000,43686
GULLFAKS,1988,7,0.82121,0.05241,0.00792,0.00000,0.88154,0.00000,43686
GULLFAKS,1988,8,0.89106,0.05644,0.00805,0.00000,0.95555,0.00000,43686
GULLFAKS,1988,9,0.92203,0.07213,0.01085,0.00000,1.00500,0.00000,43686
GULLFAKS,1988,10,1.04272,0.07706,0.00912,0.00000,1.12890,0.00000,43686
GULLFAKS,1988,11,1.03527,0.07609,0.01210,0.00000,1.12345,0.00000,43686
GULLFAKS,1988,12,0.49244,0.03711,0.00919,0.00000,0.53874,0.00000,43686
GULLFAKS,1989,1,1.21446,0.09204,0.00992,0.00000,1.31642,0.00000,43686
GULLFAKS,1989,2,1.06986,0.07289,0.01165,0.00000,1.15440,0.00000,43686
GULLFAKS,1989,3,1.39670,0.10373,0.01682,0.00000,1.51724,0.00000,43686
GULLFAKS,1989,4,1.39914,0.09814,0.01405,0.00000,1.51132,0.00000,43686
GULLFAKS,1989,5,1.37225,0.08948,0.01373,0.00000,1.47545,0.00000,43686
GULLFAKS,1989,6,1.05541,0.07205,0.00614,0.00000,1.13361,0.00000,43686
GULLFAKS,1989,7,1.35390,0.09321,0.02012,0.00000,1.46723,0.00000,43686
GULLFAKS,1989,8,1.37131,0.09838,0.01405,0.00000,1.48374,0.00000,43686
GULLFAKS,1989,9,1.33757,0.08266,0.01028,0.00000,1.43051,0.00000,43686
GULLFAKS,1989,10,1.35927,0.08998,0.01200,0.00000,1.46125,0.00000,43686
