prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
HEIDRUN,1995,10,0.06213,0.00000,0.00000,0.00000,0.06213,0.00000,43771
HEIDRUN,1995,11,0.39492,0.00000,0.00000,0.00000,0.39492,0.00000,43771
HEIDRUN,1995,12,0.60169,0.00000,0.00000,0.00000,0.60169,0.00000,43771
HEIDRUN,1996,1,0.80976,0.00000,0.00000,0.00000,0.80976,0.00000,43771
HEIDRUN,1996,2,0.97727,0.00000,0.00000,0.00000,0.97727,0.00000,43771
HEIDRUN,1996,3,0.97676,0.00000,0.00000,0.00000,0.97676,0.00000,43771
HEIDRUN,1996,4,1.00912,0.00000,0.00000,0.00000,1.00912,0.00000,43771
HEIDRUN,1996,5,1.22077,0.00000,0.00000,0.00000,1.22077,0.00000,43771
HEIDRUN,1996,6,1.04238,0.00000,0.00000,0.00000,1.04238,0.00000,43771
HEIDRUN,1996,7,1.09559,0.00000,0.00000,0.00000,1.09559,0.00000,43771
HEIDRUN,1996,8,1.14503,0.00000,0.00000,0.00000,1.14503,0.00000,43771
HEIDRUN,1996,9,0.64914,0.00000,0.00000,0.00000,0.64914,0.00000,43771
HEIDRUN,1996,10,1.13215,0.00000,0.00000,0.00000,1.13215,0.00000,43771
HEIDRUN,1996,11,0.93862,0.00000,0.00000,0.00000,0.93862,0.00000,43771
HEIDRUN,1996,12,1.19269,0.00000,0.00000,0.00000,1.19269,0.00000,43771
HEIDRUN,1997,1,1.18580,0.00000,0.00000,0.00000,1.18580,0.00000,43771
HEIDRUN,1997,2,1.14668,0.00000,0.00000,0.00000,1.14668,0.00000,43771
HEIDRUN,1997,3,1.18172,0.00000,0.00000,0.00000,1.18172,0.00000,43771
HEIDRUN,1997,4,1.10415,0.00000,0.00000,0.00000,1.10415,0.00000,43771
HEIDRUN,1997,5,1.05788,0.00080,0.00000,0.00000,1.05868,0.00000,43771
HEIDRUN,1997,6,1.01843,0.02458,0.00000,0.00000,1.04300,0.00000,43771
HEIDRUN,1997,7,1.12974,0.03804,0.00000,0.00000,1.16778,0.00000,43771
HEIDRUN,1997,8,1.09076,0.05213,0.00000,0.00000,1.14289,0.00000,43771
HEIDRUN,1997,9,1.06155,0.04531,0.00000,0.00000,1.10686,0.00000,43771
HEIDRUN,1997,10,1.12238,0.05182,0.00000,0.00000,1.17420,0.00000,43771
HEIDRUN,1997,11,1.14023,0.05555,0.00000,0.00000,1.19578,0.00000,43771
HEIDRUN,1997,12,1.21715,0.05819,0.00000,0.00000,1.27534,0.00000,43771
HEIDRUN,1998,1,1.17321,0.05592,0.00000,0.00000,1.22913,0.00000,43771
HEIDRUN,1998,2,1.05305,0.04511,0.00000,0.00000,1.09816,0.00000,43771
HEIDRUN,1998,3,1.12006,0.05735,0.00000,0.00000,1.17740,0.00000,43771
HEIDRUN,1998,4,0.99978,0.05243,0.00000,0.00000,1.05221,0.00000,43771
HEIDRUN,1998,5,1.02398,0.05494,0.00000,0.00000,1.07892,0.00000,43771
HEIDRUN,1998,6,0.93911,0.03251,0.00000,0.00000,0.97161,0.00000,43771
HEIDRUN,1998,7,0.98544,0.05742,0.00000,0.00000,1.04287,0.00000,43771
HEIDRUN,1998,8,0.93919,0.04951,0.00000,0.00000,0.98870,0.00000,43771
HEIDRUN,1998,9,0.39753,0.00430,0.00000,0.00000,0.40183,0.00000,43771
HEIDRUN,1998,10,1.04831,0.05719,0.00000,0.00000,1.10550,0.00000,43771
HEIDRUN,1998,11,1.00968,0.05775,0.00000,0.00000,1.06743,0.00000,43771
HEIDRUN,1998,12,1.00110,0.04618,0.00000,0.00000,1.04728,0.00000,43771
HEIDRUN,1999,1,0.99413,0.04550,0.00000,0.00000,1.03964,0.00000,43771
HEIDRUN,1999,2,0.89267,0.03999,0.00000,0.00000,0.93265,0.00000,43771
HEIDRUN,1999,3,1.01818,0.05844,0.00000,0.00000,1.07663,0.00000,43771
HEIDRUN,1999,4,1.00469,0.04896,0.00000,0.00000,1.05365,0.00000,43771
