prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
HEIMDAL,1985,12,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,43590
HEIMDAL,1986,1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,43590
HEIMDAL,1986,2,0.00000,0.00729,0.00000,0.00000,0.00729,0.00000,43590
HEIMDAL,1986,3,0.00407,0.06754,0.00000,0.00000,0.07161,0.00000,43590
HEIMDAL,1986,4,0.00713,0.03072,0.00000,0.00000,0.03785,0.00000,43590
HEIMDAL,1986,5,0.03320,0.23868,0.00000,0.00000,0.27188,0.00000,43590
HEIMDAL,1986,6,0.02849,0.16742,0.00000,0.00000,0.19591,0.00000,43590
HEIMDAL,1986,7,0.03976,0.27200,0.00000,0.00000,0.31176,0.00000,43590
HEIMDAL,1986,8,0.03956,0.23604,0.00000,0.00000,0.27559,0.00000,43590
HEIMDAL,1986,9,0.03538,0.22447,0.00000,0.00000,0.25985,0.00000,43590
HEIMDAL,1986,10,0.04395,0.29172,0.00000,0.00000,0.33567,0.00000,43590
HEIMDAL,1986,11,0.04044,0.26247,0.00000,0.00000,0.30290,0.00000,43590
HEIMDAL,1986,12,0.04356,0.28589,0.00000,0.00000,0.32946,0.00000,43590
HEIMDAL,1987,1,0.04648,0.31602,0.00000,0.00000,0.36250,0.00000,43590
HEIMDAL,1987,2,0.04433,0.28527,0.00000,0.00000,0.32960,0.00000,43590
HEIMDAL,1987,3,0.05257,0.31644,0.00000,0.00000,0.36900,0.00000,43590
HEIMDAL,1987,4,0.05056,0.31114,0.00000,0.00000,0.36170,0.00000,43590
HEIMDAL,1987,5,0.05200,0.32882,0.00000,0.00000,0.38083,0.00000,43590
HEIMDAL,1987,6,0.01733,0.29660,0.00000,0.00000,0.31393,0.00000,43590
HEIMDAL,1987,7,0.05008,0.31276,0.00000,0.00000,0.36283,0.00000,43590
HEIMDAL,1987,8,0.02121,0.12301,0.00000,0.00000,0.14423,0.00000,43590
HEIMDAL,1987,9,0.04264,0.29904,0.00000,0.00000,0.34168,0.00000,43590
HEIMDAL,1987,10,0.04685,0.30277,0.00000,0.00000,0.34961,0.00000,43590
HEIMDAL,1987,11,0.04738,0.31807,0.00000,0.00000,0.36545,0.00000,43590
HEIMDAL,1987,12,0.04840,0.31481,0.00000,0.00000,0.36320,0.00000,43590
HEIMDAL,1988,1,0.04925,0.31978,0.00000,0.00000,0.36903,0.00000,43590
HEIMDAL,1988,2,0.04558,0.27091,0.00000,0.00000,0.31649,0.00000,43590
HEIMDAL,1988,3,0.04667,0.28703,0.00000,0.00000,0.33370,0.00000,43590
HEIMDAL,1988,4,0.04828,0.29319,0.00000,0.00000,0.34147,0.00000,43590
HEIMDAL,1988,5,0.04829,0.28193,0.00000,0.00000,0.33022,0.00000,43590
HEIMDAL,1988,6,0.04587,0.29337,0.00000,0.00000,0.33924,0.00000,43590
HEIMDAL,1988,7,0.05378,0.32139,0.00000,0.00000,0.37517,0.00000,43590
HEIMDAL,1988,8,0.04863,0.30475,0.00000,0.00000,0.35338,0.00000,43590
HEIMDAL,1988,9,0.04563,0.28491,0.00000,0.00000,0.33054,0.00000,43590
HEIMDAL,1988,10,0.04981,0.30907,0.00000,0.00000,0.35888,0.00000,43590
