,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
6252,HOD,1990,10,0.05297,0.00633,0.00349,0.0,0.06279,0.0,43485
6253,HOD,1990,11,0.05413,0.0074,0.00372,0.0,0.06523999999999999,0.0,43485
6254,HOD,1990,12,0.048060000000000005,0.00704,0.00322,0.0,0.05831,0.0,43485
6255,HOD,1991,1,0.10995,0.01499,0.00614,0.0,0.13107,0.0,43485
6256,HOD,1991,2,0.12134,0.01545,0.007690000000000001,0.0,0.14448,0.0,43485
6257,HOD,1991,3,0.12622,0.016630000000000002,0.00788,0.0,0.15074,0.0,43485
6258,HOD,1991,4,0.1245,0.01617,0.007909999999999999,0.0,0.14857,0.0,43485
6259,HOD,1991,5,0.12335,0.014790000000000001,0.007940000000000001,0.0,0.14608,0.0,43485
6260,HOD,1991,6,0.12980999999999998,0.018369999999999997,0.00778,0.0,0.15596,0.0,43485
6261,HOD,1991,7,0.13666,0.01923,0.00784,0.0,0.16373,0.0,43485
6262,HOD,1991,8,0.06387999999999999,0.00783,0.0026,0.0,0.0743,0.0,43485
6263,HOD,1991,9,0.14941,0.020419999999999997,0.008490000000000001,0.0,0.17832,0.0,43485
6264,HOD,1991,10,0.15885,0.020980000000000002,0.00848,0.0,0.18830999999999998,0.0,43485
6265,HOD,1991,11,0.15148,0.0209,0.00763,0.0,0.18,0.0,43485
6266,HOD,1991,12,0.13071,0.016390000000000002,0.00727,0.0,0.15438,0.0,43485
6267,HOD,1992,1,0.12595,0.01832,0.006490000000000001,0.0,0.15075999999999998,0.0,43485
6268,HOD,1992,2,0.10905999999999999,0.0165,0.00673,0.0,0.13229000000000002,0.0,43485
6269,HOD,1992,3,0.10707,0.01901,0.005520000000000001,0.0,0.1316,0.0,43485
6270,HOD,1992,4,0.11560999999999999,0.0221,0.00674,0.0,0.14445,0.0,43485
6271,HOD,1992,5,0.09548,0.01846,0.00611,0.0,0.12005,0.0,43485
6272,HOD,1992,6,0.11548,0.01775,0.00698,0.0,0.14021,0.0,43485
6273,HOD,1992,7,0.11488,0.02409,0.00702,0.0,0.14598,0.0,43485
6274,HOD,1992,8,0.11149,0.024640000000000002,0.00705,0.0,0.14318,0.0,43485
6275,HOD,1992,9,0.10207999999999999,0.01904,0.006379999999999999,0.0,0.1275,0.0,43485
6276,HOD,1992,10,0.1046,0.02477,0.0061600000000000005,0.0,0.13552999999999998,0.0,43485
6277,HOD,1992,11,0.09134,0.02169,0.00636,0.0,0.11939000000000001,0.0,43485
6278,HOD,1992,12,0.09451,0.0234,0.0051600000000000005,0.0,0.12307,0.0,43485
6279,HOD,1993,1,0.08846,0.022930000000000002,0.00515,0.0,0.11653,0.0,43485
6280,HOD,1993,2,0.07524,0.01889,0.004529999999999999,0.0,0.09866,0.0,43485
6281,HOD,1993,3,0.08082,0.01857,0.0048200000000000005,0.0,0.1042,0.0,43485
6282,HOD,1993,4,0.07081,0.01754,0.00476,0.0,0.09311,0.0,43485
6283,HOD,1993,5,0.0679,0.01623,0.00417,0.0,0.08829,0.0,43485
6284,HOD,1993,6,0.07334,0.015590000000000001,0.0042,0.0,0.09312999999999999,0.0,43485
6285,HOD,1993,7,0.07415,0.01762,0.00426,0.0,0.09602999999999999,0.0,43485
6286,HOD,1993,8,0.07188,0.01738,0.00424,0.0,0.0935,0.0,43485
6287,HOD,1993,9,0.06531,0.014240000000000001,0.00361,0.0,0.08316,0.0,43485
6288,HOD,1993,10,0.06923,0.01519,0.00386,0.0,0.08828,0.0,43485
6289,HOD,1993,11,0.06627000000000001,0.01404,0.00375,0.0,0.08406,0.0,43485
6290,HOD,1993,12,0.06472,0.0155,0.0038200000000000005,0.0,0.08404,0.0,43485
6291,HOD,1994,1,0.06054,0.014180000000000002,0.00358,0.0,0.0783,0.0,43485
6292,HOD,1994,2,0.0449,0.00957,0.00266,0.0,0.057120000000000004,0.0,43485
6293,HOD,1994,3,0.05636,0.01293,0.00316,0.0,0.07245,0.0,43485
6294,HOD,1994,4,0.05267,0.01273,0.00298,0.0,0.06837,0.0,43485
6295,HOD,1994,5,0.052110000000000004,0.012790000000000001,0.00315,0.0,0.06804,0.0,43485
6296,HOD,1994,6,0.05186,0.01199,0.00337,0.0,0.06722,0.0,43485
6297,HOD,1994,7,0.057010000000000005,0.011890000000000001,0.0033799999999999998,0.0,0.07228,0.0,43485
6298,HOD,1994,8,0.03313,0.00448,0.0015300000000000001,0.0,0.03914,0.0,43485
6299,HOD,1994,9,0.053070000000000006,0.01464,0.004220000000000001,0.0,0.07192,0.0,43485
6300,HOD,1994,10,0.05563,0.01153,0.0036299999999999995,0.0,0.07078,0.0,43485
6301,HOD,1994,11,0.05008,0.01116,0.00317,0.0,0.06441000000000001,0.0,43485
6302,HOD,1994,12,0.049,0.011,0.00345,0.0,0.06346,0.0,43485
6303,HOD,1995,1,0.047869999999999996,0.01022,0.0031100000000000004,0.0,0.06121,0.0,43485
6304,HOD,1995,2,0.04326,0.01004,0.00286,0.0,0.05615,0.0,43485
6305,HOD,1995,3,0.046130000000000004,0.01014,0.0030600000000000002,0.0,0.059329999999999994,0.0,43485
6306,HOD,1995,4,0.04488,0.00987,0.00267,0.0,0.057420000000000006,0.0,43485
6307,HOD,1995,5,0.04111,0.00907,0.00245,0.0,0.05262000000000001,0.0,43485
6308,HOD,1995,6,0.04276,0.00952,0.00265,0.0,0.05492999999999999,0.0,43485
