,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
6564,HULDRA,2001,11,0.014169999999999999,0.031810000000000005,0.00103,0.0,0.04701,0.00149,97002
6565,HULDRA,2001,12,0.02394,0.05005,0.0007599999999999999,0.0,0.07476000000000001,0.00161,97002
6566,HULDRA,2002,1,0.07269,0.15714,0.00199,0.0,0.23181,0.00496,97002
6567,HULDRA,2002,2,0.10141,0.21170999999999998,0.00404,0.0,0.31715,0.00677,97002
6568,HULDRA,2002,3,0.12162,0.25647,0.0055,0.0,0.38359,0.00905,97002
6569,HULDRA,2002,4,0.09767999999999999,0.21059,0.00489,0.0,0.31316,0.010440000000000001,97002
6570,HULDRA,2002,5,0.12832000000000002,0.22580999999999998,0.0051600000000000005,0.0,0.35929,0.00954,97002
6571,HULDRA,2002,6,0.10300999999999999,0.20714000000000002,0.00447,0.0,0.31463,0.01563,97002
6572,HULDRA,2002,7,0.11625999999999999,0.24273000000000003,0.00525,0.0,0.36424,0.02615,97002
6573,HULDRA,2002,8,0.04956,0.10484,0.00236,0.0,0.15675999999999998,0.010409999999999999,97002
6574,HULDRA,2002,9,0.09454,0.2161,0.0042,0.0,0.31484,0.024659999999999998,97002
6575,HULDRA,2002,10,0.10292000000000001,0.22954000000000002,0.00465,0.0,0.3371,0.027889999999999998,97002
6576,HULDRA,2002,11,0.1278,0.26652,0.0054600000000000004,0.0,0.39976999999999996,0.04111,97002
6577,HULDRA,2002,12,0.13296,0.2866,0.0038200000000000005,0.0,0.42339,0.04408,97002
6578,HULDRA,2003,1,0.13389,0.30517,0.0053,0.0,0.44436000000000003,0.044489999999999995,97002
6579,HULDRA,2003,2,0.13392,0.29861,0.0029100000000000003,0.0,0.43543999999999994,0.04704,97002
6580,HULDRA,2003,3,0.0953,0.21414,0.0009599999999999999,0.0,0.3104,0.03316,97002
6581,HULDRA,2003,4,0.11115,0.26466999999999996,0.0008300000000000001,0.0,0.37665,0.04395,97002
6582,HULDRA,2003,5,0.12427,0.3144,0.00085,0.0,0.43951,0.0481,97002
6583,HULDRA,2003,6,0.09655,0.24543,0.00251,0.0,0.34449,0.03261,97002
6584,HULDRA,2003,7,0.04363,0.1111,0.00151,0.0,0.15623,0.015969999999999998,97002
6585,HULDRA,2003,8,0.0695,0.19372999999999999,0.00195,0.0,0.26516999999999996,0.02401,97002
6586,HULDRA,2003,9,0.10355,0.26914,0.0028,0.0,0.37549,0.03997,97002
6587,HULDRA,2003,10,0.09112,0.24005,0.00156,0.0,0.33273,0.04069,97002
6588,HULDRA,2003,11,0.07499,0.2133,0.0008300000000000001,0.0,0.28912,0.02622,97002
6589,HULDRA,2003,12,0.10475,0.28849,0.00119,0.0,0.39443,0.031330000000000004,97002
6590,HULDRA,2004,1,0.11596,0.3266,0.00108,0.0,0.44363,0.04113,97002
6591,HULDRA,2004,2,0.1007,0.27119,0.0009400000000000001,0.0,0.37282,0.03779,97002
6592,HULDRA,2004,3,0.09569,0.29621,0.00271,0.0,0.39461,0.03594,97002
6593,HULDRA,2004,4,0.0906,0.29841999999999996,0.00323,0.0,0.39225,0.03901,97002
6594,HULDRA,2004,5,0.08165,0.2805,0.00309,0.0,0.36524,0.03325,97002
6595,HULDRA,2004,6,0.08252000000000001,0.27359,0.0048,0.0,0.36091999999999996,0.03222,97002
6596,HULDRA,2004,7,0.08691,0.2984,0.00549,0.0,0.39081,0.039389999999999994,97002
