,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
6742,HYME,2013,2,0.0,0.0,0.0,0.0,0.0,0.0,20474183
6743,HYME,2013,3,0.06657,0.00827,0.00687,0.0,0.0817,0.00063,20474183
6744,HYME,2013,4,0.06873,0.00946,0.00774,0.0,0.08592000000000001,0.0009199999999999999,20474183
6745,HYME,2013,5,0.08513,0.01023,0.00848,0.0,0.10384000000000002,0.0007599999999999999,20474183
6746,HYME,2013,6,0.07522999999999999,0.01034,0.008320000000000001,0.0,0.09389,0.00072,20474183
6747,HYME,2013,7,0.0626,0.009590000000000001,0.007690000000000001,0.0,0.07987000000000001,0.00057,20474183
6748,HYME,2013,8,0.0,0.0,0.0,0.0,0.0,0.0,20474183
6749,HYME,2013,9,0.0,0.0,0.0,0.0,0.0,0.0,20474183
6750,HYME,2013,10,0.0,0.0,0.0,0.0,0.0,0.0,20474183
6751,HYME,2013,11,0.0,0.0,0.0,0.0,0.0,0.0,20474183
6752,HYME,2013,12,0.0,0.0,0.0,0.0,0.0,0.0,20474183
6753,HYME,2014,1,0.0,0.0,0.0,0.0,0.0,0.0,20474183
6754,HYME,2014,2,0.0,0.0,0.0,0.0,0.0,0.0,20474183
6755,HYME,2014,3,0.0,0.0,0.0,0.0,0.0,0.0,20474183
6756,HYME,2014,4,0.0,0.0,0.0,0.0,0.0,0.0,20474183
6757,HYME,2014,5,0.0,0.0,0.0,0.0,0.0,0.0,20474183
6758,HYME,2014,6,0.0,0.0,0.0,0.0,0.0,0.0,20474183
6759,HYME,2014,7,0.02425,0.00379,0.00232,0.0,0.03036,0.00015,20474183
6760,HYME,2014,8,0.08112,0.010759999999999999,0.00864,0.0,0.10052,0.00055,20474183
6761,HYME,2014,9,0.07526000000000001,0.009729999999999999,0.00792,0.0,0.09291,0.00056,20474183
6762,HYME,2014,10,0.07854,0.0069099999999999995,0.00702,0.0,0.09247000000000001,0.00159,20474183
6763,HYME,2014,11,0.07833,0.006640000000000001,0.00731,0.0,0.09229,0.0019,20474183
6764,HYME,2014,12,0.06387999999999999,0.00831,0.008759999999999999,0.0,0.08095,0.00372,20474183
6765,HYME,2015,1,0.06955,0.00746,0.0069900000000000006,0.0,0.084,0.00866,20474183
6766,HYME,2015,2,0.06706000000000001,0.00788,0.00685,0.0,0.08177999999999999,0.01196,20474183
6767,HYME,2015,3,0.06727000000000001,0.00619,0.0063100000000000005,0.0,0.07977000000000001,0.01525,20474183
6768,HYME,2015,4,0.07355,0.00926,0.00742,0.0,0.09022000000000001,0.01908,20474183
6769,HYME,2015,5,0.07556,0.01034,0.00792,0.0,0.09382,0.02539,20474183
6770,HYME,2015,6,0.07362,0.01085,0.00804,0.0,0.09251000000000001,0.032389999999999995,20474183
6771,HYME,2015,7,0.07015,0.0106,0.007640000000000001,0.0,0.08839,0.03784,20474183
6772,HYME,2015,8,0.07226,0.010920000000000001,0.00826,0.0,0.09143,0.04272,20474183
6773,HYME,2015,9,0.06919,0.01114,0.007090000000000001,0.0,0.08742,0.04478,20474183
6774,HYME,2015,10,0.07484,0.0121,0.00785,0.0,0.09477999999999999,0.05085,20474183
6775,HYME,2015,11,0.06992000000000001,0.009309999999999999,0.006670000000000001,0.0,0.0859,0.05094,20474183
6776,HYME,2015,12,0.05752,0.0086,0.0069,0.0,0.07302,0.04973,20474183
6777,HYME,2016,1,0.06475,0.00938,0.00797,0.0,0.08209,0.05112,20474183
6778,HYME,2016,2,0.05752,0.007809999999999999,0.0069700000000000005,0.0,0.0723,0.05005,20474183
6779,HYME,2016,3,0.055470000000000005,0.008190000000000001,0.00689,0.0,0.07056,0.05678,20474183
6780,HYME,2016,4,0.049260000000000005,0.00645,0.00561,0.0,0.061320000000000006,0.059789999999999996,20474183
6781,HYME,2016,5,0.04554,0.0058,0.00513,0.0,0.056470000000000006,0.06508,20474183
6782,HYME,2016,6,0.0013,0.0,0.0,0.0,0.0013,0.00215,20474183
6783,HYME,2016,7,0.0,0.0,0.0,0.0,0.0,0.0,20474183
6784,HYME,2016,8,0.0,0.0,0.0,0.0,0.0,0.0,20474183
6785,HYME,2016,9,0.0,0.0,0.0,0.0,0.0,0.0,20474183
