,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
6786,ISLAY,2012,4,0.00016,0.00231,0.00021,0.0,0.0026899999999999997,0.0,21105675
6787,ISLAY,2012,5,0.00025,0.0036799999999999997,0.00033999999999999997,0.0,0.00427,0.0,21105675
6788,ISLAY,2012,6,0.00022999999999999998,0.0033299999999999996,0.00031,0.0,0.00386,0.0,21105675
6789,ISLAY,2012,7,0.00026000000000000003,0.0037799999999999995,0.00035,0.0,0.004379999999999999,0.0,21105675
6790,ISLAY,2012,8,0.00023999999999999998,0.00361,0.00033,0.0,0.00418,0.0,21105675
6791,ISLAY,2012,9,0.0,0.0,0.0,0.0,0.0,0.0,21105675
6792,ISLAY,2012,10,7e-05,0.0009599999999999999,9e-05,0.0,0.00112,0.0,21105675
6793,ISLAY,2012,11,0.00022999999999999998,0.00375,0.00033999999999999997,0.0,0.00432,0.0,21105675
6794,ISLAY,2012,12,0.00023999999999999998,0.00398,0.00036,0.0,0.00458,0.0,21105675
6795,ISLAY,2013,1,0.00021,0.00349,0.00032,0.0,0.00402,0.0,21105675
6796,ISLAY,2013,2,0.0002,0.00352,0.00032,0.0,0.00404,0.0,21105675
6797,ISLAY,2013,3,0.00016,0.00271,0.00025,0.0,0.00312,0.0,21105675
6798,ISLAY,2013,4,0.00016999999999999999,0.00316,0.00029,0.0,0.0036200000000000004,0.0,21105675
6799,ISLAY,2013,5,0.00016,0.00293,0.00027,0.0,0.00335,0.0,21105675
6800,ISLAY,2013,6,0.00015,0.00292,0.00027,0.0,0.0033299999999999996,0.0,21105675
6801,ISLAY,2013,7,0.00014,0.00285,0.00026000000000000003,0.0,0.00325,0.0,21105675
6802,ISLAY,2013,8,0.00011999999999999999,0.0023899999999999998,0.00022,0.0,0.0027199999999999998,0.0,21105675
6803,ISLAY,2013,9,0.0001,0.0020800000000000003,0.00018999999999999998,0.0,0.00238,0.0,21105675
6804,ISLAY,2013,10,5.9999999999999995e-05,0.0011099999999999999,0.0001,0.0,0.0012699999999999999,0.0,21105675
6805,ISLAY,2013,11,0.0001,0.00197,0.00018,0.0,0.00224,0.0,21105675
