prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
JETTE,2013,5,0.02267,0.00116,0.00000,0.00000,0.02383,0.00339,21613906
JETTE,2013,6,0.04882,0.00251,0.00000,0.00000,0.05133,0.00514,21613906
JETTE,2013,7,0.04096,0.00117,0.00000,0.00000,0.04214,0.00284,21613906
JETTE,2013,8,0.03052,0.00038,0.00000,0.00000,0.03090,0.00284,21613906
JETTE,2013,9,0.02168,0.00000,0.00000,0.00000,0.02168,0.00271,21613906
JETTE,2013,10,0.01990,0.00000,0.00000,0.00000,0.01990,0.00255,21613906
JETTE,2013,11,0.01781,0.00000,0.00000,0.00000,0.01781,0.00275,21613906
JETTE,2013,12,0.01691,0.00000,0.00000,0.00000,0.01691,0.01299,21613906
JETTE,2014,1,0.01482,0.00000,0.00000,0.00000,0.01482,0.03122,21613906
JETTE,2014,2,0.01114,0.00000,0.00000,0.00000,0.01114,0.02873,21613906
JETTE,2014,3,0.00980,0.00000,0.00000,0.00000,0.00980,0.02152,21613906
JETTE,2014,4,0.00978,0.00001,0.00000,0.00000,0.00979,0.03067,21613906
JETTE,2014,5,0.01067,0.00005,0.00000,0.00000,0.01072,0.03168,21613906
JETTE,2014,6,0.01012,0.00001,0.00000,0.00000,0.01013,0.03078,21613906
JETTE,2014,7,0.00896,0.00001,0.00000,0.00000,0.00897,0.03016,21613906
JETTE,2014,8,0.00536,0.00003,0.00000,0.00000,0.00538,0.02870,21613906
JETTE,2014,9,0.00654,0.00000,0.00000,0.00000,0.00655,0.03078,21613906
JETTE,2014,10,0.00636,0.00000,0.00000,0.00000,0.00636,0.03155,21613906
JETTE,2014,11,0.00538,0.00000,0.00000,0.00000,0.00538,0.03059,21613906
JETTE,2014,12,0.00324,0.00003,0.00000,0.00000,0.00327,0.01727,21613906
JETTE,2015,1,0.00767,0.00001,0.00000,0.00000,0.00768,0.03181,21613906
JETTE,2015,2,0.00518,0.00002,0.00000,0.00000,0.00520,0.02873,21613906
JETTE,2015,3,0.00479,0.00012,0.00000,0.00000,0.00491,0.03176,21613906
JETTE,2015,4,0.00313,0.00006,0.00000,0.00000,0.00319,0.02838,21613906
JETTE,2015,5,0.00477,0.00004,0.00000,0.00000,0.00481,0.02941,21613906
JETTE,2015,6,0.00271,0.00000,0.00000,0.00000,0.00272,0.03035,21613906
JETTE,2015,7,0.00529,0.00001,0.00000,0.00000,0.00529,0.03181,21613906
JETTE,2015,8,0.00626,0.00004,0.00000,0.00000,0.00630,0.03010,21613906
JETTE,2015,9,0.00283,0.00000,0.00000,0.00000,0.00283,0.01768,21613906
JETTE,2015,10,0.00511,0.00001,0.00000,0.00000,0.00512,0.03185,21613906
JETTE,2015,11,0.00222,0.00000,0.00000,0.00000,0.00223,0.03078,21613906
JETTE,2015,12,0.00345,0.00000,0.00000,0.00000,0.00346,0.03165,21613906
JETTE,2016,1,0.00518,0.00000,0.00000,0.00000,0.00518,0.03181,21613906
JETTE,2016,2,0.00491,0.00000,0.00000,0.00000,0.00491,0.02975,21613906
JETTE,2016,3,0.00519,0.00000,0.00000,0.00000,0.00520,0.03137,21613906
JETTE,2016,4,0.00454,0.00003,0.00000,0.00000,0.00457,0.03059,21613906
JETTE,2016,5,0.00440,0.00001,0.00000,0.00000,0.00440,0.03181,21613906
JETTE,2016,6,0.00515,0.00002,0.00000,0.00000,0.00517,0.03078,21613906
JETTE,2016,7,0.00538,0.00001,0.00000,0.00000,0.00539,0.03067,21613906
JETTE,2016,8,0.00471,0.00000,0.00000,0.00000,0.00471,0.03181,21613906
JETTE,2016,9,0.00269,0.00001,0.00000,0.00000,0.00270,0.02095,21613906
JETTE,2016,10,0.00524,0.00003,0.00000,0.00000,0.00527,0.03165,21613906
JETTE,2016,11,0.00356,0.00000,0.00000,0.00000,0.00356,0.02962,21613906
JETTE,2016,12,0.00128,0.00000,0.00000,0.00000,0.00128,0.01179,21613906
JETTE,2017,1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21613906
JETTE,2017,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21613906
JETTE,2017,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21613906
