prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
JOTUN,1999,10,0.04309,0.00000,0.00000,0.00000,0.04309,0.00000,43604
JOTUN,1999,11,0.37468,0.00403,0.00000,0.00000,0.37872,0.00018,43604
JOTUN,1999,12,0.44533,0.00840,0.00000,0.00000,0.45373,0.00157,43604
JOTUN,2000,1,0.45460,0.01354,0.00000,0.00000,0.46814,0.00952,43604
JOTUN,2000,2,0.45275,0.02354,0.00000,0.00000,0.47628,0.01180,43604
JOTUN,2000,3,0.54212,0.02010,0.00000,0.00000,0.56222,0.01824,43604
JOTUN,2000,4,0.56462,0.02523,0.00000,0.00000,0.58984,0.02864,43604
JOTUN,2000,5,0.58642,0.02338,0.00000,0.00000,0.60980,0.03815,43604
JOTUN,2000,6,0.61301,0.02591,0.00000,0.00000,0.63892,0.04932,43604
JOTUN,2000,7,0.62984,0.02675,0.00000,0.00000,0.65658,0.06415,43604
JOTUN,2000,8,0.69582,0.02930,0.00000,0.00000,0.72513,0.07958,43604
JOTUN,2000,9,0.61420,0.02593,0.00000,0.00000,0.64014,0.09428,43604
JOTUN,2000,10,0.68669,0.03081,0.00000,0.00000,0.71749,0.11910,43604
JOTUN,2000,11,0.66843,0.03619,0.00000,0.00000,0.70462,0.13398,43604
JOTUN,2000,12,0.65722,0.03215,0.00000,0.00000,0.68937,0.17466,43604
JOTUN,2001,1,0.64876,0.03433,0.00000,0.00000,0.68309,0.21934,43604
JOTUN,2001,2,0.55637,0.02250,0.00000,0.00000,0.57887,0.23653,43604
JOTUN,2001,3,0.59771,0.02257,0.00000,0.00000,0.62027,0.28821,43604
JOTUN,2001,4,0.55094,0.02057,0.00000,0.00000,0.57151,0.31680,43604
JOTUN,2001,5,0.52096,0.01846,0.00000,0.00000,0.53942,0.34572,43604
JOTUN,2001,6,0.42497,0.01533,0.00000,0.00000,0.44030,0.33576,43604
JOTUN,2001,7,0.45020,0.01615,0.00000,0.00000,0.46635,0.39401,43604
JOTUN,2001,8,0.41076,0.01389,0.00000,0.00000,0.42464,0.41735,43604
JOTUN,2001,9,0.36164,0.01180,0.00000,0.00000,0.37344,0.43989,43604
JOTUN,2001,10,0.34717,0.01111,0.00000,0.00000,0.35829,0.47621,43604
JOTUN,2001,11,0.30698,0.00936,0.00000,0.00000,0.31634,0.50119,43604
JOTUN,2001,12,0.30335,0.00962,0.00000,0.00000,0.31297,0.53665,43604
JOTUN,2002,1,0.27726,0.00803,0.00000,0.00000,0.28530,0.52717,43604
JOTUN,2002,2,0.24187,0.00700,0.00000,0.00000,0.24887,0.49569,43604
JOTUN,2002,3,0.24878,0.00732,0.00000,0.00000,0.25610,0.54944,43604
JOTUN,2002,4,0.23272,0.00654,0.00000,0.00000,0.23926,0.56394,43604
JOTUN,2002,5,0.22396,0.00605,0.00000,0.00000,0.23000,0.57378,43604
JOTUN,2002,6,0.19267,0.00526,0.00000,0.00000,0.19793,0.54434,43604
JOTUN,2002,7,0.19298,0.00462,0.00000,0.00000,0.19759,0.53382,43604
JOTUN,2002,8,0.22213,0.00562,0.00000,0.00000,0.22775,0.58703,43604
JOTUN,2002,9,0.19805,0.00535,0.00000,0.00000,0.20340,0.60208,43604
JOTUN,2002,10,0.19777,0.00455,0.00000,0.00000,0.20232,0.62321,43604
JOTUN,2002,11,0.18018,0.00424,0.00000,0.00000,0.18441,0.59393,43604
JOTUN,2002,12,0.17870,0.00381,0.00000,0.00000,0.18250,0.64546,43604
JOTUN,2003,1,0.20203,0.00430,0.00000,0.00000,0.20633,0.64249,43604
JOTUN,2003,2,0.20089,0.00453,0.00000,0.00000,0.20541,0.56895,43604
JOTUN,2003,3,0.24592,0.00561,0.00000,0.00000,0.25153,0.58642,43604
JOTUN,2003,4,0.24439,0.00568,0.00000,0.00000,0.25007,0.55776,43604
JOTUN,2003,5,0.21784,0.00485,0.00000,0.00000,0.22268,0.60661,43604
JOTUN,2003,6,0.21277,0.00488,0.00000,0.00000,0.21765,0.60057,43604
JOTUN,2003,7,0.19944,0.00445,0.00000,0.00000,0.20389,0.64556,43604
JOTUN,2003,8,0.18122,0.00339,0.00000,0.00000,0.18461,0.67164,43604
JOTUN,2003,9,0.11314,0.00204,0.00000,0.00000,0.11518,0.46420,43604
JOTUN,2003,10,0.13618,0.00235,0.00000,0.00000,0.13853,0.58899,43604
JOTUN,2003,11,0.13937,0.00333,0.00000,0.00000,0.14270,0.70769,43604
JOTUN,2003,12,0.14144,0.00299,0.00000,0.00000,0.14443,0.76058,43604
JOTUN,2004,1,0.13059,0.00220,0.00000,0.00000,0.13279,0.76090,43604
JOTUN,2004,2,0.11885,0.00267,0.00000,0.00000,0.12151,0.69847,43604
JOTUN,2004,3,0.11558,0.00369,0.00000,0.00000,0.11927,0.72751,43604
JOTUN,2004,4,0.10214,0.00602,0.00000,0.00000,0.10816,0.67606,43604
JOTUN,2004,5,0.10032,0.00614,0.00000,0.00000,0.10646,0.66857,43604
JOTUN,2004,6,0.08824,0.00427,0.00000,0.00000,0.09251,0.64179,43604
JOTUN,2004,7,0.08659,0.00491,0.00000,0.00000,0.09150,0.67938,43604
JOTUN,2004,8,0.08059,0.00234,0.00000,0.00000,0.08292,0.66707,43604
JOTUN,2004,9,0.08214,0.00000,0.00000,0.00000,0.08214,0.67854,43604
JOTUN,2004,10,0.08185,0.00000,0.00000,0.00000,0.08185,0.68736,43604
JOTUN,2004,11,0.03763,0.00061,0.00000,0.00000,0.03824,0.31328,43604
JOTUN,2004,12,0.07852,0.00376,0.00000,0.00000,0.08228,0.70646,43604
JOTUN,2005,1,0.07906,0.00395,0.00000,0.00000,0.08301,0.71564,43604
