,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
7236,KVITEBJØRN,2004,9,0.0,0.0,0.0,0.0,0.0,0.0,1036101
7237,KVITEBJØRN,2004,10,0.07314,0.14681,0.0067,0.0,0.22665,0.0027300000000000002,1036101
7238,KVITEBJØRN,2004,11,0.09187999999999999,0.18400999999999998,0.007370000000000001,0.0,0.28325,0.00688,1036101
7239,KVITEBJØRN,2004,12,0.11557,0.22713000000000003,0.020390000000000002,0.0,0.36309,0.00424,1036101
7240,KVITEBJØRN,2005,1,0.13629000000000002,0.26852,0.029210000000000003,0.0,0.43401000000000006,0.00415,1036101
7241,KVITEBJØRN,2005,2,0.16702,0.3433,0.0398,0.0,0.5501199999999999,0.005370000000000001,1036101
7242,KVITEBJØRN,2005,3,0.1789,0.35511,0.042730000000000004,0.0,0.57673,0.00643,1036101
7243,KVITEBJØRN,2005,4,0.17182,0.33976999999999996,0.0431,0.0,0.5546800000000001,0.00722,1036101
7244,KVITEBJØRN,2005,5,0.1738,0.34939000000000003,0.046919999999999996,0.0,0.5701,0.0050799999999999994,1036101
7245,KVITEBJØRN,2005,6,0.08516,0.16866,0.01681,0.0,0.27063000000000004,0.00281,1036101
7246,KVITEBJØRN,2005,7,0.17594,0.35414,0.045989999999999996,0.0,0.57607,0.00514,1036101
7247,KVITEBJØRN,2005,8,0.21634,0.39724,0.06294,0.0,0.67652,0.00689,1036101
7248,KVITEBJØRN,2005,9,0.2309,0.44243999999999994,0.06916,0.0,0.7425,0.00717,1036101
7249,KVITEBJØRN,2005,10,0.23895999999999998,0.48638000000000003,0.07261000000000001,0.0,0.79795,0.00788,1036101
7250,KVITEBJØRN,2005,11,0.20706,0.41791999999999996,0.060610000000000004,0.0,0.68558,0.0067599999999999995,1036101
7251,KVITEBJØRN,2005,12,0.2048,0.41734,0.059879999999999996,0.0,0.68202,0.00674,1036101
7252,KVITEBJØRN,2006,1,0.25637,0.51302,0.06881,0.0,0.83821,0.00864,1036101
7253,KVITEBJØRN,2006,2,0.21950999999999998,0.45078,0.05996,0.0,0.73025,0.00735,1036101
7254,KVITEBJØRN,2006,3,0.2903,0.58235,0.07446,0.0,0.9471,0.00903,1036101
7255,KVITEBJØRN,2006,4,0.15719,0.32049,0.03748,0.0,0.5151600000000001,0.00503,1036101
7256,KVITEBJØRN,2006,5,0.2986,0.58553,0.08204,0.0,0.9661700000000001,0.00857,1036101
7257,KVITEBJØRN,2006,6,0.26637,0.52558,0.08776,0.0,0.8797200000000001,0.00788,1036101
7258,KVITEBJØRN,2006,7,0.2585,0.50205,0.08258,0.0,0.8431299999999999,0.00761,1036101
7259,KVITEBJØRN,2006,8,0.17273,0.33096,0.04753,0.0,0.5512199999999999,0.00504,1036101
7260,KVITEBJØRN,2006,9,0.20157,0.39505,0.05911,0.0,0.65573,0.0058200000000000005,1036101
7261,KVITEBJØRN,2006,10,0.20252,0.39583,0.0649,0.0,0.66325,0.006370000000000001,1036101
7262,KVITEBJØRN,2006,11,0.26905,0.53417,0.07497000000000001,0.0,0.8781899999999999,0.0089,1036101
7263,KVITEBJØRN,2006,12,0.24456,0.48386999999999997,0.0707,0.0,0.79913,0.00743,1036101
7264,KVITEBJØRN,2007,1,0.13560999999999998,0.27026,0.035289999999999995,0.0,0.44116000000000005,0.00473,1036101
7265,KVITEBJØRN,2007,2,0.12783,0.25069,0.03265,0.0,0.41117,0.0039700000000000004,1036101
7266,KVITEBJØRN,2007,3,0.14092000000000002,0.27988,0.03493,0.0,0.45573,0.004379999999999999,1036101
7267,KVITEBJØRN,2007,4,0.14305,0.28181,0.036680000000000004,0.0,0.46153,0.00439,1036101
7268,KVITEBJØRN,2007,5,0.00105,0.0,0.0,0.0,0.00106,0.00011,1036101
7269,KVITEBJØRN,2007,6,0.0,0.0,0.0,0.0,0.0,0.0,1036101
7270,KVITEBJØRN,2007,7,0.0,0.0,0.0,0.0,0.0,0.0,1036101
7271,KVITEBJØRN,2007,8,0.0,0.0,0.0,0.0,0.0,0.0,1036101
7272,KVITEBJØRN,2007,9,0.0,0.0,0.0,0.0,0.0,0.0,1036101
7273,KVITEBJØRN,2007,10,0.0,0.0,0.0,0.0,0.0,0.0,1036101
7274,KVITEBJØRN,2007,11,0.0,0.0,0.0,0.0,0.0,0.0,1036101
7275,KVITEBJØRN,2007,12,0.0,0.0,0.0,0.0,0.0,0.0,1036101
7276,KVITEBJØRN,2008,1,0.061579999999999996,0.11815,0.01163,0.0,0.19136,0.00238,1036101
7277,KVITEBJØRN,2008,2,0.17728,0.35094000000000003,0.04348,0.0,0.5717,0.00542,1036101
7278,KVITEBJØRN,2008,3,0.2291,0.48135,0.0651,0.0,0.77555,0.0074,1036101
7279,KVITEBJØRN,2008,4,0.24273000000000003,0.51695,0.07606,0.0,0.8357399999999999,0.00815,1036101
7280,KVITEBJØRN,2008,5,0.25447,0.5329699999999999,0.09521,0.0,0.88265,0.0107,1036101
7281,KVITEBJØRN,2008,6,0.19324000000000002,0.39616999999999997,0.05994,0.0,0.64936,0.0083,1036101
7282,KVITEBJØRN,2008,7,0.23299,0.48701000000000005,0.08546000000000001,0.0,0.80545,0.014169999999999999,1036101
7283,KVITEBJØRN,2008,8,0.056870000000000004,0.11904,0.0161,0.0,0.19202,0.00534,1036101
7284,KVITEBJØRN,2008,9,0.0,0.0,0.0,0.0,0.0,0.0,1036101
7285,KVITEBJØRN,2008,10,0.0,0.0,0.0,0.0,0.0,0.0,1036101
7286,KVITEBJØRN,2008,11,0.0,0.0,0.0,0.0,0.0,0.0,1036101
7287,KVITEBJØRN,2008,12,0.0,0.0,0.0,0.0,0.0,0.0,1036101
7288,KVITEBJØRN,2009,1,0.03854,0.07952000000000001,0.00556,0.0,0.12362000000000001,0.00205,1036101
7289,KVITEBJØRN,2009,2,0.16958,0.32957,0.04028,0.0,0.53943,0.00557,1036101
7290,KVITEBJØRN,2009,3,0.17357,0.36983,0.05242,0.0,0.59583,0.00731,1036101
7291,KVITEBJØRN,2009,4,0.17085999999999998,0.35684,0.0545,0.0,0.58219,0.01081,1036101
7292,KVITEBJØRN,2009,5,0.09418,0.20843000000000003,0.030489999999999996,0.0,0.33309,0.00937,1036101
7293,KVITEBJØRN,2009,6,0.12394000000000001,0.27802,0.030410000000000003,0.0,0.43236,0.00963,1036101
7294,KVITEBJØRN,2009,7,0.27754,0.61169,0.10878,0.0,0.9980100000000001,0.022269999999999998,1036101
7295,KVITEBJØRN,2009,8,0.24988000000000002,0.54997,0.10015,0.0,0.9,0.01967,1036101
7296,KVITEBJØRN,2009,9,0.2725,0.59532,0.11045,0.0,0.9782700000000001,0.02375,1036101
7297,KVITEBJØRN,2009,10,0.2535,0.5542,0.09237000000000001,0.0,0.9000600000000001,0.023209999999999998,1036101
7298,KVITEBJØRN,2009,11,0.25271,0.55092,0.09305,0.0,0.8966700000000001,0.02137,1036101
7299,KVITEBJØRN,2009,12,0.27189,0.59622,0.0897,0.0,0.95781,0.01738,1036101
7300,KVITEBJØRN,2010,1,0.26711,0.5727899999999999,0.07989,0.0,0.91979,0.01544,1036101
7301,KVITEBJØRN,2010,2,0.24998,0.5473100000000001,0.07701000000000001,0.0,0.87431,0.02087,1036101
7302,KVITEBJØRN,2010,3,0.27693,0.62443,0.0921,0.0,0.9934700000000001,0.01996,1036101
7303,KVITEBJØRN,2010,4,0.25385,0.57196,0.09732,0.0,0.92312,0.020390000000000002,1036101
7304,KVITEBJØRN,2010,5,0.23335,0.52098,0.07265,0.0,0.8269799999999999,0.02018,1036101
7305,KVITEBJØRN,2010,6,0.26436,0.58116,0.08767,0.0,0.93319,0.02455,1036101
7306,KVITEBJØRN,2010,7,0.25018,0.57009,0.09586,0.0,0.9161299999999999,0.02132,1036101
7307,KVITEBJØRN,2010,8,0.24206,0.55633,0.07773,0.0,0.8761200000000001,0.023,1036101
7308,KVITEBJØRN,2010,9,0.08261,0.19074000000000002,0.01042,0.0,0.28376999999999997,0.00772,1036101
7309,KVITEBJØRN,2010,10,0.18069000000000002,0.42183000000000004,0.02503,0.0,0.62755,0.02141,1036101
7310,KVITEBJØRN,2010,11,0.17042000000000002,0.40917,0.0217,0.0,0.60129,0.01923,1036101
7311,KVITEBJØRN,2010,12,0.23899,0.54801,0.03725,0.0,0.82426,0.01185,1036101
7312,KVITEBJØRN,2011,1,0.28223000000000004,0.63234,0.047389999999999995,0.0,0.96196,0.02055,1036101
7313,KVITEBJØRN,2011,2,0.23031999999999997,0.55082,0.03938,0.0,0.82052,0.0192,1036101
7314,KVITEBJØRN,2011,3,0.21819000000000002,0.55183,0.04063,0.0,0.81065,0.023,1036101
7315,KVITEBJØRN,2011,4,0.14734,0.39408000000000004,0.02529,0.0,0.56671,0.02239,1036101
7316,KVITEBJØRN,2011,5,0.08603,0.21379,0.017269999999999997,0.0,0.3171,0.01095,1036101
7317,KVITEBJØRN,2011,6,0.17819000000000002,0.44361000000000006,0.0681,0.0,0.6899,0.0201,1036101
7318,KVITEBJØRN,2011,7,0.25501,0.6146,0.11117,0.0,0.98077,0.01623,1036101
7319,KVITEBJØRN,2011,8,0.25435,0.62466,0.08637,0.0,0.96539,0.01463,1036101
7320,KVITEBJØRN,2011,9,0.23133,0.56829,0.10149,0.0,0.9011100000000001,0.013359999999999999,1036101
7321,KVITEBJØRN,2011,10,0.26383,0.65713,0.11288,0.0,1.0338399999999999,0.01518,1036101
7322,KVITEBJØRN,2011,11,0.24921999999999997,0.65614,0.09295,0.0,0.99831,0.014119999999999999,1036101
7323,KVITEBJØRN,2011,12,0.2316,0.61042,0.08569,0.0,0.92771,0.01243,1036101
7324,KVITEBJØRN,2012,1,0.26258000000000004,0.71492,0.10419,0.0,1.08169,0.013009999999999999,1036101
7325,KVITEBJØRN,2012,2,0.24266,0.6530199999999999,0.09442,0.0,0.9901,0.01293,1036101
7326,KVITEBJØRN,2012,3,0.25439,0.6834399999999999,0.09892000000000001,0.0,1.03675,0.01556,1036101
7327,KVITEBJØRN,2012,4,0.22145,0.6049100000000001,0.09362000000000001,0.0,0.9199799999999999,0.015369999999999998,1036101
7328,KVITEBJØRN,2012,5,0.23217,0.6375,0.0976,0.0,0.9672700000000001,0.012459999999999999,1036101
7329,KVITEBJØRN,2012,6,0.22136999999999998,0.62426,0.09518,0.0,0.94081,0.01169,1036101
7330,KVITEBJØRN,2012,7,0.23046,0.64849,0.10119,0.0,0.98015,0.01273,1036101
7331,KVITEBJØRN,2012,8,0.19089,0.5536800000000001,0.058379999999999994,0.0,0.80295,0.01017,1036101
7332,KVITEBJØRN,2012,9,0.09266,0.26563000000000003,0.01983,0.0,0.37811999999999996,0.00451,1036101
7333,KVITEBJØRN,2012,10,0.18378,0.5425,0.03925,0.0,0.76552,0.008140000000000001,1036101
7334,KVITEBJØRN,2012,11,0.17419,0.51876,0.06772,0.0,0.76067,0.00924,1036101
7335,KVITEBJØRN,2012,12,0.17642,0.53225,0.06309,0.0,0.77175,0.00957,1036101
7336,KVITEBJØRN,2013,1,0.20167000000000002,0.61456,0.08148,0.0,0.89771,0.0113,1036101
7337,KVITEBJØRN,2013,2,0.19130999999999998,0.58413,0.07231,0.0,0.84775,0.01172,1036101
7338,KVITEBJØRN,2013,3,0.19261,0.596,0.08539,0.0,0.8740100000000001,0.0118,1036101
7339,KVITEBJØRN,2013,4,0.21122,0.67657,0.10151,0.0,0.9893,0.017580000000000002,1036101
7340,KVITEBJØRN,2013,5,0.19482,0.63537,0.09794,0.0,0.9281299999999999,0.01769,1036101
7341,KVITEBJØRN,2013,6,0.18745,0.63048,0.10776,0.0,0.92568,0.01624,1036101
7342,KVITEBJØRN,2013,7,0.1943,0.6492100000000001,0.09997,0.0,0.9434799999999999,0.015390000000000001,1036101
7343,KVITEBJØRN,2013,8,0.02673,0.0856,0.0088,0.0,0.12113,0.0025,1036101
7344,KVITEBJØRN,2013,9,0.16136,0.53141,0.06425,0.0,0.75702,0.01218,1036101
7345,KVITEBJØRN,2013,10,0.18975999999999998,0.64064,0.08995,0.0,0.9203399999999999,0.0149,1036101
7346,KVITEBJØRN,2013,11,0.17381,0.60639,0.09074,0.0,0.87093,0.01281,1036101
7347,KVITEBJØRN,2013,12,0.1774,0.6157,0.09061,0.0,0.88371,0.014969999999999999,1036101
7348,KVITEBJØRN,2014,1,0.19144,0.64853,0.1001,0.0,0.94006,0.01635,1036101
7349,KVITEBJØRN,2014,2,0.1643,0.55566,0.07769,0.0,0.79765,0.013280000000000002,1036101
7350,KVITEBJØRN,2014,3,0.17377,0.5968100000000001,0.08209,0.0,0.85267,0.014519999999999998,1036101
7351,KVITEBJØRN,2014,4,0.16484000000000001,0.57209,0.09241,0.0,0.82934,0.01491,1036101
7352,KVITEBJØRN,2014,5,0.14670999999999998,0.5038199999999999,0.07456,0.0,0.72509,0.01256,1036101
7353,KVITEBJØRN,2014,6,0.14832,0.48423,0.08311,0.0,0.7156600000000001,0.011770000000000001,1036101
7354,KVITEBJØRN,2014,7,0.15785,0.5564399999999999,0.10252,0.0,0.81682,0.01321,1036101
7355,KVITEBJØRN,2014,8,0.15739,0.5401199999999999,0.09845,0.0,0.79596,0.01407,1036101
7356,KVITEBJØRN,2014,9,0.14292,0.47373999999999994,0.05287000000000001,0.0,0.6695399999999999,0.01198,1036101
7357,KVITEBJØRN,2014,10,0.18639,0.61658,0.07077,0.0,0.87375,0.01813,1036101
7358,KVITEBJØRN,2014,11,0.16675,0.58198,0.06874,0.0,0.81747,0.01738,1036101
7359,KVITEBJØRN,2014,12,0.18091,0.63872,0.07612000000000001,0.0,0.89575,0.020909999999999998,1036101
7360,KVITEBJØRN,2015,1,0.15980999999999998,0.5471699999999999,0.061689999999999995,0.0,0.76866,0.01822,1036101
7361,KVITEBJØRN,2015,2,0.15647,0.55425,0.0608,0.0,0.77151,0.01881,1036101
