prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
LILLE-FRIGG,1994,5,0.02592,0.05552,0.00000,0.00038,0.08182,0.00000,43583
LILLE-FRIGG,1994,6,0.05937,0.09023,0.00000,0.00052,0.15012,0.00000,43583
LILLE-FRIGG,1994,7,0.05483,0.08037,0.00000,0.00060,0.13581,0.00000,43583
LILLE-FRIGG,1994,8,0.00242,0.01222,0.00000,0.00011,0.01475,0.00000,43583
LILLE-FRIGG,1994,9,0.05163,0.07424,0.00000,0.00036,0.12623,0.00000,43583
LILLE-FRIGG,1994,10,0.06352,0.07874,0.00000,0.00058,0.14283,0.00000,43583
LILLE-FRIGG,1994,11,0.06755,0.10087,0.00000,0.00053,0.16896,0.00000,43583
LILLE-FRIGG,1994,12,0.06267,0.09225,0.00000,0.00042,0.15534,0.00000,43583
LILLE-FRIGG,1995,1,0.05306,0.08101,0.00000,0.00034,0.13440,0.00000,43583
LILLE-FRIGG,1995,2,0.00502,0.01235,0.00000,0.00006,0.01743,0.00000,43583
LILLE-FRIGG,1995,3,0.04233,0.06076,0.00000,0.00020,0.10329,0.00000,43583
LILLE-FRIGG,1995,4,0.04201,0.06597,0.00000,0.00045,0.10843,0.00000,43583
LILLE-FRIGG,1995,5,0.03106,0.02569,0.00000,0.00002,0.05676,0.00000,43583
LILLE-FRIGG,1995,6,0.03570,0.04238,0.00000,0.00023,0.07831,0.00000,43583
LILLE-FRIGG,1995,7,0.04129,0.04963,0.00000,0.00021,0.09112,0.00000,43583
LILLE-FRIGG,1995,8,0.03916,0.06389,0.00000,0.00045,0.10350,0.00000,43583
LILLE-FRIGG,1995,9,0.04172,0.05264,0.00000,0.00021,0.09456,0.00000,43583
LILLE-FRIGG,1995,10,0.02962,0.05826,0.00000,0.00046,0.08834,0.00000,43583
LILLE-FRIGG,1995,11,0.03584,0.05334,0.00000,0.00031,0.08949,0.00000,43583
LILLE-FRIGG,1995,12,0.04001,0.04345,0.00000,0.00016,0.08363,0.00000,43583
LILLE-FRIGG,1996,1,0.03434,0.05406,0.00000,0.00028,0.08867,0.00000,43583
LILLE-FRIGG,1996,2,0.02511,0.05808,0.00000,0.00020,0.08339,0.00000,43583
LILLE-FRIGG,1996,3,0.02958,0.05566,0.00000,0.00037,0.08560,0.00000,43583
LILLE-FRIGG,1996,4,0.03164,0.05478,0.00000,0.00036,0.08678,0.00000,43583
LILLE-FRIGG,1996,5,0.03664,0.05768,0.00000,0.00054,0.09486,0.00000,43583
LILLE-FRIGG,1996,6,0.02564,0.04780,0.00000,0.00146,0.07490,0.00000,43583
LILLE-FRIGG,1996,7,0.02385,0.05190,0.00000,0.00117,0.07693,0.00000,43583
LILLE-FRIGG,1996,8,0.02561,0.02910,0.00000,0.00039,0.05510,0.00000,43583
LILLE-FRIGG,1996,9,0.02116,0.04016,0.00000,0.00063,0.06195,0.00000,43583
LILLE-FRIGG,1996,10,0.01522,0.03606,0.00000,0.00056,0.05184,0.00000,43583
LILLE-FRIGG,1996,11,0.01150,0.02019,0.00000,0.00029,0.03198,0.00000,43583
LILLE-FRIGG,1996,12,0.00277,0.02655,0.00000,0.00020,0.02952,0.00000,43583
LILLE-FRIGG,1997,1,0.01558,0.02520,0.00000,0.00013,0.04091,0.00000,43583
LILLE-FRIGG,1997,2,0.01132,0.02620,0.00000,0.00015,0.03767,0.00000,43583
LILLE-FRIGG,1997,3,0.01087,0.02346,0.00000,0.00011,0.03444,0.00000,43583
LILLE-FRIGG,1997,4,0.00989,0.01897,0.00000,0.00010,0.02895,0.00000,43583
LILLE-FRIGG,1997,5,0.01499,0.03712,0.00000,0.00040,0.05250,0.00000,43583
LILLE-FRIGG,1997,6,0.00877,0.02220,0.00000,0.00022,0.03119,0.00000,43583
LILLE-FRIGG,1997,7,0.01236,0.03306,0.00000,0.00044,0.04586,0.00000,43583
LILLE-FRIGG,1997,8,0.00911,0.02051,0.00000,0.00060,0.03022,0.00000,43583
LILLE-FRIGG,1997,9,0.01428,0.01721,0.00000,0.00058,0.03207,0.00000,43583
LILLE-FRIGG,1997,10,0.00935,0.01674,0.00000,0.00023,0.02632,0.00000,43583
LILLE-FRIGG,1997,11,0.00930,0.01895,0.00000,0.00021,0.02845,0.00000,43583
LILLE-FRIGG,1997,12,0.00636,0.01151,0.00000,0.00010,0.01797,0.00000,43583
LILLE-FRIGG,1998,1,0.01044,0.01294,0.00000,0.00011,0.02349,0.00000,43583
LILLE-FRIGG,1998,2,0.00507,0.00967,0.00000,0.00006,0.01480,0.00000,43583
LILLE-FRIGG,1998,3,0.00690,0.01358,0.00000,0.00008,0.02056,0.00000,43583
LILLE-FRIGG,1998,4,0.00799,0.01416,0.00000,0.00006,0.02221,0.00000,43583
LILLE-FRIGG,1998,5,0.00506,0.01145,0.00000,0.00011,0.01662,0.00000,43583
LILLE-FRIGG,1998,6,0.00567,0.01147,0.00000,0.00052,0.01765,0.00000,43583
LILLE-FRIGG,1998,7,0.00556,0.01689,0.00000,0.00047,0.02292,0.00000,43583
LILLE-FRIGG,1998,8,0.00597,0.01620,0.00000,0.00054,0.02271,0.00000,43583
LILLE-FRIGG,1998,9,0.00495,0.00612,0.00000,0.00029,0.01137,0.00000,43583
LILLE-FRIGG,1998,10,0.00718,0.01473,0.00000,0.00034,0.02225,0.00000,43583
LILLE-FRIGG,1998,11,0.00421,0.01202,0.00000,0.00041,0.01664,0.00000,43583
LILLE-FRIGG,1998,12,0.00166,0.00927,0.00000,0.00052,0.01145,0.00000,43583
LILLE-FRIGG,1999,1,0.00114,0.01484,0.00000,0.00013,0.01611,0.00000,43583
LILLE-FRIGG,1999,2,0.00445,0.01156,0.00000,0.00006,0.01607,0.00000,43583
LILLE-FRIGG,1999,3,0.00414,0.01254,0.00000,0.00008,0.01676,0.00000,43583
