,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
7466,MARULK,2012,4,0.00762,0.08396,0.0141,0.0,0.10568,0.00063,18212090
7467,MARULK,2012,5,0.00825,0.09131,0.015390000000000001,0.0,0.11494000000000001,0.00074,18212090
7468,MARULK,2012,6,0.007790000000000001,0.08357,0.013909999999999999,0.0,0.10527,0.0007099999999999999,18212090
7469,MARULK,2012,7,0.00894,0.09757,0.01694,0.0,0.12345,0.0007700000000000001,18212090
7470,MARULK,2012,8,0.00784,0.085,0.014530000000000001,0.0,0.10737000000000001,0.00063,18212090
7471,MARULK,2012,9,0.008409999999999999,0.0922,0.01589,0.0,0.1165,0.00037999999999999997,18212090
7472,MARULK,2012,10,0.0007,0.0076,0.00141,0.0,0.00971,4e-05,18212090
7473,MARULK,2012,11,0.0,0.0,0.0,0.0,0.0,0.0,18212090
7474,MARULK,2012,12,0.0,0.0,0.0,0.0,0.0,0.0,18212090
7475,MARULK,2013,1,0.00122,0.01325,0.00236,0.0,0.016819999999999998,0.00018999999999999998,18212090
7476,MARULK,2013,2,0.00016999999999999999,0.0018399999999999998,0.00031,0.0,0.00232,2.9999999999999997e-05,18212090
7477,MARULK,2013,3,0.00126,0.013609999999999999,0.0025800000000000003,0.0,0.01745,0.00016999999999999999,18212090
7478,MARULK,2013,4,0.0,0.0,0.0,0.0,0.0,0.0,18212090
7479,MARULK,2013,5,0.0,0.0,0.0,0.0,0.0,0.0,18212090
7480,MARULK,2013,6,0.0,0.0,0.0,0.0,0.0,0.0,18212090
7481,MARULK,2013,7,0.0,0.0,0.0,0.0,0.0,0.0,18212090
7482,MARULK,2013,8,0.0,0.0,0.0,0.0,0.0,0.0,18212090
7483,MARULK,2013,9,0.0,0.0,0.0,0.0,0.0,0.0,18212090
7484,MARULK,2013,10,0.005,0.05206,0.00925,0.0,0.06631000000000001,0.00018999999999999998,18212090
7485,MARULK,2013,11,0.00938,0.09472,0.01624,0.0,0.12034,0.00027,18212090
7486,MARULK,2013,12,0.00923,0.09568,0.01696,0.0,0.12187,0.00028,18212090
7487,MARULK,2014,1,0.0077,0.08068,0.014119999999999999,0.0,0.1025,0.00025,18212090
7488,MARULK,2014,2,0.0087,0.08832999999999999,0.01568,0.0,0.11270999999999999,0.00022999999999999998,18212090
7489,MARULK,2014,3,0.00976,0.10176,0.01754,0.0,0.12905,0.00031,18212090
7490,MARULK,2014,4,0.00886,0.09218,0.01514,0.0,0.11617999999999999,0.0003,18212090
7491,MARULK,2014,5,0.00627,0.06345,0.01107,0.0,0.08079,0.00018,18212090
7492,MARULK,2014,6,0.00985,0.10207000000000001,0.01771,0.0,0.12962,0.00032,18212090
7493,MARULK,2014,7,0.0114,0.11289,0.01901,0.0,0.1433,0.00018,18212090
7494,MARULK,2014,8,0.0066099999999999996,0.06783,0.01146,0.0,0.0859,7e-05,18212090
7495,MARULK,2014,9,0.00938,0.11137999999999999,0.01933,0.0,0.14009000000000002,2.9999999999999997e-05,18212090
7496,MARULK,2014,10,0.0072900000000000005,0.08719,0.01591,0.0,0.11037999999999999,4e-05,18212090
7497,MARULK,2014,11,0.00924,0.11262,0.020059999999999998,0.0,0.14192000000000002,5.9999999999999995e-05,18212090
7498,MARULK,2014,12,0.00913,0.11143,0.020419999999999997,0.0,0.14099,5e-05,18212090
7499,MARULK,2015,1,0.00701,0.08542999999999999,0.01555,0.0,0.10797999999999999,5.9999999999999995e-05,18212090
7500,MARULK,2015,2,0.00413,0.04752,0.00914,0.0,0.06079,5.9999999999999995e-05,18212090
7501,MARULK,2015,3,0.00884,0.09742,0.01793,0.0,0.12419000000000001,8e-05,18212090
7502,MARULK,2015,4,0.00927,0.10829000000000001,0.018430000000000002,0.0,0.13599,7e-05,18212090
7503,MARULK,2015,5,0.00866,0.10098,0.018080000000000002,0.0,0.12772,5e-05,18212090
7504,MARULK,2015,6,0.00927,0.10907,0.019430000000000003,0.0,0.13776,5e-05,18212090
7505,MARULK,2015,7,0.010029999999999999,0.11789000000000001,0.02125,0.0,0.14916,9e-05,18212090
7506,MARULK,2015,8,0.01026,0.12199000000000002,0.02251,0.0,0.15475999999999998,5.9999999999999995e-05,18212090
7507,MARULK,2015,9,0.008790000000000001,0.11843,0.01935,0.0,0.14657,5.9999999999999995e-05,18212090
7508,MARULK,2015,10,0.00916,0.12578,0.02136,0.0,0.1563,0.0001,18212090
7509,MARULK,2015,11,0.00897,0.12245999999999999,0.020630000000000003,0.0,0.15206,0.00011,18212090
7510,MARULK,2015,12,0.00968,0.13252,0.02292,0.0,0.16512000000000002,9e-05,18212090
7511,MARULK,2016,1,0.008440000000000001,0.1187,0.02089,0.0,0.14803,0.00013000000000000002,18212090
7512,MARULK,2016,2,0.00527,0.07219,0.013669999999999998,0.0,0.09112999999999999,5.9999999999999995e-05,18212090
7513,MARULK,2016,3,0.008440000000000001,0.11980999999999999,0.02115,0.0,0.14939000000000002,0.00018,18212090
7514,MARULK,2016,4,0.007209999999999999,0.10329,0.01785,0.0,0.12835,0.00018,18212090
7515,MARULK,2016,5,0.00732,0.10562,0.018019999999999998,0.0,0.13095,0.00018,18212090
7516,MARULK,2016,6,0.00727,0.10485,0.01814,0.0,0.13026,0.00016,18212090
7517,MARULK,2016,7,0.00716,0.10482000000000001,0.01878,0.0,0.13076,0.00014,18212090
7518,MARULK,2016,8,0.0045,0.06842999999999999,0.0119,0.0,0.08482999999999999,0.0001,18212090
7519,MARULK,2016,9,0.0,0.0,0.0,0.0,0.0,0.0,18212090
