,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
7520,MIKKEL,2003,8,0.0,0.0,0.0,0.02358,0.02358,0.00025,1630514
7521,MIKKEL,2003,9,0.0,0.0,0.0,0.0,0.0,0.0,1630514
7522,MIKKEL,2003,10,0.0,0.1632,0.0609,0.07065,0.29474,0.0007099999999999999,1630514
7523,MIKKEL,2003,11,0.0,0.15536,0.05856,0.06751,0.28143,0.0006799999999999999,1630514
7524,MIKKEL,2003,12,0.0,0.14420999999999998,0.07544,0.06723,0.28688,0.0006799999999999999,1630514
7525,MIKKEL,2004,1,0.0,0.14552,0.07569,0.06755,0.28876,0.0006799999999999999,1630514
7526,MIKKEL,2004,2,0.0,0.12871,0.06573,0.059660000000000005,0.2541,0.0006,1630514
7527,MIKKEL,2004,3,0.0,0.15942,0.08137,0.0734,0.31419,0.00074,1630514
7528,MIKKEL,2004,4,0.0,0.11972999999999999,0.05927999999999999,0.05482000000000001,0.23383,0.00055,1630514
7529,MIKKEL,2004,5,0.0,0.15662,0.07837000000000001,0.06772,0.30272,0.0006799999999999999,1630514
7530,MIKKEL,2004,6,0.0,0.14886,0.07808,0.06479,0.29173000000000004,0.00065,1630514
7531,MIKKEL,2004,7,0.0,0.15282,0.08492999999999999,0.06667000000000001,0.30441999999999997,0.00067,1630514
7532,MIKKEL,2004,8,0.0,0.0687,0.0364,0.02945,0.13455,0.0003,1630514
7533,MIKKEL,2004,9,0.0,0.1153,0.057920000000000006,0.049960000000000004,0.22318000000000002,0.0005099999999999999,1630514
7534,MIKKEL,2004,10,0.0,0.15272,0.08079,0.06632,0.29984,0.00067,1630514
7535,MIKKEL,2004,11,0.0,0.14934,0.0777,0.06464,0.29168,0.00065,1630514
7536,MIKKEL,2004,12,0.0,0.15324000000000002,0.08095,0.06654,0.30073,0.00067,1630514
7537,MIKKEL,2005,1,0.0,0.15016,0.07908,0.06521,0.29445,0.00066,1630514
7538,MIKKEL,2005,2,0.0,0.13927,0.07453,0.06039,0.27419,0.00061,1630514
7539,MIKKEL,2005,3,0.0,0.15481,0.08105,0.06644,0.30229,0.00067,1630514
7540,MIKKEL,2005,4,0.0,0.15036,0.0792,0.06457,0.29413,0.00065,1630514
7541,MIKKEL,2005,5,0.0,0.15115,0.0703,0.06538,0.28683000000000003,0.00066,1630514
7542,MIKKEL,2005,6,0.0,0.14152,0.07668,0.06365,0.28185,0.00064,1630514
7543,MIKKEL,2005,7,0.0,0.13749,0.07188,0.06162,0.27098,0.00062,1630514
7544,MIKKEL,2005,8,0.0,0.15842,0.08283,0.07073,0.31198000000000004,0.0007099999999999999,1630514
