,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
7678,MIME,1990,10,0.00223,0.00047999999999999996,0.00018,0.0,0.0028899999999999998,0.0,43792
7679,MIME,1990,11,0.0119,0.00264,0.0009,0.0,0.015430000000000001,0.0,43792
7680,MIME,1990,12,0.01171,0.00265,0.00085,0.0,0.01521,0.0,43792
7681,MIME,1991,1,0.01573,0.00372,0.00117,0.0,0.02062,0.0,43792
7682,MIME,1991,2,0.014709999999999999,0.00337,0.0010400000000000001,0.0,0.019119999999999998,0.0,43792
7683,MIME,1991,3,0.01647,0.0038299999999999996,0.00119,0.0,0.021490000000000002,0.0,43792
7684,MIME,1991,4,0.015319999999999999,0.0034700000000000004,0.00115,0.0,0.01994,0.0,43792
7685,MIME,1991,5,0.0152,0.00337,0.00108,0.0,0.01965,0.0,43792
7686,MIME,1991,6,0.0141,0.00312,0.00099,0.0,0.0182,0.0,43792
7687,MIME,1991,7,0.0138,0.00318,0.0008699999999999999,0.0,0.01785,0.0,43792
7688,MIME,1991,8,0.00512,0.00115,0.00022999999999999998,0.0,0.0065,0.0,43792
7689,MIME,1991,9,0.01372,0.00312,0.0010400000000000001,0.0,0.01789,0.0,43792
7690,MIME,1991,10,0.01347,0.00295,0.00093,0.0,0.01735,0.0,43792
7691,MIME,1991,11,0.01226,0.00267,0.00082,0.0,0.01575,0.0,43792
7692,MIME,1991,12,0.012459999999999999,0.0027600000000000003,0.0008300000000000001,0.0,0.016040000000000002,0.0,43792
7693,MIME,1992,1,0.0125,0.0027300000000000002,0.00078,0.0,0.01601,0.0,43792
7694,MIME,1992,2,0.01128,0.0025,0.0007099999999999999,0.0,0.014490000000000001,0.0,43792
7695,MIME,1992,3,0.00981,0.00214,0.00058,0.0,0.01253,0.0,43792
7696,MIME,1992,4,0.00838,0.0018800000000000002,0.00054,0.0,0.0108,0.0,43792
7697,MIME,1992,5,0.00925,0.0021100000000000003,0.00058,0.0,0.011940000000000001,0.0,43792
7698,MIME,1992,6,0.01098,0.00248,0.0007099999999999999,0.0,0.014169999999999999,0.0,43792
7699,MIME,1992,7,0.010790000000000001,0.00247,0.0007,0.0,0.01396,0.0,43792
7700,MIME,1992,8,0.01061,0.00238,0.0007,0.0,0.01369,0.0,43792
7701,MIME,1992,9,0.009890000000000001,0.00224,0.00065,0.0,0.01278,0.0,43792
7702,MIME,1992,10,0.01066,0.00242,0.0005200000000000001,0.0,0.0136,0.0,43792
7703,MIME,1992,11,0.00963,0.0022199999999999998,0.00054,0.0,0.01239,0.0,43792
7704,MIME,1992,12,0.00856,0.00203,0.00055,0.0,0.01114,0.0,43792
7705,MIME,1993,1,0.00834,0.0019,0.0005099999999999999,0.0,0.01075,0.0,43792
7706,MIME,1993,2,0.00748,0.00165,0.00045999999999999996,0.0,0.009590000000000001,0.0,43792
7707,MIME,1993,3,0.0016600000000000002,0.0003,9e-05,0.0,0.00206,0.0,43792
7708,MIME,1993,4,0.00541,0.0011099999999999999,0.00031,0.0,0.00683,0.0,43792
7709,MIME,1993,5,0.00823,0.00199,0.00054,0.0,0.01075,0.0,43792
7710,MIME,1993,6,0.006409999999999999,0.00149,0.00041,0.0,0.00831,0.0,43792
7711,MIME,1993,7,0.007559999999999999,0.0016699999999999998,0.00045999999999999996,0.0,0.0097,0.0,43792
7712,MIME,1993,8,0.00722,0.0016300000000000002,0.00045,0.0,0.0093,0.0,43792
7713,MIME,1993,9,0.00615,0.00145,0.0004,0.0,0.00801,0.0,43792
7714,MIME,1993,10,0.00524,0.00126,0.00033,0.0,0.006840000000000001,0.0,43792
7715,MIME,1993,11,0.00054,0.00011999999999999999,4e-05,0.0,0.0006900000000000001,0.0,43792
