prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
MORVIN,2010,8,0.03870,0.00000,0.00000,0.00000,0.03870,0.00000,4966234
MORVIN,2010,9,0.05194,0.00000,0.00000,0.00000,0.05194,0.00000,4966234
MORVIN,2010,10,0.12813,0.00000,0.00000,0.00000,0.12813,0.00000,4966234
MORVIN,2010,11,0.10711,0.00000,0.00000,0.00000,0.10711,0.00000,4966234
MORVIN,2010,12,0.08114,0.00000,0.00000,0.00000,0.08114,0.00000,4966234
MORVIN,2011,1,0.09918,0.00000,0.00000,0.00000,0.09918,0.00000,4966234
MORVIN,2011,2,0.04893,0.00000,0.00000,0.00000,0.04893,0.00000,4966234
MORVIN,2011,3,0.04364,0.00000,0.00000,0.00000,0.04364,0.00000,4966234
MORVIN,2011,4,0.04552,0.00000,0.00000,0.00000,0.04552,0.00000,4966234
MORVIN,2011,5,0.08976,0.00000,0.00000,0.00000,0.08976,0.00000,4966234
MORVIN,2011,6,0.18294,0.00000,0.00000,0.00000,0.18294,0.00000,4966234
MORVIN,2011,7,0.23247,0.00000,0.00000,0.00000,0.23247,0.00000,4966234
MORVIN,2011,8,0.20903,0.00000,0.00000,0.00000,0.20903,0.00000,4966234
MORVIN,2011,9,0.16225,0.00000,0.00000,0.00000,0.16225,0.00000,4966234
MORVIN,2011,10,0.15890,0.00000,0.00000,0.00000,0.15890,0.00000,4966234
MORVIN,2011,11,0.14840,0.00000,0.00000,0.00000,0.14840,0.00000,4966234
MORVIN,2011,12,0.13744,0.00000,0.00000,0.00000,0.13744,0.00000,4966234
MORVIN,2012,1,0.14467,0.01803,0.00706,0.00000,0.16977,0.00000,4966234
MORVIN,2012,2,0.16543,0.01287,0.00524,0.00000,0.18354,0.00000,4966234
MORVIN,2012,3,0.17206,0.01720,0.00702,0.00000,0.19628,0.00000,4966234
MORVIN,2012,4,0.16622,0.00043,0.00016,0.00000,0.16682,0.00000,4966234
MORVIN,2012,5,0.16358,0.00000,0.00000,0.00000,0.16358,0.00000,4966234
MORVIN,2012,6,0.12698,0.00210,0.00082,0.00000,0.12990,0.00000,4966234
MORVIN,2012,7,0.12081,0.02105,0.00796,0.00000,0.14981,0.00000,4966234
MORVIN,2012,8,0.11108,0.02079,0.00794,0.00000,0.13981,0.00000,4966234
MORVIN,2012,9,0.11276,0.02040,0.00776,0.00000,0.14092,0.00000,4966234
MORVIN,2012,10,0.14827,0.03207,0.01324,0.00000,0.19358,0.00000,4966234
MORVIN,2012,11,0.13591,0.03006,0.01268,0.00000,0.17865,0.00000,4966234
MORVIN,2012,12,0.14290,0.03241,0.01328,0.00000,0.18859,0.00000,4966234
MORVIN,2013,1,0.13498,0.08866,0.03713,0.00000,0.26076,0.00000,4966234
MORVIN,2013,2,0.09521,0.07382,0.02823,0.00000,0.19725,0.00000,4966234
