,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
8191,NJORD,1997,9,0.0,0.0,0.0,0.0,0.0,0.0,43751
8192,NJORD,1997,10,0.09598,0.0,0.0,0.0,0.09598,0.0,43751
8193,NJORD,1997,11,0.14155,0.0,0.0,0.0,0.14155,0.0,43751
8194,NJORD,1997,12,0.12949000000000002,0.0,0.0,0.0,0.12949000000000002,0.0,43751
8195,NJORD,1998,1,0.11001,0.0,0.0,0.0,0.11001,0.0,43751
8196,NJORD,1998,2,0.10840999999999999,0.0,0.0,0.0,0.10840999999999999,0.0,43751
8197,NJORD,1998,3,0.10851,0.0,0.0,0.0,0.10851,0.0,43751
8198,NJORD,1998,4,0.1089,0.0,0.0,0.0,0.1089,0.0,43751
8199,NJORD,1998,5,0.10693,0.0,0.0,0.0,0.10693,0.0,43751
8200,NJORD,1998,6,0.07839,0.0,0.0,0.0,0.07839,0.0,43751
8201,NJORD,1998,7,0.09817000000000001,0.0,0.0,0.0,0.09817000000000001,0.0,43751
8202,NJORD,1998,8,0.10282999999999999,0.0,0.0,0.0,0.10282999999999999,0.0,43751
8203,NJORD,1998,9,0.17165,0.0,0.0,0.0,0.17165,0.0,43751
8204,NJORD,1998,10,0.18322,0.0,0.0,0.0,0.18322,0.0,43751
8205,NJORD,1998,11,0.29596,0.0,0.0,0.0,0.29596,0.0,43751
8206,NJORD,1998,12,0.22263000000000002,0.0,0.0,0.0,0.22263000000000002,0.0,43751
8207,NJORD,1999,1,0.27216,0.0,0.0,0.0,0.27216,0.0,43751
8208,NJORD,1999,2,0.21527,0.0,0.0,0.0,0.21527,0.0,43751
8209,NJORD,1999,3,0.26211999999999996,0.0,0.0,0.0,0.26211999999999996,0.0,43751
8210,NJORD,1999,4,0.28536999999999996,0.0,0.0,0.0,0.28536999999999996,0.0,43751
8211,NJORD,1999,5,0.37485,0.0,0.0,0.0,0.37485,0.0,43751
8212,NJORD,1999,6,0.30577,0.0,0.0,0.0,0.30577,0.0,43751
8213,NJORD,1999,7,0.27271,0.0,0.0,0.0,0.27271,0.0,43751
8214,NJORD,1999,8,0.1491,0.0,0.0,0.0,0.1491,0.0,43751
8215,NJORD,1999,9,0.34892,0.0,0.0,0.0,0.34892,0.0,43751
8216,NJORD,1999,10,0.35191999999999996,0.0,0.0,0.0,0.35191999999999996,0.0,43751
8217,NJORD,1999,11,0.33897,0.0,0.0,0.0,0.33897,0.0,43751
8218,NJORD,1999,12,0.34547,0.0,0.0,0.0,0.34547,0.0,43751
8219,NJORD,2000,1,0.3189,0.0,0.0,0.0,0.3189,0.00385,43751
8220,NJORD,2000,2,0.28625,0.0,0.0,0.0,0.28625,0.00264,43751
8221,NJORD,2000,3,0.33161999999999997,0.0,0.0,0.0,0.33161999999999997,0.00212,43751
8222,NJORD,2000,4,0.33583,0.0,0.0,0.0,0.33583,0.0029,43751
8223,NJORD,2000,5,0.25621,0.0,0.0,0.0,0.25621,0.0018100000000000002,43751
8224,NJORD,2000,6,0.35988000000000003,0.0,0.0,0.0,0.35988000000000003,0.004220000000000001,43751
8225,NJORD,2000,7,0.36258,0.0,0.0,0.0,0.36258,0.0052899999999999996,43751
8226,NJORD,2000,8,0.33959,0.0,0.0,0.0,0.33959,0.00603,43751
8227,NJORD,2000,9,0.19960999999999998,0.0,0.0,0.0,0.19960999999999998,0.0030800000000000003,43751
8228,NJORD,2000,10,0.38436,0.0,0.0,0.0,0.38436,0.00806,43751
8229,NJORD,2000,11,0.36267,0.0,0.0,0.0,0.36267,0.00811,43751
8230,NJORD,2000,12,0.38375,0.0,0.0,0.0,0.38375,0.01438,43751
8231,NJORD,2001,1,0.36595,0.0,0.0,0.0,0.36595,0.017130000000000003,43751
8232,NJORD,2001,2,0.26736,0.0,0.0,0.0,0.26736,0.013890000000000001,43751
8233,NJORD,2001,3,0.26223,0.0,0.0,0.0,0.26223,0.01762,43751
8234,NJORD,2001,4,0.23273000000000002,0.0,0.0,0.0,0.23273000000000002,0.01385,43751
8235,NJORD,2001,5,0.23383,0.0,0.0,0.0,0.23383,0.00882,43751
8236,NJORD,2001,6,0.21035,0.0,0.0,0.0,0.21035,0.006520000000000001,43751
8237,NJORD,2001,7,0.26338,0.0,0.0,0.0,0.26338,0.007259999999999999,43751
8238,NJORD,2001,8,0.23471999999999998,0.0,0.0,0.0,0.23471999999999998,0.007690000000000001,43751
8239,NJORD,2001,9,0.21811999999999998,0.0,0.0,0.0,0.21811999999999998,0.00672,43751
8240,NJORD,2001,10,0.23287,0.0,0.0,0.0,0.23287,0.0083,43751
8241,NJORD,2001,11,0.20453,0.0,0.0,0.0,0.20453,0.007809999999999999,43751
8242,NJORD,2001,12,0.21075,0.0,0.0,0.0,0.21075,0.008020000000000001,43751
8243,NJORD,2002,1,0.1854,0.0,0.0,0.0,0.1854,0.00873,43751
8244,NJORD,2002,2,0.15265,0.0,0.0,0.0,0.15265,0.010209999999999999,43751
8245,NJORD,2002,3,0.09281,0.0,0.0,0.0,0.09281,0.00441,43751
8246,NJORD,2002,4,0.15841,0.0,0.0,0.0,0.15841,0.00686,43751
8247,NJORD,2002,5,0.15212,0.0,0.0,0.0,0.15212,0.00658,43751
8248,NJORD,2002,6,0.16016,0.0,0.0,0.0,0.16016,0.0069299999999999995,43751
8249,NJORD,2002,7,0.18683,0.0,0.0,0.0,0.18683,0.00843,43751
8250,NJORD,2002,8,0.17532999999999999,0.0,0.0,0.0,0.17532999999999999,0.00873,43751
8251,NJORD,2002,9,0.11165,0.0,0.0,0.0,0.11165,0.00543,43751
8252,NJORD,2002,10,0.16264,0.0,0.0,0.0,0.16264,0.00787,43751
8253,NJORD,2002,11,0.16584000000000002,0.0,0.0,0.0,0.16584000000000002,0.009470000000000001,43751
8254,NJORD,2002,12,0.15930999999999998,0.0,0.0,0.0,0.15930999999999998,0.01963,43751
8255,NJORD,2003,1,0.14885,0.0,0.0,0.0,0.14885,0.028360000000000003,43751
