,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
8420,NORDØST FRIGG,1983,12,0.0,0.05776,0.0,0.00025,0.05801,0.0,43568
8421,NORDØST FRIGG,1984,1,0.0,0.0982,0.0,0.00037,0.09856000000000001,0.0,43568
8422,NORDØST FRIGG,1984,2,0.0,0.12835,0.0,0.00047999999999999996,0.12883,0.0,43568
8423,NORDØST FRIGG,1984,3,0.0,0.14851,0.0,0.0006,0.14911,0.0,43568
8424,NORDØST FRIGG,1984,4,0.0,0.14745,0.0,0.00056,0.148,0.0,43568
8425,NORDØST FRIGG,1984,5,0.0,0.07038,0.0,0.0006,0.07098,0.0,43568
8426,NORDØST FRIGG,1984,6,0.0,0.03036,0.0,1e-05,0.030369999999999998,0.0,43568
8427,NORDØST FRIGG,1984,7,0.0,0.0941,0.0,0.00022999999999999998,0.09433,0.0,43568
8428,NORDØST FRIGG,1984,8,0.0,0.18654,0.0,0.00073,0.18727,0.0,43568
8429,NORDØST FRIGG,1984,9,0.0,0.16403,0.0,0.00576,0.16979,0.0,43568
8430,NORDØST FRIGG,1984,10,0.0,0.21183000000000002,0.0,0.00128,0.21311,0.0,43568
8431,NORDØST FRIGG,1984,11,0.0,0.22166,0.0,0.00123,0.22289,0.0,43568
8432,NORDØST FRIGG,1984,12,0.0,0.22524,0.0,0.00131,0.22655,0.0,43568
8433,NORDØST FRIGG,1985,1,0.0,0.22343000000000002,0.0,0.00155,0.22496999999999998,0.0,43568
8434,NORDØST FRIGG,1985,2,0.0,0.20325,0.0,0.0017,0.20495,0.0,43568
8435,NORDØST FRIGG,1985,3,0.0,0.23656,0.0,0.00182,0.23836999999999997,0.0,43568
8436,NORDØST FRIGG,1985,4,0.0,0.23176,0.0,0.0017699999999999999,0.23353000000000002,0.0,43568
8437,NORDØST FRIGG,1985,5,0.0,0.22321,0.0,0.00157,0.22478,0.0,43568
8438,NORDØST FRIGG,1985,6,0.0,0.16816,0.0,0.0009400000000000001,0.16909000000000002,0.0,43568
8439,NORDØST FRIGG,1985,7,0.0,0.03689,0.0,0.00032,0.0372,0.0,43568
8440,NORDØST FRIGG,1985,8,0.0,0.16176,0.0,0.00063,0.16239,0.0,43568
8441,NORDØST FRIGG,1985,9,0.0,0.20165,0.0,0.0019199999999999998,0.20357,0.0,43568
8442,NORDØST FRIGG,1985,10,0.0,0.17194,0.0,0.00067,0.1726,0.0,43568
8443,NORDØST FRIGG,1985,11,0.0,0.1922,0.0,0.00043,0.19263,0.0,43568
8444,NORDØST FRIGG,1985,12,0.0,0.17684,0.0,-0.0001,0.17675,0.0,43568
8445,NORDØST FRIGG,1986,1,0.0,0.17428,0.0,4e-05,0.17432,0.0,43568
8446,NORDØST FRIGG,1986,2,0.0,0.15184,0.0,0.00061,0.15245,0.0,43568
8447,NORDØST FRIGG,1986,3,0.0,0.10191,0.0,-0.00283,0.09908,0.0,43568
8448,NORDØST FRIGG,1986,4,0.0,0.02213,0.0,-0.00047000000000000004,0.02166,0.0,43568
8449,NORDØST FRIGG,1986,5,0.0,0.09214,0.0,0.00037,0.09251000000000001,0.0,43568
8450,NORDØST FRIGG,1986,6,0.0,0.082,0.0,0.00011,0.08211,0.0,43568
8451,NORDØST FRIGG,1986,7,0.0,0.12292,0.0,0.00417,0.12709,0.0,43568
8452,NORDØST FRIGG,1986,8,0.0,0.16537000000000002,0.0,0.0005,0.16588,0.0,43568
8453,NORDØST FRIGG,1986,9,0.0,0.12542,0.0,0.0001,0.12552,0.0,43568
8454,NORDØST FRIGG,1986,10,0.0,0.23353000000000002,0.0,0.0016300000000000002,0.23515999999999998,0.0,43568
8455,NORDØST FRIGG,1986,11,0.0,0.17105,0.0,0.00095,0.17199,0.0,43568
8456,NORDØST FRIGG,1986,12,0.0,0.16644,0.0,0.00078,0.16722,0.0,43568
8457,NORDØST FRIGG,1987,1,0.0,0.17319,0.0,0.00065,0.17384000000000002,0.0,43568
8458,NORDØST FRIGG,1987,2,0.0,0.15224000000000001,0.0,0.00109,0.15332,0.0,43568
8459,NORDØST FRIGG,1987,3,0.0,0.17982,0.0,-0.00036,0.17945999999999998,0.0,43568
8460,NORDØST FRIGG,1987,4,0.0,0.07375,0.0,0.00095,0.07468999999999999,0.0,43568
8461,NORDØST FRIGG,1987,5,0.0,0.07646,0.0,0.0005099999999999999,0.07697999999999999,0.0,43568
8462,NORDØST FRIGG,1987,6,0.0,0.07325,0.0,0.00082,0.07407000000000001,0.0,43568
8463,NORDØST FRIGG,1987,7,0.0,0.02825,0.0,-0.00015,0.0281,0.0,43568
8464,NORDØST FRIGG,1987,8,0.0,0.06816,0.0,2.9999999999999997e-05,0.06819,0.0,43568
8465,NORDØST FRIGG,1987,9,0.0,0.08804,0.0,5e-05,0.08809,0.0,43568
8466,NORDØST FRIGG,1987,10,0.0,0.06555,0.0,0.00037,0.06592,0.0,43568
8467,NORDØST FRIGG,1987,11,0.0,0.062029999999999995,0.0,0.00055,0.06258,0.0,43568
8468,NORDØST FRIGG,1987,12,0.0,0.10254,0.0,0.00062,0.10315999999999999,0.0,43568
8469,NORDØST FRIGG,1988,1,0.0,0.12975,0.0,0.0009,0.13065,0.0,43568
8470,NORDØST FRIGG,1988,2,0.0,0.14648,0.0,0.00061,0.14709,0.0,43568
8471,NORDØST FRIGG,1988,3,0.0,0.10269,0.0,0.00054,0.10323,0.0,43568
8472,NORDØST FRIGG,1988,4,0.0,0.16008,0.0,0.0007099999999999999,0.16079000000000002,0.0,43568
8473,NORDØST FRIGG,1988,5,0.0,0.0917,0.0,0.0009,0.0926,0.0,43568
8474,NORDØST FRIGG,1988,6,0.0,0.05905,0.0,0.00053,0.059579999999999994,0.0,43568
8475,NORDØST FRIGG,1988,7,0.0,0.05575,0.0,2.9999999999999997e-05,0.05579,0.0,43568
8476,NORDØST FRIGG,1988,8,0.0,0.044360000000000004,0.0,0.00031,0.04467,0.0,43568
8477,NORDØST FRIGG,1988,9,0.0,0.08549,0.0,0.00044,0.08592999999999999,0.0,43568
8478,NORDØST FRIGG,1988,10,0.0,0.06727000000000001,0.0,0.00053,0.0678,0.0,43568
8479,NORDØST FRIGG,1988,11,0.0,0.09607,0.0,0.00056,0.09662000000000001,0.0,43568
8480,NORDØST FRIGG,1988,12,0.0,0.08223,0.0,0.00054,0.08277000000000001,0.0,43568
8481,NORDØST FRIGG,1989,1,0.0,0.015609999999999999,0.0,0.00023999999999999998,0.01585,0.0,43568
8482,NORDØST FRIGG,1989,2,0.0,0.0619,0.0,0.00025,0.06215,0.0,43568
8483,NORDØST FRIGG,1989,3,0.0,0.07923999999999999,0.0,0.00039,0.07962000000000001,0.0,43568
8484,NORDØST FRIGG,1989,4,0.0,0.08032,0.0,0.00037999999999999997,0.08069,0.0,43568
8485,NORDØST FRIGG,1989,5,0.0,0.13688,0.0,0.00093,0.13781,0.0,43568
8486,NORDØST FRIGG,1989,6,0.0,0.07082999999999999,0.0,0.0008300000000000001,0.07166,0.0,43568
8487,NORDØST FRIGG,1989,7,0.0,-0.00018,0.0,8e-05,-0.0001,0.0,43568
8488,NORDØST FRIGG,1989,8,0.0,0.08851,0.0,0.00045999999999999996,0.08897000000000001,0.0,43568
8489,NORDØST FRIGG,1989,9,0.0,0.11861,0.0,0.0009199999999999999,0.11953,0.0,43568
8490,NORDØST FRIGG,1989,10,0.0,0.16585,0.0,0.00098,0.16683,0.0,43568
8491,NORDØST FRIGG,1989,11,0.0,0.12012,0.0,0.00047000000000000004,0.12059,0.0,43568
8492,NORDØST FRIGG,1989,12,0.0,0.18529,0.0,0.00193,0.18722,0.0,43568
8493,NORDØST FRIGG,1990,1,0.0,0.18228,0.0,0.0017699999999999999,0.18405,0.0,43568
8494,NORDØST FRIGG,1990,2,0.0,0.12902,0.0,0.00088,0.1299,0.0,43568
8495,NORDØST FRIGG,1990,3,0.0,0.07225,0.0,0.00066,0.07291,0.0,43568
8496,NORDØST FRIGG,1990,4,0.0,1e-05,0.0,1e-05,2e-05,0.0,43568
8497,NORDØST FRIGG,1990,5,0.0,0.02814,0.0,0.00018999999999999998,0.02833,0.0,43568
8498,NORDØST FRIGG,1990,6,0.0,0.11852,0.0,0.0008699999999999999,0.11939000000000001,0.0,43568
8499,NORDØST FRIGG,1990,7,0.0,0.1199,0.0,0.00121,0.12111,0.0,43568
8500,NORDØST FRIGG,1990,8,0.0,0.12745,0.0,0.00106,0.12850999999999999,0.0,43568
8501,NORDØST FRIGG,1990,9,0.0,0.12019,0.0,0.00105,0.12124000000000001,0.0,43568
8502,NORDØST FRIGG,1990,10,0.0,0.11765,0.0,0.00203,0.11968,0.0,43568
8503,NORDØST FRIGG,1990,11,0.0,0.10267000000000001,0.0,0.00123,0.1039,0.0,43568
8504,NORDØST FRIGG,1990,12,0.0,0.10570999999999998,0.0,0.00066,0.10637,0.0,43568
8505,NORDØST FRIGG,1991,1,0.0,0.10874,0.0,0.0007,0.10944000000000001,0.0,43568
8506,NORDØST FRIGG,1991,2,0.0,0.08022,0.0,0.00063,0.08085,0.0,43568
8507,NORDØST FRIGG,1991,3,0.0,0.0761,0.0,0.00118,0.07728,0.0,43568
8508,NORDØST FRIGG,1991,4,0.0,0.0599,0.0,0.0004,0.0603,0.0,43568
8509,NORDØST FRIGG,1991,5,0.0,0.06397,0.0,0.0008900000000000001,0.06486,0.0,43568
8510,NORDØST FRIGG,1991,6,0.0,0.05989,0.0,0.00045,0.060329999999999995,0.0,43568
8511,NORDØST FRIGG,1991,7,0.0,0.060779999999999994,0.0,0.00073,0.061520000000000005,0.0,43568
8512,NORDØST FRIGG,1991,8,0.0,0.05864,0.0,0.00065,0.059289999999999995,0.0,43568
8513,NORDØST FRIGG,1991,9,0.0,0.05719,0.0,0.00054,0.05773,0.0,43568
8514,NORDØST FRIGG,1991,10,0.0,0.06075,0.0,0.00074,0.061489999999999996,0.0,43568
8515,NORDØST FRIGG,1991,11,0.0,0.05802,0.0,0.0007,0.05872,0.0,43568
8516,NORDØST FRIGG,1991,12,0.0,0.05268,0.0,0.0007,0.05337000000000001,0.0,43568
8517,NORDØST FRIGG,1992,1,0.0,0.0587,0.0,0.00055,0.05924,0.0,43568
8518,NORDØST FRIGG,1992,2,0.0,0.051629999999999995,0.0,0.0005099999999999999,0.05214,0.0,43568
8519,NORDØST FRIGG,1992,3,0.0,0.04938,0.0,0.00082,0.050210000000000005,0.0,43568
8520,NORDØST FRIGG,1992,4,0.0,0.0399,0.0,0.00028,0.04018,0.0,43568
8521,NORDØST FRIGG,1992,5,0.0,0.03896,0.0,0.00057,0.03953,0.0,43568
8522,NORDØST FRIGG,1992,6,0.0,0.05145,0.0,0.00016,0.0516,0.0,43568
8523,NORDØST FRIGG,1992,7,0.0,0.036180000000000004,0.0,0.00027,0.03646,0.0,43568
8524,NORDØST FRIGG,1992,8,0.0,0.034069999999999996,0.0,0.0003,0.03438,0.0,43568
8525,NORDØST FRIGG,1992,9,0.0,0.03804,0.0,0.00047000000000000004,0.03851,0.0,43568
8526,NORDØST FRIGG,1992,10,0.0,0.04025,0.0,0.00088,0.04113,0.0,43568
8527,NORDØST FRIGG,1992,11,0.0,0.02853,0.0,0.00072,0.02925,0.0,43568
8528,NORDØST FRIGG,1992,12,0.0,0.01886,0.0,0.00013000000000000002,0.01899,0.0,43568
8529,NORDØST FRIGG,1993,1,0.0,0.01916,0.0,0.00026000000000000003,0.01942,0.0,43568
8530,NORDØST FRIGG,1993,2,0.0,0.01711,0.0,0.00022999999999999998,0.01734,0.0,43568
8531,NORDØST FRIGG,1993,3,0.0,0.02018,0.0,0.00015,0.02033,0.0,43568
8532,NORDØST FRIGG,1993,4,0.0,0.01736,0.0,0.0003,0.017669999999999998,0.0,43568
8533,NORDØST FRIGG,1993,5,0.0,0.00513,0.0,9e-05,0.00521,0.0,43568
8534,NORDØST FRIGG,1993,6,0.0,0.0,0.0,1e-05,1e-05,0.0,43568
8535,NORDØST FRIGG,1993,7,0.0,0.0,0.0,0.0,0.0,0.0,43568
8536,NORDØST FRIGG,1993,8,0.0,0.0,0.0,0.0,0.0,0.0,43568
