prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
NORNE,1997,11,0.13002,0.00000,0.00000,0.00000,0.13002,0.00000,43778
NORNE,1997,12,0.28525,0.00000,0.00000,0.00000,0.28525,0.00000,43778
NORNE,1998,1,0.50492,0.00000,0.00000,0.00000,0.50492,0.00000,43778
NORNE,1998,2,0.03395,0.00000,0.00000,0.00000,0.03395,0.00000,43778
NORNE,1998,3,0.35187,0.00000,0.00000,0.00000,0.35187,0.00000,43778
NORNE,1998,4,0.50319,0.00000,0.00000,0.00000,0.50319,0.00000,43778
NORNE,1998,5,0.62404,0.00000,0.00000,0.00000,0.62404,0.00000,43778
NORNE,1998,6,0.59304,0.00000,0.00000,0.00000,0.59304,0.00000,43778
NORNE,1998,7,0.63510,0.00000,0.00000,0.00000,0.63510,0.00000,43778
NORNE,1998,8,0.61360,0.00000,0.00000,0.00000,0.61360,0.00000,43778
NORNE,1998,9,0.61773,0.00000,0.00000,0.00000,0.61773,0.00000,43778
NORNE,1998,10,0.49337,0.00000,0.00000,0.00000,0.49337,0.00000,43778
NORNE,1998,11,0.73595,0.00000,0.00000,0.00000,0.73595,0.00000,43778
NORNE,1998,12,0.60894,0.00000,0.00000,0.00000,0.60894,0.00000,43778
NORNE,1999,1,0.60004,0.00000,0.00000,0.00000,0.60004,0.00000,43778
NORNE,1999,2,0.58911,0.00000,0.00000,0.00000,0.58911,0.00000,43778
NORNE,1999,3,0.59242,0.00000,0.00000,0.00000,0.59242,0.00000,43778
NORNE,1999,4,0.61456,0.00000,0.00000,0.00000,0.61456,0.00000,43778
NORNE,1999,5,0.70061,0.00000,0.00000,0.00000,0.70061,0.00000,43778
NORNE,1999,6,0.68202,0.00000,0.00000,0.00000,0.68202,0.00000,43778
NORNE,1999,7,0.70410,0.00000,0.00000,0.00000,0.70410,0.00000,43778
NORNE,1999,8,0.78022,0.00000,0.00000,0.00000,0.78022,0.00000,43778
NORNE,1999,9,0.75550,0.00000,0.00000,0.00000,0.75550,0.00000,43778
NORNE,1999,10,0.78779,0.00000,0.00000,0.00000,0.78779,0.00000,43778
NORNE,1999,11,0.54904,0.00000,0.00000,0.00000,0.54904,0.00000,43778
NORNE,1999,12,0.94965,0.00000,0.00000,0.00000,0.94965,0.00000,43778
NORNE,2000,1,0.82802,0.00000,0.00000,0.00000,0.82802,0.02152,43778
NORNE,2000,2,0.81453,0.00000,0.00000,0.00000,0.81453,0.02508,43778
NORNE,2000,3,0.85319,0.00000,0.00000,0.00000,0.85319,0.03313,43778
NORNE,2000,4,0.53293,0.00000,0.00000,0.00000,0.53293,0.00765,43778
NORNE,2000,5,0.89778,0.00000,0.00000,0.00000,0.89778,0.00391,43778
NORNE,2000,6,0.84425,0.00000,0.00000,0.00000,0.84425,0.00268,43778
NORNE,2000,7,0.90263,0.00000,0.00000,0.00000,0.90263,0.00320,43778
NORNE,2000,8,0.86261,0.00000,0.00000,0.00000,0.86261,0.00194,43778
NORNE,2000,9,0.93378,0.00000,0.00000,0.00000,0.93378,0.00000,43778
NORNE,2000,10,1.03823,0.00000,0.00000,0.00000,1.03823,0.00838,43778
NORNE,2000,11,0.95144,0.00000,0.00000,0.00000,0.95144,0.01130,43778
NORNE,2000,12,0.96084,0.00000,0.00000,0.00000,0.96084,0.02016,43778
NORNE,2001,1,0.88726,0.00000,0.00000,0.00000,0.88726,0.02637,43778
NORNE,2001,2,0.85272,0.07335,0.01223,0.00000,0.93830,0.00906,43778
NORNE,2001,3,0.99844,0.12320,0.02226,0.00000,1.14389,0.03123,43778
NORNE,2001,4,1.02375,0.11008,0.02007,0.00000,1.15390,0.01445,43778
NORNE,2001,5,1.01323,0.07778,0.01405,0.00000,1.10507,0.01754,43778
NORNE,2001,6,0.96332,0.10577,0.01968,0.00000,1.08877,0.03592,43778
NORNE,2001,7,0.93142,0.12098,0.02179,0.00000,1.07418,0.03543,43778
NORNE,2001,8,0.97465,0.04397,0.00831,0.00000,1.02693,0.02007,43778
NORNE,2001,9,0.70714,0.07310,0.01131,0.00000,0.79154,0.02142,43778
NORNE,2001,10,1.05472,0.11107,0.02433,0.00000,1.19011,0.00831,43778
NORNE,2001,11,0.90439,0.10727,0.02400,0.00000,1.03566,0.02646,43778
NORNE,2001,12,0.98625,0.13838,0.03043,0.00000,1.15505,0.05706,43778
NORNE,2002,1,0.92480,0.02030,0.00629,0.00000,0.95139,0.05595,43778
NORNE,2002,2,0.86891,0.03369,0.00636,0.00000,0.90896,0.03080,43778
NORNE,2002,3,0.84842,0.04629,0.00870,0.00000,0.90341,0.04402,43778
NORNE,2002,4,0.98834,0.05256,0.01009,0.00000,1.05098,0.05487,43778
NORNE,2002,5,0.99426,0.07869,0.01454,0.00000,1.08749,0.07201,43778
NORNE,2002,6,0.83305,0.04420,0.00785,0.00000,0.88510,0.10469,43778
NORNE,2002,7,0.89568,0.08836,0.01598,0.00000,1.00001,0.13349,43778
NORNE,2002,8,0.90230,0.07146,0.01353,0.00000,0.98728,0.11445,43778
NORNE,2002,9,0.89297,0.01417,0.00261,0.00000,0.90976,0.11531,43778
NORNE,2002,10,0.74601,0.10699,0.01908,0.00000,0.87208,0.10089,43778
NORNE,2002,11,0.70445,0.12279,0.02149,0.00000,0.84873,0.11055,43778
NORNE,2002,12,0.67056,0.11013,0.01943,0.00000,0.80013,0.11934,43778
NORNE,2003,1,0.73582,0.04792,0.01134,0.00000,0.79508,0.10784,43778
NORNE,2003,2,0.60482,0.03287,0.00883,0.00000,0.64652,0.13199,43778
NORNE,2003,3,0.81278,0.09275,0.02380,0.00000,0.92933,0.15824,43778
NORNE,2003,4,0.67953,0.05237,0.01220,0.00000,0.74409,0.12488,43778
NORNE,2003,5,0.77345,0.09533,0.02483,0.00000,0.89361,0.18738,43778
NORNE,2003,6,0.71456,0.07353,0.01736,0.00000,0.80545,0.13611,43778
NORNE,2003,7,0.69369,0.07599,0.01733,0.00000,0.78700,0.15407,43778
NORNE,2003,8,0.69128,0.05193,0.01055,0.00000,0.75376,0.16848,43778
NORNE,2003,9,0.60937,0.02041,0.00642,0.00000,0.63621,0.15573,43778
NORNE,2003,10,0.75358,0.05801,0.01317,0.00000,0.82475,0.17149,43778
NORNE,2003,11,0.75140,0.05779,0.01349,0.00000,0.82268,0.18417,43778
NORNE,2003,12,0.73157,0.09723,0.02199,0.00000,0.85080,0.17536,43778
NORNE,2004,1,0.71935,0.12976,0.02824,0.00000,0.87734,0.16745,43778
NORNE,2004,2,0.60955,0.09636,0.02106,0.00000,0.72697,0.15509,43778
NORNE,2004,3,0.64082,0.10759,0.02283,0.00000,0.77125,0.18114,43778
NORNE,2004,4,0.57128,0.09061,0.01832,0.00000,0.68021,0.17109,43778
NORNE,2004,5,0.59957,0.08385,0.01718,0.00000,0.70060,0.19309,43778
NORNE,2004,6,0.61231,0.05721,0.01196,0.00000,0.68148,0.22450,43778
NORNE,2004,7,0.64524,0.07114,0.01631,0.00000,0.73270,0.23743,43778
NORNE,2004,8,0.41358,0.04015,0.00859,0.00000,0.46232,0.16232,43778
NORNE,2004,9,0.43769,0.04883,0.00981,0.00000,0.49633,0.16522,43778
NORNE,2004,10,0.66475,0.11527,0.02571,0.00000,0.80573,0.27453,43778
NORNE,2004,11,0.55635,0.07198,0.01513,0.00000,0.64346,0.24349,43778
NORNE,2004,12,0.53716,0.04337,0.00979,0.00000,0.59032,0.29813,43778
NORNE,2005,1,0.49696,0.08009,0.01803,0.00000,0.59507,0.37552,43778
NORNE,2005,2,0.44210,0.08330,0.01862,0.00000,0.54402,0.35924,43778
NORNE,2005,3,0.48808,0.09518,0.02084,0.00000,0.60410,0.42191,43778
NORNE,2005,4,0.45742,0.09341,0.02040,0.00000,0.57123,0.42818,43778
NORNE,2005,5,0.56567,0.09901,0.01891,0.00000,0.68359,0.40111,43778
NORNE,2005,6,0.54361,0.08605,0.02019,0.00000,0.64985,0.39722,43778
NORNE,2005,7,0.50286,0.09072,0.01993,0.00000,0.61351,0.35798,43778
NORNE,2005,8,0.43503,0.08288,0.01842,0.00000,0.53633,0.37679,43778
NORNE,2005,9,0.39689,0.07522,0.01579,0.00000,0.48789,0.44909,43778
NORNE,2005,10,0.37682,0.07201,0.01660,0.00000,0.46543,0.51026,43778
NORNE,2005,11,0.28204,0.05149,0.01165,0.00000,0.34517,0.41861,43778
NORNE,2005,12,0.27950,0.03631,0.00844,0.00000,0.32425,0.45695,43778
NORNE,2006,1,0.27095,0.02609,0.00704,0.00000,0.30408,0.35242,43778
NORNE,2006,2,0.39004,0.04078,0.01138,0.00000,0.44220,0.40388,43778
NORNE,2006,3,0.54648,0.05719,0.01495,0.00000,0.61861,0.50776,43778
NORNE,2006,4,0.51934,0.05363,0.01381,0.00000,0.58678,0.47407,43778
NORNE,2006,5,0.49095,0.05347,0.01394,0.00000,0.55836,0.45169,43778
NORNE,2006,6,0.42041,0.05351,0.01440,0.00000,0.48833,0.42812,43778
NORNE,2006,7,0.43272,0.05007,0.01378,0.00000,0.49657,0.49442,43778
NORNE,2006,8,0.43749,0.04818,0.01220,0.00000,0.49787,0.53452,43778
NORNE,2006,9,0.40040,0.00213,0.00056,0.00000,0.40309,0.52746,43778
NORNE,2006,10,0.36611,0.00790,0.00173,0.00000,0.37574,0.44417,43778
NORNE,2006,11,0.31834,0.03646,0.00853,0.00000,0.36333,0.45129,43778
NORNE,2006,12,0.25592,0.00560,0.00151,0.00000,0.26302,0.39312,43778
NORNE,2007,1,0.25422,0.03859,0.00978,0.00000,0.30258,0.31356,43778
NORNE,2007,2,0.29968,0.04295,0.01094,0.00000,0.35357,0.42051,43778
NORNE,2007,3,0.30293,0.04157,0.01041,0.00000,0.35491,0.43763,43778
NORNE,2007,4,0.29061,0.03891,0.00928,0.00000,0.33880,0.45969,43778
NORNE,2007,5,0.32795,0.03860,0.00954,0.00000,0.37609,0.49884,43778
NORNE,2007,6,0.31820,0.04826,0.01216,0.00000,0.37862,0.43924,43778
NORNE,2007,7,0.37181,0.04471,0.01163,0.00000,0.42815,0.48268,43778
NORNE,2007,8,0.41404,0.04742,0.01276,0.00000,0.47422,0.52805,43778
NORNE,2007,9,0.43703,0.04580,0.01251,0.00000,0.49533,0.52649,43778
NORNE,2007,10,0.43835,0.04105,0.01170,0.00000,0.49110,0.55542,43778
NORNE,2007,11,0.41669,0.04165,0.01234,0.00000,0.47067,0.57607,43778
NORNE,2007,12,0.40279,0.04036,0.01156,0.00000,0.45471,0.61572,43778
NORNE,2008,1,0.36140,0.03760,0.01024,0.00000,0.40924,0.56663,43778
NORNE,2008,2,0.32441,0.03355,0.00955,0.00000,0.36751,0.54901,43778
NORNE,2008,3,0.33108,0.03440,0.00958,0.00000,0.37506,0.54371,43778
NORNE,2008,4,0.29954,0.02754,0.00708,0.00000,0.33417,0.57103,43778
NORNE,2008,5,0.32786,0.02758,0.00773,0.00000,0.36317,0.57290,43778
NORNE,2008,6,0.33831,0.03092,0.00807,0.00000,0.37730,0.56399,43778
NORNE,2008,7,0.16319,0.01270,0.00332,0.00000,0.17921,0.26058,43778
NORNE,2008,8,0.07318,0.00667,0.00182,0.00000,0.08167,0.12429,43778
NORNE,2008,9,0.33598,0.03458,0.00894,0.00000,0.37950,0.60848,43778
NORNE,2008,10,0.33223,0.03438,0.00935,0.00000,0.37595,0.69602,43778
NORNE,2008,11,0.29823,0.03172,0.00840,0.00000,0.33834,0.64053,43778
NORNE,2008,12,0.29616,0.03122,0.00788,0.00000,0.33525,0.75279,43778
NORNE,2009,1,0.24846,0.02523,0.00674,0.00000,0.28043,0.67066,43778
NORNE,2009,2,0.25240,0.02664,0.00711,0.00000,0.28615,0.65790,43778
NORNE,2009,3,0.23491,0.02304,0.00620,0.00000,0.26415,0.69324,43778
NORNE,2009,4,0.22142,0.01945,0.00530,0.00000,0.24617,0.66295,43778
NORNE,2009,5,0.22420,0.02037,0.00560,0.00000,0.25016,0.70697,43778
NORNE,2009,6,0.19379,0.01818,0.00490,0.00000,0.21687,0.59240,43778
NORNE,2009,7,0.13581,0.00933,0.00246,0.00000,0.14759,0.39713,43778
NORNE,2009,8,0.13643,0.00905,0.00249,0.00000,0.14796,0.44542,43778
NORNE,2009,9,0.10507,0.00647,0.00167,0.00000,0.11322,0.41063,43778
NORNE,2009,10,0.14158,0.00761,0.00198,0.00000,0.15116,0.37000,43778
NORNE,2009,11,0.15647,0.00709,0.00190,0.00000,0.16545,0.41581,43778
NORNE,2009,12,0.16372,0.00789,0.00214,0.00000,0.17376,0.37574,43778
NORNE,2010,1,0.19409,0.01249,0.00327,0.00000,0.20986,0.34660,43778
NORNE,2010,2,0.18485,0.02330,0.00638,0.00000,0.21453,0.30572,43778
NORNE,2010,3,0.15362,0.00890,0.00240,0.00000,0.16492,0.46714,43778
NORNE,2010,4,0.15338,0.01234,0.00337,0.00000,0.16909,0.48730,43778
NORNE,2010,5,0.16002,0.00962,0.00262,0.00000,0.17225,0.53867,43778
NORNE,2010,6,0.18343,0.01398,0.00378,0.00000,0.20119,0.55807,43778
NORNE,2010,7,0.16445,0.00966,0.00260,0.00000,0.17671,0.58267,43778
NORNE,2010,8,0.10197,0.00632,0.00166,0.00000,0.10995,0.41567,43778
NORNE,2010,9,0.13748,0.01717,0.00446,0.00000,0.15911,0.58123,43778
NORNE,2010,10,0.18123,0.02196,0.00593,0.00000,0.20912,0.76567,43778
NORNE,2010,11,0.16045,0.01679,0.00454,0.00000,0.18179,0.68510,43778
NORNE,2010,12,0.15630,0.01678,0.00454,0.00000,0.17762,0.73268,43778
NORNE,2011,1,0.15682,0.02525,0.00672,0.00000,0.18879,0.72073,43778
NORNE,2011,2,0.14438,0.02549,0.00692,0.00000,0.17679,0.67446,43778
NORNE,2011,3,0.13929,0.02097,0.00589,0.00000,0.16614,0.68648,43778
NORNE,2011,4,0.19275,0.02808,0.00743,0.00000,0.22826,0.63559,43778
NORNE,2011,5,0.17340,0.02766,0.00784,0.00000,0.20890,0.72760,43778
NORNE,2011,6,0.13072,0.02082,0.00581,0.00000,0.15735,0.70623,43778
NORNE,2011,7,0.12156,0.01842,0.00517,0.00000,0.14515,0.66729,43778
NORNE,2011,8,0.11950,0.02043,0.00593,0.00000,0.14586,0.66846,43778
NORNE,2011,9,0.11812,0.01638,0.00463,0.00000,0.13913,0.68885,43778
NORNE,2011,10,0.11911,0.02443,0.00696,0.00000,0.15050,0.66519,43778
NORNE,2011,11,0.10601,0.01697,0.00487,0.00000,0.12786,0.61949,43778
NORNE,2011,12,0.09300,0.01252,0.00341,0.00000,0.10893,0.64627,43778
NORNE,2012,1,0.09447,0.01574,0.00431,0.00000,0.11451,0.68987,43778
NORNE,2012,2,0.07130,0.01208,0.00341,0.00000,0.08679,0.58453,43778
NORNE,2012,3,0.08626,0.00967,0.00277,0.00000,0.09870,0.69439,43778
NORNE,2012,4,0.05905,0.01198,0.00321,0.00000,0.07424,0.44736,43778
NORNE,2012,5,0.04759,0.01530,0.00412,0.00000,0.06701,0.42792,43778
NORNE,2012,6,0.05007,0.01493,0.00398,0.00000,0.06897,0.46467,43778
NORNE,2012,7,0.04893,0.01351,0.00376,0.00000,0.06620,0.55510,43778
NORNE,2012,8,0.05080,0.01526,0.00416,0.00000,0.07022,0.51961,43778
NORNE,2012,9,0.05599,0.00887,0.00244,0.00000,0.06730,0.56399,43778
NORNE,2012,10,0.05151,0.01372,0.00413,0.00000,0.06936,0.32927,43778
NORNE,2012,11,0.06117,0.01543,0.00443,0.00000,0.08103,0.35135,43778
NORNE,2012,12,0.06634,0.01160,0.00331,0.00000,0.08125,0.49499,43778
NORNE,2013,1,0.08439,0.01194,0.00342,0.00000,0.09975,0.62665,43778
NORNE,2013,2,0.06293,0.01113,0.00302,0.00000,0.07708,0.41074,43778
NORNE,2013,3,0.05553,0.00106,0.00030,0.00000,0.05688,0.41370,43778
NORNE,2013,4,0.06805,0.00386,0.00112,0.00000,0.07303,0.58958,43778
NORNE,2013,5,0.08869,0.00540,0.00844,0.00000,0.10253,0.54254,43778
NORNE,2013,6,0.10953,0.02183,0.00418,0.00000,0.13553,0.47873,43778
NORNE,2013,7,0.10179,0.01342,0.00243,0.00000,0.11764,0.59141,43778
NORNE,2013,8,0.09309,0.01660,0.00350,0.00000,0.11319,0.66619,43778
NORNE,2013,9,0.01682,0.00290,0.00058,0.00000,0.02030,0.10637,43778
NORNE,2013,10,0.03179,0.01599,0.00381,0.00000,0.05159,0.23499,43778
NORNE,2013,11,0.03537,0.01217,0.00328,0.00000,0.05082,0.41226,43778
NORNE,2013,12,0.05426,0.00590,0.00256,0.00000,0.06272,0.60768,43778
NORNE,2014,1,0.07976,0.01225,0.00412,0.00000,0.09612,0.76178,43778
NORNE,2014,2,0.06596,0.01104,0.00397,0.00000,0.08097,0.68488,43778
NORNE,2014,3,0.06022,0.00834,0.00327,0.00000,0.07183,0.72163,43778
NORNE,2014,4,0.05809,0.00989,0.00382,0.00000,0.07180,0.67297,43778
NORNE,2014,5,0.05957,0.01285,0.00318,0.00000,0.07559,0.67613,43778
NORNE,2014,6,0.05496,0.00948,0.00269,0.00000,0.06713,0.64309,43778
NORNE,2014,7,0.02538,0.01222,0.00523,0.00000,0.04283,0.36895,43778
NORNE,2014,8,0.05462,0.00023,0.00040,0.00000,0.05526,0.62081,43778
NORNE,2014,9,0.06261,0.01769,0.00586,0.00000,0.08617,0.71228,43778
NORNE,2014,10,0.06980,0.01661,0.00583,0.00000,0.09224,0.75731,43778
NORNE,2014,11,0.05286,0.01224,0.00546,0.00000,0.07056,0.68903,43778
NORNE,2014,12,0.06182,0.01492,0.00614,0.00000,0.08288,0.77367,43778
NORNE,2015,1,0.06771,0.01334,0.00437,0.00000,0.08541,0.69754,43778
NORNE,2015,2,0.04971,0.01871,0.00523,0.00000,0.07364,0.59082,43778
NORNE,2015,3,0.04653,0.01763,0.00579,0.00000,0.06996,0.58993,43778
NORNE,2015,4,0.04764,0.01510,0.00581,0.00000,0.06855,0.59028,43778
NORNE,2015,5,0.05270,0.01542,0.00581,0.00000,0.07392,0.66472,43778
NORNE,2015,6,0.05334,0.01693,0.00683,0.00000,0.07710,0.64784,43778
NORNE,2015,7,0.05325,0.01233,0.00514,0.00000,0.07073,0.66743,43778
NORNE,2015,8,0.04648,0.01442,0.00476,0.00000,0.06566,0.68698,43778
NORNE,2015,9,0.04943,0.01434,0.00509,0.00000,0.06885,0.68620,43778
NORNE,2015,10,0.05491,0.01508,0.00480,0.00000,0.07478,0.68396,43778
NORNE,2015,11,0.05238,0.01744,0.00484,0.00000,0.07466,0.66473,43778
NORNE,2015,12,0.05716,0.01338,0.00346,0.00000,0.07399,0.69457,43778
NORNE,2016,1,0.05346,0.01582,0.00424,0.00000,0.07352,0.69245,43778
