prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
ODIN,1984,4,0.00000,0.03793,0.00000,0.00015,0.03807,0.00000,43610
ODIN,1984,5,0.00000,0.07269,0.00000,0.00062,0.07331,0.00000,43610
ODIN,1984,6,0.00000,0.09625,0.00000,-0.00001,0.09625,0.00000,43610
ODIN,1984,7,0.00000,0.05635,0.00000,0.00012,0.05647,0.00000,43610
ODIN,1984,8,0.00000,0.10216,0.00000,0.00042,0.10258,0.00000,43610
ODIN,1984,9,0.00000,0.16714,0.00000,0.00489,0.17203,0.00000,43610
ODIN,1984,10,0.00000,0.33562,0.00000,0.00391,0.33953,0.00000,43610
ODIN,1984,11,0.00000,0.30549,0.00000,0.00313,0.30862,0.00000,43610
ODIN,1984,12,0.00000,0.34165,0.00000,0.00304,0.34469,0.00000,43610
ODIN,1985,1,0.00000,0.33093,0.00000,0.00305,0.33398,0.00000,43610
ODIN,1985,2,0.00000,0.30443,0.00000,0.00310,0.30753,0.00000,43610
ODIN,1985,3,0.00000,0.34195,0.00000,0.00348,0.34543,0.00000,43610
ODIN,1985,4,0.00000,0.33348,0.00000,0.00327,0.33675,0.00000,43610
ODIN,1985,5,0.00000,0.34847,0.00000,0.00337,0.35184,0.00000,43610
ODIN,1985,6,0.00000,0.31425,0.00000,0.00274,0.31699,0.00000,43610
ODIN,1985,7,0.00000,0.10053,0.00000,0.00125,0.10179,0.00000,43610
ODIN,1985,8,0.00000,0.22922,0.00000,0.00148,0.23070,0.00000,43610
ODIN,1985,9,0.00000,0.23091,0.00000,0.00102,0.23193,0.00000,43610
ODIN,1985,10,0.00000,0.34073,0.00000,0.00304,0.34377,0.00000,43610
ODIN,1985,11,0.00000,0.33260,0.00000,0.00096,0.33356,0.00000,43610
ODIN,1985,12,0.00000,0.34166,0.00000,0.00119,0.34285,0.00000,43610
ODIN,1986,1,0.00000,0.34330,0.00000,0.00116,0.34446,0.00000,43610
ODIN,1986,2,0.00000,0.31158,0.00000,0.00189,0.31347,0.00000,43610
ODIN,1986,3,0.00000,0.30982,0.00000,0.01043,0.32025,0.00000,43610
