prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
ORMEN LANGE,2007,9,0.00000,0.07463,0.00000,0.00000,0.07463,0.00000,2762452
ORMEN LANGE,2007,10,0.00000,0.36765,0.00000,0.03130,0.39896,0.00153,2762452
ORMEN LANGE,2007,11,0.00000,0.61891,0.00000,0.05498,0.67389,0.00000,2762452
ORMEN LANGE,2007,12,0.00000,0.60927,0.00000,0.04825,0.65751,0.00000,2762452
ORMEN LANGE,2008,1,0.00000,0.76778,0.00000,0.05862,0.82640,0.00000,2762452
ORMEN LANGE,2008,2,0.00000,0.75980,0.00000,0.06665,0.82645,0.00000,2762452
ORMEN LANGE,2008,3,0.00000,0.75811,0.00000,0.06604,0.82416,0.00000,2762452
ORMEN LANGE,2008,4,0.00000,0.82406,0.00000,0.07602,0.90008,0.00000,2762452
ORMEN LANGE,2008,5,0.00000,0.87113,0.00000,0.07035,0.94147,0.00000,2762452
ORMEN LANGE,2008,6,0.00000,0.77936,0.00000,0.06835,0.84771,0.00000,2762452
ORMEN LANGE,2008,7,0.00000,0.93043,0.00000,0.07802,1.00846,0.00000,2762452
ORMEN LANGE,2008,8,0.00000,0.93056,0.00000,0.08035,1.01091,0.00000,2762452
ORMEN LANGE,2008,9,0.00000,0.79394,0.00000,0.07067,0.86461,0.00000,2762452
ORMEN LANGE,2008,10,0.00000,0.97343,0.00000,0.07737,1.05080,0.00000,2762452
ORMEN LANGE,2008,11,0.00000,1.42500,0.00000,0.12012,1.54512,0.00000,2762452
ORMEN LANGE,2008,12,0.00000,1.62349,0.00000,0.13493,1.75842,0.00000,2762452
ORMEN LANGE,2009,1,0.00000,1.73324,0.00000,0.13576,1.86899,0.00000,2762452
ORMEN LANGE,2009,2,0.00000,1.62788,0.00000,0.13514,1.76302,0.00000,2762452
ORMEN LANGE,2009,3,0.00000,1.69035,0.00000,0.13140,1.82176,0.00000,2762452
ORMEN LANGE,2009,4,0.00000,1.67087,0.00000,0.12941,1.80028,0.00000,2762452
ORMEN LANGE,2009,5,0.00000,1.74121,0.00000,0.13754,1.87875,0.00000,2762452
ORMEN LANGE,2009,6,0.00000,1.50587,0.00000,0.11739,1.62326,0.00000,2762452
ORMEN LANGE,2009,7,0.00000,1.60577,0.00000,0.11966,1.72542,0.00000,2762452
ORMEN LANGE,2009,8,0.00000,1.52746,0.00000,0.16266,1.69013,0.00000,2762452
ORMEN LANGE,2009,9,0.00000,1.58677,0.00000,0.11634,1.70311,0.00000,2762452
ORMEN LANGE,2009,10,0.00000,1.92967,0.00000,0.14528,2.07495,0.00000,2762452
ORMEN LANGE,2009,11,0.00000,2.03110,0.00000,0.15290,2.18400,0.00000,2762452
