,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
8998,OSEBERG,1986,9,0.01984,0.0,0.0,0.0,0.01984,0.0,43625
8999,OSEBERG,1986,10,0.09101000000000001,0.0,0.0,0.0,0.09101000000000001,0.0,43625
9000,OSEBERG,1986,11,0.08663,0.0,0.0,0.0,0.08663,0.0,43625
9001,OSEBERG,1986,12,0.09331,0.0,0.0,0.0,0.09331,0.0,43625
9002,OSEBERG,1987,1,0.10397,0.0,0.0,0.0,0.10397,0.0,43625
9003,OSEBERG,1987,2,0.1006,0.0,0.0,0.0,0.1006,0.0,43625
9004,OSEBERG,1987,3,0.05919,0.0,0.0,0.0,0.05919,0.0,43625
9005,OSEBERG,1987,4,0.05905,0.0,0.0,0.0,0.05905,0.0,43625
9006,OSEBERG,1987,5,0.06131,0.0,0.0,0.0,0.06131,0.0,43625
9007,OSEBERG,1987,6,0.0879,0.0,0.0,0.0,0.0879,0.0,43625
9008,OSEBERG,1987,7,0.09746,0.0,0.0,0.0,0.09746,0.0,43625
9009,OSEBERG,1987,8,0.07973,0.0,0.0,0.0,0.07973,0.0,43625
9010,OSEBERG,1987,9,0.008190000000000001,0.0,0.0,0.0,0.008190000000000001,0.0,43625
9011,OSEBERG,1987,10,0.00475,0.0,0.0,0.0,0.00475,0.0,43625
9012,OSEBERG,1987,11,0.055310000000000005,0.0,0.0,0.0,0.055310000000000005,0.0,43625
9013,OSEBERG,1987,12,0.09035,0.0,0.0,0.0,0.09035,0.0,43625
9014,OSEBERG,1988,1,0.10432000000000001,0.0,0.0,0.0,0.10432000000000001,0.0,43625
9015,OSEBERG,1988,2,0.08693,0.0,0.0,0.0,0.08693,0.0,43625
9016,OSEBERG,1988,3,0.10114,0.0,0.0,0.0,0.10114,0.0,43625
9017,OSEBERG,1988,4,0.10421,0.0,0.0,0.0,0.10421,0.0,43625
9018,OSEBERG,1988,5,0.0727,0.0,0.0,0.0,0.0727,0.0,43625
9019,OSEBERG,1988,6,0.007259999999999999,0.0,0.0,0.0,0.007259999999999999,0.0,43625
9020,OSEBERG,1988,7,0.0,0.0,0.0,0.0,0.0,0.0,43625
9021,OSEBERG,1988,8,0.0,0.0,0.0,0.0,0.0,0.0,43625
9022,OSEBERG,1988,9,0.0,0.0,0.0,0.0,0.0,0.0,43625
9023,OSEBERG,1988,10,0.0,0.0,0.0,0.0,0.0,0.0,43625
9024,OSEBERG,1988,11,0.0,0.0,0.0,0.0,0.0,0.0,43625
9025,OSEBERG,1988,12,0.6494,0.0,0.0,0.0,0.6494,0.0,43625
9026,OSEBERG,1989,1,0.72712,0.0,0.0,0.0,0.72712,0.0,43625
9027,OSEBERG,1989,2,0.9419799999999999,0.0,0.0,0.0,0.9419799999999999,0.0,43625
9028,OSEBERG,1989,3,0.93561,0.0,0.0,0.0,0.93561,0.0,43625
9029,OSEBERG,1989,4,1.20187,0.0,0.0,0.0,1.20187,0.0,43625
9030,OSEBERG,1989,5,1.1722700000000001,0.0,0.0,0.0,1.1722700000000001,0.0,43625
9031,OSEBERG,1989,6,1.2311,0.0,0.0,0.0,1.2311,0.0,43625
9032,OSEBERG,1989,7,1.28166,0.0,0.0,0.0,1.28166,0.0,43625
9033,OSEBERG,1989,8,1.2887899999999999,0.0,0.0,0.0,1.2887899999999999,0.0,43625
9034,OSEBERG,1989,9,1.19575,0.0,0.0,0.0,1.19575,0.0,43625
9035,OSEBERG,1989,10,1.29389,0.0,0.0,0.0,1.29389,0.0,43625
