prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
RINGHORNE ØST,2006,3,0.02442,0.00087,0.00000,0.00000,0.02529,0.00005,3505505
RINGHORNE ØST,2006,4,0.07546,0.00305,0.00000,0.00000,0.07851,0.00342,3505505
RINGHORNE ØST,2006,5,0.09125,0.00358,0.00000,0.00000,0.09482,0.00353,3505505
RINGHORNE ØST,2006,6,0.09417,0.00263,0.00000,0.00000,0.09680,0.00900,3505505
RINGHORNE ØST,2006,7,0.07975,0.00233,0.00000,0.00000,0.08208,0.00156,3505505
RINGHORNE ØST,2006,8,0.10757,0.00400,0.00000,0.00000,0.11157,0.00288,3505505
RINGHORNE ØST,2006,9,0.09926,0.00380,0.00000,0.00000,0.10305,0.00329,3505505
RINGHORNE ØST,2006,10,0.10814,0.00427,0.00000,0.00000,0.11241,0.00479,3505505
RINGHORNE ØST,2006,11,0.11934,0.00381,0.00000,0.00000,0.12315,0.00276,3505505
RINGHORNE ØST,2006,12,0.13492,0.00267,0.00000,0.00000,0.13759,0.00302,3505505
RINGHORNE ØST,2007,1,0.13656,0.00407,0.00000,0.00000,0.14064,0.00241,3505505
RINGHORNE ØST,2007,2,0.11446,0.00027,0.00000,0.00000,0.11474,0.00310,3505505
RINGHORNE ØST,2007,3,0.14317,0.00042,0.00000,0.00000,0.14359,0.00351,3505505
RINGHORNE ØST,2007,4,0.11513,0.00071,0.00000,0.00000,0.11584,0.00306,3505505
RINGHORNE ØST,2007,5,0.12340,0.00370,0.00000,0.00000,0.12710,0.00284,3505505
RINGHORNE ØST,2007,6,0.13609,0.00123,0.00000,0.00000,0.13732,0.00291,3505505
RINGHORNE ØST,2007,7,0.13265,0.00071,0.00000,0.00000,0.13335,0.00308,3505505
RINGHORNE ØST,2007,8,0.14565,0.00166,0.00000,0.00000,0.14732,0.00358,3505505
RINGHORNE ØST,2007,9,0.14740,0.00174,0.00000,0.00000,0.14914,0.00601,3505505
RINGHORNE ØST,2007,10,0.14556,0.00395,0.00000,0.00000,0.14950,0.00554,3505505
RINGHORNE ØST,2007,11,0.13881,0.00332,0.00000,0.00000,0.14213,0.00574,3505505
RINGHORNE ØST,2007,12,0.14278,0.00288,0.00000,0.00000,0.14566,0.00618,3505505
RINGHORNE ØST,2008,1,0.15553,0.00371,0.00000,0.00000,0.15924,0.00639,3505505
RINGHORNE ØST,2008,2,0.14659,0.00112,0.00000,0.00000,0.14771,0.00672,3505505
RINGHORNE ØST,2008,3,0.16443,0.00578,0.00000,0.00000,0.17021,0.00872,3505505
RINGHORNE ØST,2008,4,0.16749,0.00182,0.00000,0.00000,0.16931,0.01097,3505505
RINGHORNE ØST,2008,5,0.17546,0.00023,0.00000,0.00000,0.17569,0.00944,3505505
RINGHORNE ØST,2008,6,0.11630,0.00000,0.00000,0.00000,0.11630,0.00632,3505505
RINGHORNE ØST,2008,7,0.18287,0.00517,0.00000,0.00000,0.18803,0.00673,3505505
RINGHORNE ØST,2008,8,0.18096,0.00108,0.00000,0.00000,0.18203,0.00958,3505505
RINGHORNE ØST,2008,9,0.17400,0.00000,0.00000,0.00000,0.17400,0.01773,3505505
RINGHORNE ØST,2008,10,0.17569,0.00422,0.00000,0.00000,0.17992,0.02437,3505505
RINGHORNE ØST,2008,11,0.16750,0.00579,0.00000,0.00000,0.17330,0.02632,3505505
RINGHORNE ØST,2008,12,0.17265,0.00651,0.00000,0.00000,0.17916,0.03009,3505505
RINGHORNE ØST,2009,1,0.17245,0.00460,0.00000,0.00000,0.17704,0.03595,3505505
RINGHORNE ØST,2009,2,0.15385,0.00391,0.00000,0.00000,0.15776,0.03481,3505505
RINGHORNE ØST,2009,3,0.15498,0.00483,0.00000,0.00000,0.15980,0.03727,3505505
