prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
SIGYN,2002,12,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,1630100
SIGYN,2003,1,0.00000,0.08256,0.05097,0.08251,0.21604,0.00041,1630100
SIGYN,2003,2,0.00000,0.07589,0.04743,0.06813,0.19146,0.00033,1630100
SIGYN,2003,3,0.00000,0.08399,0.05401,0.07682,0.21482,0.00041,1630100
SIGYN,2003,4,0.00000,0.06934,0.04269,0.06463,0.17666,0.00035,1630100
SIGYN,2003,5,0.00000,0.07149,0.04495,0.06484,0.18127,0.00036,1630100
SIGYN,2003,6,0.00000,0.05169,0.03284,0.04856,0.13308,0.00027,1630100
SIGYN,2003,7,0.00000,0.07598,0.04942,0.07008,0.19549,0.00033,1630100
SIGYN,2003,8,0.00000,0.06906,0.05031,0.07179,0.19115,0.00038,1630100
SIGYN,2003,9,0.00000,0.06860,0.05438,0.07783,0.20081,0.00034,1630100
SIGYN,2003,10,0.00000,0.09331,0.06456,0.09062,0.24849,0.00097,1630100
SIGYN,2003,11,0.00000,0.08738,0.05854,0.08520,0.23112,0.00107,1630100
SIGYN,2003,12,0.00000,0.08395,0.06084,0.08661,0.23140,0.00088,1630100
SIGYN,2004,1,0.00000,0.07883,0.06035,0.08464,0.22381,0.00125,1630100
SIGYN,2004,2,0.00000,0.06426,0.04931,0.07269,0.18627,0.00101,1630100
SIGYN,2004,3,0.00000,0.07503,0.05959,0.07814,0.21276,0.00136,1630100
SIGYN,2004,4,0.00000,0.06843,0.05520,0.07248,0.19610,0.00146,1630100
SIGYN,2004,5,0.00000,0.07548,0.05154,0.06818,0.19520,0.00173,1630100
SIGYN,2004,6,0.00000,0.07804,0.06106,0.08240,0.22151,0.00185,1630100
SIGYN,2004,7,0.00000,0.06995,0.05784,0.07666,0.20445,0.00196,1630100
SIGYN,2004,8,0.00000,0.03050,0.02614,0.03504,0.09167,0.00089,1630100
SIGYN,2004,9,0.00000,0.04260,0.03736,0.05139,0.13135,0.00182,1630100
SIGYN,2004,10,0.00000,0.08563,0.06770,0.09209,0.24542,0.00334,1630100
SIGYN,2004,11,0.00000,0.08248,0.06618,0.09445,0.24311,0.00294,1630100
SIGYN,2004,12,0.00000,0.08466,0.06732,0.09314,0.24512,0.00282,1630100
