prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
SKARV,2013,1,0.03548,0.12309,0.03240,0.00000,0.19096,0.00115,4704482
SKARV,2013,2,0.05028,0.14886,0.03559,0.00000,0.23472,0.00175,4704482
SKARV,2013,3,0.04418,0.16755,0.04006,0.00000,0.25178,0.00152,4704482
SKARV,2013,4,0.06705,0.28726,0.06631,0.00000,0.42063,0.00102,4704482
SKARV,2013,5,0.16225,0.30365,0.07225,0.00000,0.53815,-0.00017,4704482
SKARV,2013,6,0.15686,0.26133,0.05981,0.00000,0.47800,0.00505,4704482
SKARV,2013,7,0.30808,0.31375,0.07902,0.00000,0.70086,0.00857,4704482
SKARV,2013,8,0.34946,0.35059,0.08767,0.00000,0.78772,0.01032,4704482
SKARV,2013,9,0.21233,0.17966,0.03978,0.00000,0.43177,-0.00007,4704482
SKARV,2013,10,0.33382,0.33946,0.08554,0.00000,0.75882,0.00793,4704482
SKARV,2013,11,0.29307,0.31349,0.07300,0.00000,0.67956,0.00724,4704482
SKARV,2013,12,0.11703,0.19752,0.04515,0.00000,0.35970,0.00643,4704482
SKARV,2014,1,0.34083,0.34814,0.08243,0.00000,0.77140,0.00930,4704482
SKARV,2014,2,0.33741,0.27567,0.06674,0.00000,0.67982,0.00437,4704482
SKARV,2014,3,0.28457,0.35801,0.08037,0.00000,0.72295,0.00734,4704482
SKARV,2014,4,0.29806,0.30911,0.06700,0.00000,0.67417,0.00727,4704482
SKARV,2014,5,0.37905,0.37131,0.07844,0.00000,0.82880,0.00630,4704482
SKARV,2014,6,0.35889,0.37465,0.08633,0.00000,0.81987,0.01024,4704482
SKARV,2014,7,0.35563,0.35676,0.08138,0.00000,0.79377,0.00824,4704482
SKARV,2014,8,0.34665,0.35667,0.08101,0.00000,0.78433,0.00921,4704482
SKARV,2014,9,0.23028,0.22199,0.05036,0.00000,0.50262,0.00454,4704482
SKARV,2014,10,0.07359,0.40442,0.08285,0.00000,0.56085,0.00607,4704482
SKARV,2014,11,0.06893,0.05384,0.01132,0.00000,0.13410,0.00856,4704482
SKARV,2014,12,0.30822,0.18042,0.04142,0.00000,0.53005,0.00570,4704482
SKARV,2015,1,0.28951,0.17948,0.03901,0.00000,0.50800,0.00621,4704482
SKARV,2015,2,0.29019,0.34474,0.07600,0.00000,0.71093,0.00477,4704482
SKARV,2015,3,0.30678,0.37400,0.08787,0.00000,0.76865,0.01065,4704482
SKARV,2015,4,0.27938,0.33052,0.07361,0.00000,0.68351,0.00729,4704482
SKARV,2015,5,0.24781,0.25381,0.06008,0.00000,0.56170,0.00774,4704482
SKARV,2015,6,0.25380,0.36242,0.08295,0.00000,0.69916,0.01118,4704482
SKARV,2015,7,0.25345,0.41465,0.09527,0.00000,0.76338,0.00702,4704482
SKARV,2015,8,0.24288,0.40904,0.09452,0.00000,0.74643,0.00821,4704482
SKARV,2015,9,0.19879,0.29375,0.06027,0.00000,0.55280,0.00655,4704482
SKARV,2015,10,0.23690,0.27377,0.05989,0.00000,0.57056,0.01264,4704482
SKARV,2015,11,0.23159,0.33129,0.06991,0.00000,0.63279,0.00898,4704482
SKARV,2015,12,0.23476,0.41177,0.08849,0.00000,0.73502,0.01003,4704482
SKARV,2016,1,0.23082,0.37803,0.08275,0.00000,0.69160,0.00902,4704482
SKARV,2016,2,0.21321,0.35857,0.07959,0.00000,0.65137,0.00858,4704482
SKARV,2016,3,0.23024,0.40277,0.08881,0.00000,0.72182,0.01068,4704482
SKARV,2016,4,0.19399,0.32636,0.06606,0.00000,0.58641,0.00643,4704482
SKARV,2016,5,0.20718,0.36744,0.07913,0.00000,0.65375,0.00852,4704482
SKARV,2016,6,0.20978,0.37995,0.08601,0.00000,0.67574,0.01146,4704482
SKARV,2016,7,0.21117,0.38733,0.08703,0.00000,0.68553,0.01841,4704482
SKARV,2016,8,0.17084,0.32486,0.07101,0.00000,0.56670,0.01446,4704482
SKARV,2016,9,0.06643,0.09352,0.01932,0.00000,0.17927,0.00345,4704482
SKARV,2016,10,0.19055,0.30045,0.06264,0.00000,0.55364,0.01487,4704482
SKARV,2016,11,0.19031,0.35576,0.07566,0.00000,0.62173,0.01235,4704482
