prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
SKIRNE,2004,3,0.01052,0.02686,0.00000,0.00000,0.03738,0.00000,2138816
SKIRNE,2004,4,0.02143,0.05757,0.00000,0.00000,0.07900,0.00000,2138816
SKIRNE,2004,5,0.02370,0.06475,0.00000,0.00000,0.08845,0.00000,2138816
SKIRNE,2004,6,0.02296,0.05958,0.00000,0.00000,0.08253,0.00000,2138816
SKIRNE,2004,7,0.02708,0.08531,0.00000,0.00000,0.11238,0.00000,2138816
SKIRNE,2004,8,0.01484,0.02965,0.00000,0.00000,0.04449,0.00000,2138816
SKIRNE,2004,9,0.01316,0.05751,0.00000,0.00000,0.07067,0.00000,2138816
SKIRNE,2004,10,0.02992,0.09123,0.00000,0.00000,0.12115,0.00000,2138816
SKIRNE,2004,11,0.02716,0.07257,0.00000,0.00000,0.09973,0.00000,2138816
SKIRNE,2004,12,0.02522,0.11175,0.00000,0.00000,0.13696,0.00000,2138816
SKIRNE,2005,1,0.03093,0.11882,0.00000,0.00000,0.14975,0.00000,2138816
SKIRNE,2005,2,0.02800,0.10551,0.00000,0.00000,0.13351,0.00000,2138816
SKIRNE,2005,3,0.03314,0.13171,0.00000,0.00000,0.16485,0.00000,2138816
SKIRNE,2005,4,0.03082,0.12519,0.00000,0.00000,0.15601,0.00000,2138816
SKIRNE,2005,5,0.03329,0.13966,0.00000,0.00000,0.17294,0.00000,2138816
SKIRNE,2005,6,0.00721,0.01366,0.00000,0.00000,0.02087,0.00000,2138816
SKIRNE,2005,7,0.02308,0.08954,0.00000,0.00000,0.11262,0.00000,2138816
SKIRNE,2005,8,0.02647,0.11907,0.00000,0.00000,0.14553,0.00000,2138816
SKIRNE,2005,9,0.02456,0.09226,0.00000,0.00000,0.11683,0.00000,2138816
SKIRNE,2005,10,0.02069,0.09001,0.00000,0.00000,0.11070,0.00000,2138816
SKIRNE,2005,11,0.02253,0.10342,0.00000,0.00000,0.12594,0.00000,2138816
SKIRNE,2005,12,0.01620,0.06770,0.00000,0.00000,0.08390,0.00000,2138816
SKIRNE,2006,1,0.02397,0.11114,0.00000,0.00000,0.13511,0.00000,2138816
SKIRNE,2006,2,0.01844,0.08355,0.00000,0.00000,0.10199,0.00000,2138816
SKIRNE,2006,3,0.02119,0.08943,0.00000,0.00000,0.11061,0.00000,2138816
SKIRNE,2006,4,0.02674,0.10417,0.00000,0.00000,0.13091,0.00000,2138816
SKIRNE,2006,5,0.02307,0.11231,0.00000,0.00000,0.13538,0.00000,2138816
SKIRNE,2006,6,0.01963,0.09858,0.00000,0.00000,0.11821,0.00000,2138816
SKIRNE,2006,7,0.02307,0.11017,0.00000,0.00000,0.13324,0.00000,2138816
SKIRNE,2006,8,0.01967,0.08997,0.00000,0.00000,0.10965,0.00000,2138816
SKIRNE,2006,9,0.02471,0.11496,0.00000,0.00000,0.13966,0.00000,2138816
SKIRNE,2006,10,0.02485,0.12059,0.00000,0.00000,0.14544,0.00000,2138816
SKIRNE,2006,11,0.02278,0.12334,0.00000,0.00000,0.14612,0.00000,2138816
SKIRNE,2006,12,0.02331,0.11843,0.00000,0.00000,0.14174,0.00000,2138816
SKIRNE,2007,1,0.01550,0.07867,0.00000,0.00000,0.09417,0.00000,2138816
SKIRNE,2007,2,0.01882,0.10072,0.00000,0.00000,0.11954,0.00000,2138816
SKIRNE,2007,3,0.01285,0.06542,0.00000,0.00000,0.07827,0.00000,2138816
SKIRNE,2007,4,0.02260,0.10527,0.00000,0.00000,0.12787,0.00000,2138816
SKIRNE,2007,5,0.01675,0.05003,0.00000,0.00000,0.06679,0.00000,2138816
SKIRNE,2007,6,0.00558,0.03682,0.00000,0.00000,0.04240,0.00000,2138816
SKIRNE,2007,7,0.00947,0.05515,0.00000,0.00000,0.06462,0.00000,2138816
SKIRNE,2007,8,0.02248,0.10500,0.00000,0.00000,0.12748,0.00000,2138816
SKIRNE,2007,9,0.02324,0.10450,0.00000,0.00000,0.12774,0.00000,2138816
SKIRNE,2007,10,0.02219,0.10278,0.00000,0.00000,0.12497,0.00000,2138816
SKIRNE,2007,11,0.02016,0.10527,0.00000,0.00000,0.12542,0.00000,2138816
SKIRNE,2007,12,0.02280,0.11332,0.00000,0.00000,0.13612,0.00000,2138816
SKIRNE,2008,1,0.02274,0.11650,0.00000,0.00000,0.13925,0.00000,2138816
SKIRNE,2008,2,0.02039,0.11125,0.00000,0.00000,0.13164,0.00000,2138816
SKIRNE,2008,3,0.01468,0.07553,0.00000,0.00000,0.09021,0.00000,2138816
SKIRNE,2008,4,0.01458,0.08910,0.00000,0.00000,0.10369,0.00000,2138816
SKIRNE,2008,5,0.01674,0.09519,0.00000,0.00000,0.11192,0.00000,2138816
SKIRNE,2008,6,0.01601,0.08137,0.00000,0.00000,0.09738,0.00000,2138816
SKIRNE,2008,7,0.01849,0.07911,0.00000,0.00000,0.09760,0.00000,2138816
SKIRNE,2008,8,0.00782,0.03197,0.00000,0.00000,0.03978,0.00000,2138816
SKIRNE,2008,9,0.01285,0.08070,0.00000,0.00000,0.09356,0.00000,2138816
SKIRNE,2008,10,0.01514,0.11701,0.00000,0.00000,0.13215,0.00000,2138816
SKIRNE,2008,11,0.02008,0.11079,0.00000,0.00000,0.13087,0.00000,2138816
SKIRNE,2008,12,0.01928,0.11988,0.00000,0.00000,0.13915,0.00000,2138816
SKIRNE,2009,1,0.01860,0.10664,0.00000,0.00000,0.12524,0.00000,2138816
SKIRNE,2009,2,0.01540,0.09051,0.00000,0.00000,0.10591,0.00000,2138816
SKIRNE,2009,3,0.01875,0.11157,0.00000,0.00000,0.13032,0.00000,2138816
SKIRNE,2009,4,0.01965,0.11029,0.00000,0.00000,0.12994,0.00000,2138816
SKIRNE,2009,5,0.01821,0.11657,0.00000,0.00000,0.13478,0.00000,2138816
SKIRNE,2009,6,0.00913,0.04434,0.00000,0.00000,0.05347,0.00000,2138816
SKIRNE,2009,7,0.01584,0.10496,0.00000,0.00000,0.12081,0.00000,2138816
SKIRNE,2009,8,0.01794,0.10337,0.00000,0.00000,0.12131,0.00000,2138816
