prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
SLEIPNER VEST,1996,8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,43457
SLEIPNER VEST,1996,9,0.00000,0.00000,0.05032,0.06468,0.11500,0.00000,43457
SLEIPNER VEST,1996,10,0.00000,0.00000,0.04694,0.14227,0.18921,0.00000,43457
SLEIPNER VEST,1996,11,0.00000,0.00000,0.04934,0.12895,0.17829,0.00000,43457
SLEIPNER VEST,1996,12,0.00000,0.00000,0.06036,0.16117,0.22153,0.00000,43457
SLEIPNER VEST,1997,1,0.00000,0.00473,0.05933,0.16297,0.22703,0.00000,43457
SLEIPNER VEST,1997,2,0.00000,-0.00184,0.05098,0.15668,0.20582,0.00000,43457
SLEIPNER VEST,1997,3,0.00000,0.00869,0.05644,0.18008,0.24521,0.00000,43457
SLEIPNER VEST,1997,4,0.00000,-0.00388,0.05084,0.17748,0.22444,0.00000,43457
SLEIPNER VEST,1997,5,0.00000,0.08685,0.06631,0.21949,0.37265,0.00000,43457
SLEIPNER VEST,1997,6,0.00000,0.09802,0.07102,0.23136,0.40040,0.00000,43457
SLEIPNER VEST,1997,7,0.00000,0.07117,0.07838,0.21205,0.36159,0.00000,43457
SLEIPNER VEST,1997,8,0.00000,-0.01144,0.02991,0.08639,0.10485,0.00000,43457
SLEIPNER VEST,1997,9,0.00000,0.01380,0.07721,0.20789,0.29889,0.00000,43457
SLEIPNER VEST,1997,10,0.00000,0.08442,0.07761,0.20309,0.36512,0.00000,43457
SLEIPNER VEST,1997,11,0.00000,0.12016,0.08291,0.21436,0.41743,0.00000,43457
SLEIPNER VEST,1997,12,0.00000,-0.02852,0.07948,0.21041,0.26137,0.00000,43457
SLEIPNER VEST,1998,1,0.00000,0.12621,0.07949,0.21130,0.41700,0.00000,43457
SLEIPNER VEST,1998,2,0.00000,0.07236,0.06793,0.18263,0.32292,0.00000,43457
SLEIPNER VEST,1998,3,0.00000,0.03723,0.07924,0.21132,0.32779,0.00000,43457
SLEIPNER VEST,1998,4,0.00000,0.10401,0.08030,0.20999,0.39430,0.00000,43457
SLEIPNER VEST,1998,5,0.00000,0.04689,0.08449,0.22187,0.35324,0.00000,43457
SLEIPNER VEST,1998,6,0.00000,0.00000,0.07687,0.21024,0.28711,0.00000,43457
SLEIPNER VEST,1998,7,0.00000,0.22104,0.08005,0.19742,0.49850,0.00000,43457
SLEIPNER VEST,1998,8,0.00000,0.04240,0.01958,0.05318,0.11516,0.00000,43457
SLEIPNER VEST,1998,9,0.00000,0.20583,0.08051,0.21277,0.49912,0.00000,43457
SLEIPNER VEST,1998,10,0.00000,0.14777,0.04748,0.12789,0.32313,0.00000,43457
SLEIPNER VEST,1998,11,0.00000,0.19129,0.08068,0.20103,0.47300,0.00000,43457
SLEIPNER VEST,1998,12,0.00000,0.25782,0.08820,0.22059,0.56662,0.00000,43457
SLEIPNER VEST,1999,1,0.00000,0.31942,0.08433,0.21701,0.62076,0.00000,43457
SLEIPNER VEST,1999,2,0.00000,0.26435,0.08843,0.18959,0.54238,0.00000,43457
SLEIPNER VEST,1999,3,0.00000,0.31997,0.10183,0.22113,0.64293,0.00000,43457
SLEIPNER VEST,1999,4,0.00000,0.61244,0.09678,0.20580,0.91502,0.00000,43457
SLEIPNER VEST,1999,5,0.00000,0.36491,0.10087,0.21510,0.68087,0.00000,43457
SLEIPNER VEST,1999,6,0.00000,0.27761,0.04714,0.09219,0.41694,0.00000,43457
SLEIPNER VEST,1999,7,0.00000,0.34343,0.10052,0.20432,0.64828,0.00000,43457
SLEIPNER VEST,1999,8,0.00000,0.28637,0.09824,0.20965,0.59426,0.00000,43457
SLEIPNER VEST,1999,9,0.00000,0.31179,0.09954,0.20999,0.62131,0.00000,43457
SLEIPNER VEST,1999,10,0.00000,0.00000,0.08609,0.19924,0.28533,0.00000,43457
SLEIPNER VEST,1999,11,0.00000,0.00000,0.09042,0.20851,0.29893,0.00000,43457
SLEIPNER VEST,1999,12,0.00000,0.00000,0.08962,0.20637,0.29599,0.00000,43457
SLEIPNER VEST,2000,1,0.00000,0.00000,0.09647,0.21297,0.30943,0.00800,43457
SLEIPNER VEST,2000,2,0.00000,0.00000,0.08206,0.18814,0.27020,0.00639,43457
SLEIPNER VEST,2000,3,0.00000,0.00000,0.08868,0.19966,0.28834,0.00638,43457
SLEIPNER VEST,2000,4,0.00000,0.00000,0.08925,0.19951,0.28876,0.00668,43457
SLEIPNER VEST,2000,5,0.00000,0.00000,0.09898,0.20108,0.30007,0.00898,43457
SLEIPNER VEST,2000,6,0.00000,0.00000,0.10002,0.21416,0.31418,0.00898,43457
SLEIPNER VEST,2000,7,0.00000,0.00000,0.10479,0.22143,0.32622,0.00905,43457
SLEIPNER VEST,2000,8,0.00000,0.00000,0.03951,0.07934,0.11885,0.00351,43457
SLEIPNER VEST,2000,9,0.00000,0.00000,0.06463,0.13738,0.20201,0.00633,43457
SLEIPNER VEST,2000,10,0.00000,0.00000,0.09752,0.21142,0.30894,0.00812,43457
SLEIPNER VEST,2000,11,0.00000,0.00000,0.09777,0.19846,0.29623,0.00791,43457
SLEIPNER VEST,2000,12,0.00000,0.00000,0.10893,0.19857,0.30750,0.00849,43457
SLEIPNER VEST,2001,1,0.00000,0.00000,0.11278,0.19704,0.30983,0.00885,43457
SLEIPNER VEST,2001,2,0.00000,0.00000,0.10520,0.18081,0.28602,0.00639,43457
