,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
10689,SLEIPNER ØST,1993,8,0.0,0.0,0.0,0.0,0.0,0.0,43478
10690,SLEIPNER ØST,1993,9,0.0,0.0766,0.0,0.029019999999999997,0.10561,0.0,43478
10691,SLEIPNER ØST,1993,10,0.0,0.20184000000000002,0.07986,0.10744000000000001,0.38915,0.0,43478
10692,SLEIPNER ØST,1993,11,0.0,0.24906999999999999,0.10142000000000001,0.13822,0.48871000000000003,0.0,43478
10693,SLEIPNER ØST,1993,12,0.0,0.30618,0.11809000000000001,0.16530999999999998,0.58958,0.0,43478
10694,SLEIPNER ØST,1994,1,0.0,0.31608,0.12578,0.1761,0.6179600000000001,0.0,43478
10695,SLEIPNER ØST,1994,2,0.0,0.2729,0.10678,0.14955,0.52922,0.0,43478
10696,SLEIPNER ØST,1994,3,0.0,0.25339,0.09727000000000001,0.14151,0.49217,0.0,43478
10697,SLEIPNER ØST,1994,4,0.0,0.24823,0.1001,0.13239,0.48072,0.0,43478
10698,SLEIPNER ØST,1994,5,0.0,0.28055,0.14047,0.18517999999999998,0.60621,0.0,43478
10699,SLEIPNER ØST,1994,6,0.0,0.30725,0.15771,0.20713,0.67209,0.0,43478
10700,SLEIPNER ØST,1994,7,0.0,0.26356999999999997,0.12448,0.16133,0.54938,0.0,43478
10701,SLEIPNER ØST,1994,8,0.0,0.19462000000000002,0.0815,0.11122,0.38733,0.0,43478
10702,SLEIPNER ØST,1994,9,0.0,0.28799,0.1899,0.25006999999999996,0.72796,0.0,43478
10703,SLEIPNER ØST,1994,10,0.0,0.48378999999999994,0.22444,0.30162,1.00985,0.0,43478
10704,SLEIPNER ØST,1994,11,0.0,0.5103300000000001,0.2193,0.28844000000000003,1.01807,0.0,43478
10705,SLEIPNER ØST,1994,12,0.0,0.5331,0.21645,0.27806,1.0276,0.0,43478
10706,SLEIPNER ØST,1995,1,0.0,0.5476800000000001,0.20658,0.26097,1.0152299999999999,0.0,43478
10707,SLEIPNER ØST,1995,2,0.0,0.47273999999999994,0.1975,0.25153000000000003,0.9217700000000001,0.0,43478
10708,SLEIPNER ØST,1995,3,0.0,0.5422100000000001,0.22519,0.29183000000000003,1.05923,0.0,43478
10709,SLEIPNER ØST,1995,4,0.0,0.3985,0.2101,0.26575,0.87434,0.0,43478
10710,SLEIPNER ØST,1995,5,0.0,0.43473999999999996,0.20981999999999998,0.274,0.91856,0.0,43478
10711,SLEIPNER ØST,1995,6,0.0,0.44125,0.22123,0.2734,0.9358799999999999,0.0,43478
10712,SLEIPNER ØST,1995,7,0.0,0.37061,0.22025,0.27704,0.8679,0.0,43478
10713,SLEIPNER ØST,1995,8,0.0,0.18304,0.11027999999999999,0.14032,0.43363999999999997,0.0,43478
10714,SLEIPNER ØST,1995,9,0.0,0.42056000000000004,0.22013000000000002,0.27588,0.9165700000000001,0.0,43478
10715,SLEIPNER ØST,1995,10,0.0,0.24056999999999998,0.24316,0.30585999999999997,0.7896,0.0,43478
10716,SLEIPNER ØST,1995,11,0.0,0.49005,0.18621,0.24816,0.92442,0.0,43478
10717,SLEIPNER ØST,1995,12,0.0,0.65345,0.23820999999999998,0.30364,1.19531,0.0,43478
10718,SLEIPNER ØST,1996,1,0.0,0.6936100000000001,0.23792,0.30799,1.2395100000000001,0.0,43478
10719,SLEIPNER ØST,1996,2,0.0,0.63753,0.22305999999999998,0.27997,1.14055,0.0,43478
10720,SLEIPNER ØST,1996,3,0.0,0.69218,0.23790999999999998,0.29657,1.22665,0.0,43478
10721,SLEIPNER ØST,1996,4,0.0,0.64474,0.23260999999999998,0.28503,1.16238,0.0,43478
10722,SLEIPNER ØST,1996,5,0.0,0.63385,0.22464,0.28092,1.13941,0.0,43478
10723,SLEIPNER ØST,1996,6,0.0,0.34415999999999997,0.11595,0.14916,0.60928,0.0,43478
10724,SLEIPNER ØST,1996,7,0.0,0.5835899999999999,0.23931,0.29545,1.11835,0.0,43478
10725,SLEIPNER ØST,1996,8,0.0,0.56581,0.24159,0.2915,1.0989,0.0,43478
10726,SLEIPNER ØST,1996,9,0.0,0.63443,0.17784,0.25864000000000004,1.07091,0.0,43478
10727,SLEIPNER ØST,1996,10,0.0,0.66041,0.21347,0.25343000000000004,1.12731,0.0,43478
10728,SLEIPNER ØST,1996,11,0.0,0.75595,0.2025,0.25284,1.21128,0.0,43478
10729,SLEIPNER ØST,1996,12,0.0,0.77893,0.20142000000000002,0.24386,1.22421,0.0,43478
10730,SLEIPNER ØST,1997,1,0.0,0.80637,0.19995,0.26255,1.2688700000000002,0.0,43478
10731,SLEIPNER ØST,1997,2,0.0,0.57767,0.17806,0.22086999999999998,0.9766100000000001,0.0,43478
10732,SLEIPNER ØST,1997,3,0.0,0.77541,0.17812,0.23925,1.19278,0.0,43478
10733,SLEIPNER ØST,1997,4,0.0,0.61864,0.18595,0.22971999999999998,1.0343200000000001,0.0,43478
10734,SLEIPNER ØST,1997,5,0.0,0.6541,0.20618000000000003,0.23406999999999997,1.0943399999999999,0.0,43478
10735,SLEIPNER ØST,1997,6,0.0,0.70108,0.19374,0.2152,1.11002,0.0,43478
10736,SLEIPNER ØST,1997,7,0.0,0.59796,0.19000999999999998,0.23643000000000003,1.02439,0.0,43478
10737,SLEIPNER ØST,1997,8,0.0,0.28263,0.11310999999999999,0.14739000000000002,0.54313,0.0,43478
10738,SLEIPNER ØST,1997,9,0.0,0.72848,0.18754,0.22934000000000002,1.14536,0.0,43478
10739,SLEIPNER ØST,1997,10,0.0,0.53136,0.18457,0.2282,0.9441299999999999,0.0,43478
10740,SLEIPNER ØST,1997,11,0.0,0.62927,0.18842,0.22945,1.04714,0.0,43478
10741,SLEIPNER ØST,1997,12,0.0,0.5975,0.18137999999999999,0.22714,1.0060200000000001,0.0,43478
10742,SLEIPNER ØST,1998,1,0.0,0.67437,0.17964000000000002,0.22689,1.0809,0.0,43478
10743,SLEIPNER ØST,1998,2,0.0,0.6150899999999999,0.16705,0.20804,0.9901700000000001,0.0,43478
10744,SLEIPNER ØST,1998,3,0.0,0.70828,0.18657,0.22579000000000002,1.12065,0.0,43478
10745,SLEIPNER ØST,1998,4,0.0,0.6650699999999999,0.17227,0.20594,1.04328,0.0,43478
10746,SLEIPNER ØST,1998,5,0.0,0.67683,0.18905999999999998,0.22978,1.0956700000000001,0.0,43478
10747,SLEIPNER ØST,1998,6,0.0,0.59183,0.19205999999999998,0.24061,1.0245,0.0,43478
10748,SLEIPNER ØST,1998,7,0.0,0.8633700000000001,0.20634,0.24327,1.31298,0.0,43478
10749,SLEIPNER ØST,1998,8,0.0,0.21251,0.0668,0.08607999999999999,0.36539,0.0,43478
10750,SLEIPNER ØST,1998,9,0.0,0.6039899999999999,0.19766,0.24959,1.05124,0.0,43478
10751,SLEIPNER ØST,1998,10,0.0,0.46103999999999995,0.14174,0.18011,0.78289,0.0,43478
10752,SLEIPNER ØST,1998,11,0.0,0.49686,0.19951,0.24174,0.9381,0.0,43478
10753,SLEIPNER ØST,1998,12,0.0,0.62864,0.20347,0.24819000000000002,1.0803,0.0,43478
10754,SLEIPNER ØST,1999,1,0.0,0.55428,0.18189,0.22868000000000002,0.96485,0.0,43478
10755,SLEIPNER ØST,1999,2,0.0,0.46371,0.18135,0.21763000000000002,0.8627,0.0,43478
10756,SLEIPNER ØST,1999,3,0.0,0.51241,0.18941,0.23515999999999998,0.93699,0.0,43478
10757,SLEIPNER ØST,1999,4,0.0,0.51671,0.17411,0.21611999999999998,0.90694,0.0,43478
10758,SLEIPNER ØST,1999,5,0.0,0.60017,0.18665,0.23381,1.02063,0.0,43478
10759,SLEIPNER ØST,1999,6,0.0,0.46226999999999996,0.18135,0.21631999999999998,0.8599399999999999,0.0,43478
10760,SLEIPNER ØST,1999,7,0.0,0.4835,0.19029000000000001,0.22200999999999999,0.8958,0.0,43478
10761,SLEIPNER ØST,1999,8,0.0,0.48915,0.1868,0.22185,0.8978,0.0,43478
10762,SLEIPNER ØST,1999,9,0.0,0.49404,0.18184,0.21735,0.8932200000000001,0.0,43478
10763,SLEIPNER ØST,1999,10,0.0,0.9531700000000001,0.18404,0.20751999999999998,1.3447200000000001,0.0,43478
10764,SLEIPNER ØST,1999,11,0.0,1.235,0.18092,0.20790999999999998,1.62384,0.0,43478
10765,SLEIPNER ØST,1999,12,0.0,1.30508,0.18783,0.21231,1.7052200000000002,0.0,43478
10766,SLEIPNER ØST,2000,1,0.0,1.3438299999999999,0.19161,0.22168000000000002,1.75712,0.0053100000000000005,43478
10767,SLEIPNER ØST,2000,2,0.0,1.13375,0.1483,0.16884000000000002,1.45089,0.00352,43478
10768,SLEIPNER ØST,2000,3,0.0,1.2904,0.17720999999999998,0.2095,1.6771200000000002,0.00468,43478
10769,SLEIPNER ØST,2000,4,0.0,1.13675,0.17303,0.20315999999999998,1.51294,0.00414,43478
10770,SLEIPNER ØST,2000,5,0.0,0.95052,0.18562,0.20265,1.33879,0.00511,43478
10771,SLEIPNER ØST,2000,6,0.0,0.8411299999999999,0.16855,0.19269,1.20236,0.0037,43478
10772,SLEIPNER ØST,2000,7,0.0,0.8565799999999999,0.16896,0.19727999999999998,1.22282,0.0036899999999999997,43478
10773,SLEIPNER ØST,2000,8,0.0,0.35005,0.07683,0.08642999999999999,0.51331,0.00187,43478
10774,SLEIPNER ØST,2000,9,0.0,0.56483,0.056889999999999996,0.06931,0.69103,0.00199,43478
10775,SLEIPNER ØST,2000,10,0.0,0.96935,0.16168,0.19162,1.32265,0.004229999999999999,43478
10776,SLEIPNER ØST,2000,11,0.0,1.10447,0.16394,0.17723,1.44563,0.0036200000000000004,43478
10777,SLEIPNER ØST,2000,12,0.0,1.2639200000000002,0.18170999999999998,0.19279000000000002,1.63842,0.0049299999999999995,43478
10778,SLEIPNER ØST,2001,1,0.0,1.18692,0.19121,0.19127,1.5694,0.0043100000000000005,43478
10779,SLEIPNER ØST,2001,2,0.0,0.88021,0.17143,0.17301,1.22465,0.00477,43478
10780,SLEIPNER ØST,2001,3,0.0,0.7985899999999999,0.15924000000000002,0.16557,1.1234,0.00413,43478
10781,SLEIPNER ØST,2001,4,0.0,0.53538,0.09997,0.10492,0.74027,0.00212,43478
10782,SLEIPNER ØST,2001,5,0.0,1.11468,0.17162,0.16682,1.45313,0.00349,43478
10783,SLEIPNER ØST,2001,6,0.0,0.77655,0.14756,0.15423,1.07833,0.00307,43478
10784,SLEIPNER ØST,2001,7,0.0,0.94127,0.15389,0.16124000000000002,1.2564,0.0033399999999999997,43478
10785,SLEIPNER ØST,2001,8,0.0,0.95268,0.15267999999999998,0.1656,1.27095,0.0035600000000000002,43478
10786,SLEIPNER ØST,2001,9,0.0,0.9704,0.14648,0.14664000000000002,1.26352,0.0032700000000000003,43478
10787,SLEIPNER ØST,2001,10,0.0,0.95637,0.14795,0.16091,1.2652299999999999,0.00433,43478
10788,SLEIPNER ØST,2001,11,0.0,1.2695299999999998,0.13579000000000002,0.14369,1.54901,0.004079999999999999,43478
