prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
SNORRE,1992,8,0.07276,0.00000,0.00297,0.00000,0.07573,0.00000,43718
SNORRE,1992,9,0.22189,0.00000,0.00531,0.00000,0.22720,0.00000,43718
SNORRE,1992,10,0.31626,0.00000,0.01509,0.00000,0.33136,0.00000,43718
SNORRE,1992,11,0.47687,0.00000,0.02260,0.00000,0.49947,0.00000,43718
SNORRE,1992,12,0.47024,0.00000,0.04079,0.00000,0.51103,0.00000,43718
SNORRE,1993,1,0.36563,0.00000,0.01428,0.00000,0.37991,0.00000,43718
SNORRE,1993,2,0.43255,0.00000,0.02813,0.00000,0.46068,0.00000,43718
SNORRE,1993,3,0.59969,0.00000,0.04393,0.00000,0.64362,0.00000,43718
SNORRE,1993,4,0.63942,0.00000,0.04765,0.00000,0.68707,0.00000,43718
SNORRE,1993,5,0.56690,0.00000,0.04332,0.00000,0.61022,0.00000,43718
SNORRE,1993,6,0.48467,0.00000,0.01685,0.00000,0.50151,0.00000,43718
SNORRE,1993,7,0.66713,0.00000,0.05222,0.00000,0.71936,0.00000,43718
SNORRE,1993,8,0.76288,0.04578,0.06365,0.00000,0.87230,0.00000,43718
SNORRE,1993,9,0.28666,0.01738,0.02357,0.00000,0.32761,0.00000,43718
SNORRE,1993,10,0.71131,0.04986,0.05480,0.00000,0.81597,0.00000,43718
SNORRE,1993,11,0.73197,0.05256,0.05653,0.00000,0.84107,0.00000,43718
SNORRE,1993,12,0.65992,0.04978,0.05051,0.00000,0.76020,0.00000,43718
SNORRE,1994,1,0.76174,0.05481,0.05161,0.00000,0.86816,0.00000,43718
SNORRE,1994,2,0.83667,0.06189,0.05372,0.00000,0.95228,0.00000,43718
SNORRE,1994,3,1.01900,0.05134,0.06183,0.00000,1.13217,0.00000,43718
SNORRE,1994,4,0.81177,0.01891,0.04983,0.00000,0.88050,0.00000,43718
SNORRE,1994,5,1.04407,0.00727,0.06047,0.00000,1.11181,0.00000,43718
SNORRE,1994,6,0.84906,0.02944,0.04697,0.00000,0.92548,0.00000,43718
SNORRE,1994,7,0.65332,0.03107,0.03819,0.00000,0.72258,0.00000,43718
SNORRE,1994,8,0.60144,0.01733,0.03786,0.00000,0.65663,0.00000,43718
SNORRE,1994,9,0.39988,0.02262,0.02094,0.00000,0.44344,0.00000,43718
SNORRE,1994,10,1.00206,0.05667,0.06643,0.00000,1.12516,0.00000,43718
SNORRE,1994,11,0.88063,0.04584,0.05517,0.00000,0.98164,0.00000,43718
SNORRE,1994,12,1.01219,0.05656,0.06746,0.00000,1.13621,0.00000,43718
SNORRE,1995,1,1.02193,0.06858,0.06248,0.00000,1.15299,0.00000,43718
