,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
12071,STATFJORD ØST,1994,9,0.00642,0.0,0.0,0.0,0.00642,0.0,43672
12072,STATFJORD ØST,1994,10,0.12853,0.009729999999999999,0.0042899999999999995,0.0,0.14255,0.0,43672
12073,STATFJORD ØST,1994,11,0.21368,0.01054,0.00472,0.0,0.22895,0.0,43672
12074,STATFJORD ØST,1994,12,0.26223,0.01146,0.0052,0.0,0.27889,0.0,43672
12075,STATFJORD ØST,1995,1,0.23265999999999998,0.01228,0.00535,0.0,0.25029,0.0,43672
12076,STATFJORD ØST,1995,2,0.18845,0.01199,0.00571,0.0,0.20615,0.0,43672
12077,STATFJORD ØST,1995,3,0.25424,0.011479999999999999,0.0057,0.0,0.27142,0.0,43672
12078,STATFJORD ØST,1995,4,0.24982,0.00797,0.00491,0.0,0.2627,0.0,43672
12079,STATFJORD ØST,1995,5,0.24800999999999998,0.00897,0.00551,0.0,0.26249,0.0,43672
12080,STATFJORD ØST,1995,6,0.23972,0.00745,0.00507,0.0,0.25224,0.0,43672
12081,STATFJORD ØST,1995,7,0.30011,0.00894,0.00476,0.0,0.31381,0.0,43672
12082,STATFJORD ØST,1995,8,0.285,0.00632,0.00274,0.0,0.29405,0.0,43672
12083,STATFJORD ØST,1995,9,0.29019,0.00827,0.0042899999999999995,0.0,0.30274,0.0,43672
12084,STATFJORD ØST,1995,10,0.31848000000000004,0.01468,0.00554,0.0,0.33871,0.0,43672
12085,STATFJORD ØST,1995,11,0.30273,0.01853,0.00717,0.0,0.32843,0.0,43672
12086,STATFJORD ØST,1995,12,0.31998000000000004,0.01865,0.00909,0.0,0.34770999999999996,0.0,43672
12087,STATFJORD ØST,1996,1,0.29963,0.02154,0.01027,0.0,0.33143,0.0,43672
12088,STATFJORD ØST,1996,2,0.26106999999999997,0.01877,0.00902,0.0,0.28886,0.0,43672
12089,STATFJORD ØST,1996,3,0.27252,0.02059,0.009559999999999999,0.0,0.30267,0.0,43672
12090,STATFJORD ØST,1996,4,0.26164,0.01924,0.0084,0.0,0.28928000000000004,0.0,43672
12091,STATFJORD ØST,1996,5,0.21529,0.01605,0.00938,0.0,0.24072,0.0,43672
12092,STATFJORD ØST,1996,6,0.31466,0.01805,0.007890000000000001,0.0,0.3406,0.0,43672
12093,STATFJORD ØST,1996,7,0.31177,0.01925,0.007890000000000001,0.0,0.33891,0.0,43672
12094,STATFJORD ØST,1996,8,0.099,0.017480000000000002,0.00853,0.0,0.12500999999999998,0.0,43672
12095,STATFJORD ØST,1996,9,0.3157,0.01188,0.00801,0.0,0.33559,0.0,43672
12096,STATFJORD ØST,1996,10,0.31396,0.018019999999999998,0.00875,0.0,0.34073000000000003,0.0,43672
12097,STATFJORD ØST,1996,11,0.31072,0.01778,0.00824,0.0,0.33674,0.0,43672
12098,STATFJORD ØST,1996,12,0.3796,0.02254,0.01077,0.0,0.41291000000000005,0.0,43672
12099,STATFJORD ØST,1997,1,0.36617,0.02115,0.0114,0.0,0.39871999999999996,0.0,43672
12100,STATFJORD ØST,1997,2,0.31377,0.02005,0.01014,0.0,0.34396,0.0,43672
12101,STATFJORD ØST,1997,3,0.27956,0.02232,0.01143,0.0,0.3133,0.0,43672
12102,STATFJORD ØST,1997,4,0.342,0.020819999999999998,0.01126,0.0,0.37408,0.0,43672
12103,STATFJORD ØST,1997,5,0.33358000000000004,0.02168,0.01162,0.0,0.36687,0.0,43672
