prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
STATFJORD,1979,11,0.03413,0.00000,0.00000,0.00000,0.03413,0.00000,43658
STATFJORD,1979,12,0.22526,0.00000,0.00000,0.00000,0.22526,0.00000,43658
STATFJORD,1980,1,0.24105,0.00000,0.00000,0.00000,0.24105,0.00000,43658
STATFJORD,1980,2,0.22766,0.00000,0.00000,0.00000,0.22766,0.00000,43658
STATFJORD,1980,3,0.24871,0.00000,0.00000,0.00000,0.24871,0.00000,43658
STATFJORD,1980,4,0.28724,0.00000,0.00000,0.00000,0.28724,0.00000,43658
STATFJORD,1980,5,0.25327,0.00000,0.00000,0.00000,0.25327,0.00000,43658
STATFJORD,1980,6,0.29913,0.00000,0.00000,0.00000,0.29913,0.00000,43658
STATFJORD,1980,7,0.09689,0.00000,0.00000,0.00000,0.09689,0.00000,43658
STATFJORD,1980,8,0.27442,0.00000,0.00000,0.00000,0.27442,0.00000,43658
STATFJORD,1980,9,0.30123,0.00000,0.00000,0.00000,0.30123,0.00000,43658
STATFJORD,1980,10,0.31828,0.00000,0.00000,0.00000,0.31828,0.00000,43658
STATFJORD,1980,11,0.33615,0.00000,0.00000,0.00000,0.33615,0.00000,43658
STATFJORD,1980,12,0.54516,0.00000,0.00000,0.00000,0.54516,0.00000,43658
STATFJORD,1981,1,0.50285,0.00000,0.00000,0.00000,0.50285,0.00000,43658
STATFJORD,1981,2,0.50362,0.00000,0.00000,0.00000,0.50362,0.00000,43658
STATFJORD,1981,3,0.60099,0.00000,0.00000,0.00000,0.60099,0.00000,43658
STATFJORD,1981,4,0.45947,0.00000,0.00000,0.00000,0.45947,0.00000,43658
STATFJORD,1981,5,0.67133,0.00000,0.00000,0.00000,0.67133,0.00000,43658
STATFJORD,1981,6,0.81210,0.00000,0.00000,0.00000,0.81210,0.00000,43658
STATFJORD,1981,7,0.76763,0.00000,0.00000,0.00000,0.76763,0.00000,43658
STATFJORD,1981,8,0.74848,0.00000,0.00000,0.00000,0.74848,0.00000,43658
STATFJORD,1981,9,0.56267,0.00000,0.00000,0.00000,0.56267,0.00000,43658
STATFJORD,1981,10,0.59211,0.00000,0.00000,0.00000,0.59211,0.00000,43658
STATFJORD,1981,11,0.82456,0.00000,0.00000,0.00000,0.82456,0.00000,43658
STATFJORD,1981,12,0.88236,0.00000,0.00000,0.00000,0.88236,0.00000,43658
STATFJORD,1982,1,0.88106,0.00000,0.00000,0.00000,0.88106,0.00000,43658
STATFJORD,1982,2,0.81968,0.00000,0.00000,0.00000,0.81968,0.00000,43658
STATFJORD,1982,3,0.89850,0.00000,0.00000,0.00000,0.89850,0.00000,43658
STATFJORD,1982,4,1.02080,0.00000,0.00000,0.00000,1.02080,0.00000,43658
STATFJORD,1982,5,1.02998,0.00000,0.00000,0.00000,1.02998,0.00000,43658
STATFJORD,1982,6,0.66486,0.00000,0.00000,0.00000,0.66486,0.00000,43658
STATFJORD,1982,7,0.99262,0.00000,0.00000,0.00000,0.99262,0.00000,43658
STATFJORD,1982,8,0.97600,0.00000,0.00000,0.00000,0.97600,0.00000,43658
STATFJORD,1982,9,0.76077,0.00000,0.00000,0.00000,0.76077,0.00000,43658
STATFJORD,1982,10,0.71576,0.00000,0.00000,0.00000,0.71576,0.00000,43658
STATFJORD,1982,11,1.26007,0.00000,0.00000,0.00000,1.26007,0.00000,43658
STATFJORD,1982,12,1.37655,0.00000,0.00000,0.00000,1.37655,0.00000,43658
STATFJORD,1983,1,1.19070,0.00000,0.00000,0.00000,1.19070,0.00000,43658
STATFJORD,1983,2,1.50150,0.00000,0.00000,0.00000,1.50150,0.00000,43658
STATFJORD,1983,3,1.60898,0.00000,0.00000,0.00000,1.60898,0.00000,43658
STATFJORD,1983,4,1.62205,0.00000,0.00000,0.00000,1.62205,0.00000,43658
STATFJORD,1983,5,1.57304,0.00000,0.00000,0.00000,1.57304,0.00000,43658
STATFJORD,1983,6,1.64418,0.00000,0.00000,0.00000,1.64418,0.00000,43658
STATFJORD,1983,7,1.82647,0.00000,0.00000,0.00000,1.82647,0.00000,43658
STATFJORD,1983,8,1.36136,0.00000,0.00000,0.00000,1.36136,0.00000,43658
STATFJORD,1983,9,1.44284,0.00000,0.00000,0.00000,1.44284,0.00000,43658
STATFJORD,1983,10,1.71443,0.00000,0.00000,0.00000,1.71443,0.00000,43658
STATFJORD,1983,11,1.72126,0.00000,0.00000,0.00000,1.72126,0.00000,43658
STATFJORD,1983,12,1.83732,0.00000,0.00000,0.00000,1.83732,0.00000,43658
STATFJORD,1984,1,1.88828,0.00000,0.00000,0.00000,1.88828,0.00000,43658
STATFJORD,1984,2,1.49759,0.00000,0.00000,0.00000,1.49759,0.00000,43658
STATFJORD,1984,3,1.57519,0.00000,0.00000,0.00000,1.57519,0.00000,43658
STATFJORD,1984,4,1.72809,0.00000,0.00000,0.00000,1.72809,0.00000,43658
STATFJORD,1984,5,1.86196,0.00000,0.00000,0.00000,1.86196,0.00000,43658
STATFJORD,1984,6,1.79369,0.00000,0.00000,0.00000,1.79369,0.00000,43658
STATFJORD,1984,7,1.67049,0.00000,0.00000,0.00000,1.67049,0.00000,43658
STATFJORD,1984,8,2.13337,0.00000,0.00000,0.00000,2.13337,0.00000,43658
STATFJORD,1984,9,1.92741,0.00000,0.00000,0.00000,1.92741,0.00000,43658
STATFJORD,1984,10,2.14248,0.00000,0.00000,0.00000,2.14248,0.00000,43658
STATFJORD,1984,11,2.04553,0.00000,0.00000,0.00000,2.04553,0.00000,43658
STATFJORD,1984,12,2.17265,0.00000,0.00000,0.00000,2.17265,0.00000,43658
STATFJORD,1985,1,1.92255,0.00000,0.00000,0.00000,1.92255,0.00000,43658
STATFJORD,1985,2,1.78283,0.00000,0.00000,0.00000,1.78283,0.00000,43658
STATFJORD,1985,3,2.14648,0.00000,0.00000,0.00000,2.14648,0.00000,43658
STATFJORD,1985,4,2.12430,0.00000,0.00000,0.00000,2.12430,0.00000,43658
STATFJORD,1985,5,2.18681,0.00000,0.00000,0.00000,2.18681,0.00000,43658
STATFJORD,1985,6,1.76104,0.00000,0.00000,0.00000,1.76104,0.00000,43658
STATFJORD,1985,7,2.62388,0.00000,0.00000,0.00000,2.62388,0.00000,43658
STATFJORD,1985,8,2.60053,0.00000,0.00000,0.00000,2.60053,0.00000,43658
STATFJORD,1985,9,2.70094,0.00000,0.00000,0.00000,2.70094,0.00000,43658
STATFJORD,1985,10,2.97571,0.08965,0.05581,0.00000,3.12117,0.00000,43658
STATFJORD,1985,11,2.96679,0.09650,0.05498,0.00000,3.11827,0.00000,43658
STATFJORD,1985,12,2.96990,0.26812,0.19156,0.00000,3.42958,0.00000,43658
STATFJORD,1986,1,2.94399,0.29794,0.12848,0.00000,3.37041,0.00000,43658
STATFJORD,1986,2,2.71479,0.26674,0.07104,0.00000,3.05258,0.00000,43658
STATFJORD,1986,3,3.00246,0.25710,0.14958,0.00000,3.40914,0.00000,43658
STATFJORD,1986,4,0.99498,0.07946,0.04335,0.00000,1.11779,0.00000,43658
STATFJORD,1986,5,2.51752,0.23709,0.13664,0.00000,2.89124,0.00000,43658
STATFJORD,1986,6,2.88227,0.28776,0.16025,0.00000,3.33028,0.00000,43658
STATFJORD,1986,7,3.23259,0.27845,0.15539,0.00000,3.66643,0.00000,43658
STATFJORD,1986,8,3.29622,0.23267,0.14200,0.00000,3.67089,0.00000,43658
STATFJORD,1986,9,2.88541,0.23680,0.13036,0.00000,3.25258,0.00000,43658
STATFJORD,1986,10,3.23425,0.28229,0.16816,0.00000,3.68470,0.00000,43658
STATFJORD,1986,11,3.25359,0.26807,0.15916,0.00000,3.68081,0.00000,43658
STATFJORD,1986,12,3.32270,0.28591,0.20817,0.00000,3.81679,0.00000,43658
STATFJORD,1987,1,3.33602,0.28414,0.10849,0.00000,3.72865,0.00000,43658
STATFJORD,1987,2,2.63432,0.25970,0.13584,0.00000,3.02986,0.00000,43658
STATFJORD,1987,3,2.97712,0.27610,0.15720,0.00000,3.41042,0.00000,43658
STATFJORD,1987,4,3.00429,0.29312,0.17057,0.00000,3.46798,0.00000,43658
STATFJORD,1987,5,3.09050,0.27553,0.16075,0.00000,3.52677,0.00000,43658
STATFJORD,1987,6,2.27771,0.26349,0.14264,0.00000,2.68384,0.00000,43658
STATFJORD,1987,7,2.80133,0.27291,0.09945,0.00000,3.17369,0.00000,43658
STATFJORD,1987,8,2.72531,0.08906,0.04760,0.00000,2.86196,0.00000,43658
STATFJORD,1987,9,2.91668,0.25850,0.22223,0.00000,3.39740,0.00000,43658
STATFJORD,1987,10,3.11210,0.30344,0.17348,0.00000,3.58902,0.00000,43658
