,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
12561,TAMBAR,2001,7,0.04759,0.0,0.00197,0.0,0.04955,0.00029,1028599
12562,TAMBAR,2001,8,0.030310000000000004,0.0,0.0011099999999999999,0.0,0.03142,0.00018,1028599
12563,TAMBAR,2001,9,0.06386,0.0,0.00234,0.0,0.0662,0.00018,1028599
12564,TAMBAR,2001,10,0.10224,0.0,0.00515,0.0,0.10739000000000001,0.00061,1028599
12565,TAMBAR,2001,11,0.12913,0.0,0.0065,0.0,0.13564,0.0009699999999999999,1028599
12566,TAMBAR,2001,12,0.16185,0.0,0.00809,0.0,0.16994,0.0009699999999999999,1028599
12567,TAMBAR,2002,1,0.1487,0.0,0.007520000000000001,0.0,0.15622,0.00045999999999999996,1028599
12568,TAMBAR,2002,2,0.14720999999999998,0.0,0.007790000000000001,0.0,0.155,0.00044,1028599
12569,TAMBAR,2002,3,0.11885,0.0,0.00695,0.0,0.1258,0.00036,1028599
12570,TAMBAR,2002,4,0.15887,0.0,0.00821,0.0,0.16707,0.00047999999999999996,1028599
12571,TAMBAR,2002,5,0.14968,0.0,0.00762,0.0,0.15729,0.00045,1028599
12572,TAMBAR,2002,6,0.14562999999999998,0.0,0.0067599999999999995,0.0,0.15239,0.00044,1028599
12573,TAMBAR,2002,7,0.15103,0.0,0.00719,0.0,0.15822,0.00045,1028599
12574,TAMBAR,2002,8,0.1301,0.0,0.00662,0.0,0.13672,0.00039,1028599
12575,TAMBAR,2002,9,0.15554,0.0,0.00827,0.0,0.16380999999999998,0.00047000000000000004,1028599
12576,TAMBAR,2002,10,0.14054,0.0,0.006790000000000001,0.0,0.14734,0.00042,1028599
12577,TAMBAR,2002,11,0.1393,0.0,0.006959999999999999,0.0,0.14625,0.00042,1028599
12578,TAMBAR,2002,12,0.14106,0.0,0.00657,0.0,0.14762999999999998,0.00042,1028599
