prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
TOMMELITEN GAMMA,1988,10,0.05032,0.06067,0.00949,0.00000,0.12047,0.00000,43444
TOMMELITEN GAMMA,1988,11,0.07066,0.09066,0.01403,0.00000,0.17535,0.00000,43444
TOMMELITEN GAMMA,1988,12,0.08265,0.10352,0.01755,0.00000,0.20372,0.00000,43444
TOMMELITEN GAMMA,1989,1,0.07615,0.09205,0.01367,0.00000,0.18186,0.00000,43444
TOMMELITEN GAMMA,1989,2,0.07754,0.09484,0.01625,0.00000,0.18863,0.00000,43444
TOMMELITEN GAMMA,1989,3,0.07592,0.10005,0.01589,0.00000,0.19186,0.00000,43444
TOMMELITEN GAMMA,1989,4,0.04339,0.05856,0.00949,0.00000,0.11144,0.00000,43444
TOMMELITEN GAMMA,1989,5,0.02798,0.03579,0.00551,0.00000,0.06928,0.00000,43444
TOMMELITEN GAMMA,1989,6,0.04282,0.06159,0.00894,0.00000,0.11335,0.00000,43444
TOMMELITEN GAMMA,1989,7,0.07988,0.10861,0.01606,0.00000,0.20455,0.00000,43444
TOMMELITEN GAMMA,1989,8,0.07911,0.11171,0.01683,0.00000,0.20765,0.00000,43444
TOMMELITEN GAMMA,1989,9,0.07428,0.10765,0.01759,0.00000,0.19952,0.00000,43444
TOMMELITEN GAMMA,1989,10,0.07558,0.11336,0.01861,0.00000,0.20755,0.00000,43444
TOMMELITEN GAMMA,1989,11,0.06577,0.09614,0.01472,0.00000,0.17664,0.00000,43444
TOMMELITEN GAMMA,1989,12,0.06656,0.10548,0.01619,0.00000,0.18823,0.00000,43444
TOMMELITEN GAMMA,1990,1,0.06895,0.11512,0.01804,0.00000,0.20212,0.00000,43444
TOMMELITEN GAMMA,1990,2,0.06086,0.10010,0.01580,0.00000,0.17677,0.00000,43444
TOMMELITEN GAMMA,1990,3,0.06749,0.11655,0.01880,0.00000,0.20284,0.00000,43444
TOMMELITEN GAMMA,1990,4,0.06456,0.11228,0.01692,0.00000,0.19375,0.00000,43444
TOMMELITEN GAMMA,1990,5,0.05087,0.08731,0.01380,0.00000,0.15197,0.00000,43444
TOMMELITEN GAMMA,1990,6,0.05732,0.10576,0.01577,0.00000,0.17885,0.00000,43444
TOMMELITEN GAMMA,1990,7,0.04695,0.08314,0.01115,0.00000,0.14124,0.00000,43444
TOMMELITEN GAMMA,1990,8,0.05884,0.10955,0.01685,0.00000,0.18524,0.00000,43444
TOMMELITEN GAMMA,1990,9,0.05208,0.09868,0.01406,0.00000,0.16483,0.00000,43444
TOMMELITEN GAMMA,1990,10,0.05441,0.10770,0.01464,0.00000,0.17675,0.00000,43444
TOMMELITEN GAMMA,1990,11,0.05318,0.10470,0.01382,0.00000,0.17170,0.00000,43444
TOMMELITEN GAMMA,1990,12,0.05555,0.10923,0.01395,0.00000,0.17873,0.00000,43444
TOMMELITEN GAMMA,1991,1,0.05654,0.11049,0.01447,0.00000,0.18150,0.00000,43444
TOMMELITEN GAMMA,1991,2,0.04593,0.09519,0.01170,0.00000,0.15282,0.00000,43444
TOMMELITEN GAMMA,1991,3,0.05482,0.11506,0.01471,0.00000,0.18459,0.00000,43444
TOMMELITEN GAMMA,1991,4,0.04013,0.08811,0.01117,0.00000,0.13940,0.00000,43444
TOMMELITEN GAMMA,1991,5,0.04195,0.08846,0.01123,0.00000,0.14165,0.00000,43444
TOMMELITEN GAMMA,1991,6,0.04244,0.08598,0.01089,0.00000,0.13931,0.00000,43444
TOMMELITEN GAMMA,1991,7,0.02849,0.05907,0.00677,0.00000,0.09433,0.00000,43444
