,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
12862,TOR,1978,6,0.00223,0.0003,0.0,0.0,0.00253,0.0,43520
12863,TOR,1978,7,0.16537000000000002,0.05018,0.0,0.0,0.21555,0.0,43520
12864,TOR,1978,8,0.1867,0.051870000000000006,0.0,0.0,0.23856999999999998,0.0,43520
12865,TOR,1978,9,0.16999,0.04628,0.0,0.0,0.21627,0.0,43520
12866,TOR,1978,10,0.2096,0.05995,0.0,0.0,0.26955,0.0,43520
12867,TOR,1978,11,0.2141,0.055639999999999995,0.0,0.0,0.26974000000000004,0.0,43520
12868,TOR,1978,12,0.25937,0.07656,0.0,0.0,0.33593,0.0,43520
12869,TOR,1979,1,0.36324,0.09444,0.0,0.0,0.45768000000000003,0.0,43520
12870,TOR,1979,2,0.37395,0.10609,0.0,0.0,0.48003999999999997,0.0,43520
12871,TOR,1979,3,0.36598,0.10263,0.002,0.0,0.47061000000000003,0.0,43520
12872,TOR,1979,4,0.41002,0.10444,0.00805,0.0,0.52252,0.0,43520
12873,TOR,1979,5,0.38822,0.10146000000000001,0.00895,0.0,0.49863999999999997,0.0,43520
12874,TOR,1979,6,0.39246,0.09492,0.00974,0.0,0.49712,0.0,43520
12875,TOR,1979,7,0.41995,0.10359000000000002,0.01864,0.0,0.54218,0.0,43520
12876,TOR,1979,8,0.33962,0.08516,0.01719,0.0,0.44197,0.0,43520
12877,TOR,1979,9,0.36464,0.0891,0.0187,0.0,0.47243999999999997,0.0,43520
12878,TOR,1979,10,0.24354,0.06339,0.00995,0.0,0.31688,0.0,43520
12879,TOR,1979,11,0.44305,0.10722000000000001,0.02274,0.0,0.57301,0.0,43520
12880,TOR,1979,12,0.42162,0.10439000000000001,0.02398,0.0,0.54999,0.0,43520
12881,TOR,1980,1,0.41161000000000003,0.10380999999999999,0.02481,0.0,0.54022,0.0,43520
12882,TOR,1980,2,0.35706,0.09415,0.021730000000000003,0.0,0.47293999999999997,0.0,43520
12883,TOR,1980,3,0.38323,0.1004,0.02175,0.0,0.50537,0.0,43520
12884,TOR,1980,4,0.28269,0.0817,0.01814,0.0,0.38253000000000004,0.0,43520
12885,TOR,1980,5,0.33307,0.10517,0.02421,0.0,0.46243999999999996,0.0,43520
