prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
TORDIS,1994,6,0.10454,0.00000,0.00000,0.00000,0.10454,0.00000,43725
TORDIS,1994,7,0.13616,0.00673,0.00000,0.00000,0.14289,0.00000,43725
TORDIS,1994,8,0.07880,0.00567,0.00000,0.00000,0.08447,0.00000,43725
TORDIS,1994,9,0.22943,0.00639,0.00000,0.00000,0.23581,0.00000,43725
TORDIS,1994,10,0.30861,0.02279,0.01253,0.00000,0.34392,0.00000,43725
TORDIS,1994,11,0.33854,0.02527,0.01387,0.00000,0.37768,0.00000,43725
TORDIS,1994,12,0.35939,0.02613,0.01452,0.00000,0.40004,0.00000,43725
TORDIS,1995,1,0.36097,0.03106,0.01483,0.00000,0.40685,0.00000,43725
TORDIS,1995,2,0.31035,0.02211,0.01314,0.00000,0.34560,0.00000,43725
TORDIS,1995,3,0.36896,0.02485,0.01617,0.00000,0.40998,0.00000,43725
TORDIS,1995,4,0.36955,0.02193,0.01664,0.00000,0.40812,0.00000,43725
TORDIS,1995,5,0.38151,0.02471,0.01686,0.00000,0.42308,0.00000,43725
TORDIS,1995,6,0.35946,0.02182,0.01563,0.00000,0.39691,0.00000,43725
TORDIS,1995,7,0.36424,0.02472,0.01542,0.00000,0.40438,0.00000,43725
TORDIS,1995,8,0.20466,0.01235,0.00803,0.00000,0.22504,0.00000,43725
TORDIS,1995,9,0.32016,0.01821,0.01215,0.00000,0.35051,0.00000,43725
TORDIS,1995,10,0.36842,0.02627,0.01188,0.00000,0.40657,0.00000,43725
TORDIS,1995,11,0.34064,0.02724,0.01237,0.00000,0.38026,0.00000,43725
TORDIS,1995,12,0.39677,0.02277,0.01745,0.00000,0.43699,0.00000,43725
TORDIS,1996,1,0.45259,0.04005,0.01829,0.00000,0.51093,0.00000,43725
TORDIS,1996,2,0.40715,0.03020,0.01727,0.00000,0.45462,0.00000,43725
TORDIS,1996,3,0.42057,0.02796,0.01679,0.00000,0.46532,0.00000,43725
TORDIS,1996,4,0.37969,0.02897,0.01558,0.00000,0.42424,0.00000,43725
TORDIS,1996,5,0.34628,0.03149,0.01508,0.00000,0.39285,0.00000,43725
TORDIS,1996,6,0.37777,0.03134,0.01702,0.00000,0.42614,0.00000,43725
TORDIS,1996,7,0.37381,0.03315,0.01755,0.00000,0.42451,0.00000,43725
TORDIS,1996,8,0.37056,0.03610,0.01585,0.00000,0.42250,0.00000,43725
TORDIS,1996,9,0.35416,0.02473,0.01694,0.00000,0.39582,0.00000,43725
TORDIS,1996,10,0.14974,0.01763,0.00820,0.00000,0.17557,0.00000,43725
TORDIS,1996,11,0.44222,0.03183,0.02089,0.00000,0.49494,0.00000,43725
TORDIS,1996,12,0.42922,0.03043,0.01994,0.00000,0.47959,0.00000,43725
TORDIS,1997,1,0.41629,0.03244,0.01970,0.00000,0.46843,0.00000,43725
TORDIS,1997,2,0.33753,0.02607,0.01546,0.00000,0.37906,0.00000,43725
TORDIS,1997,3,0.32889,0.02686,0.01487,0.00000,0.37062,0.00000,43725
TORDIS,1997,4,0.28558,0.03271,0.01377,0.00000,0.33205,0.00000,43725
TORDIS,1997,5,0.36468,0.04091,0.01752,0.00000,0.42311,0.00000,43725
TORDIS,1997,6,0.33478,0.03966,0.01598,0.00000,0.39043,0.00000,43725
TORDIS,1997,7,0.35898,0.04138,0.01800,0.00000,0.41837,0.00000,43725
TORDIS,1997,8,0.35243,0.03941,0.01733,0.00000,0.40917,0.00000,43725
TORDIS,1997,9,0.32096,0.02446,0.00638,0.00000,0.35180,0.00000,43725
TORDIS,1997,10,0.33058,0.03066,0.02034,0.00000,0.38159,0.00000,43725
TORDIS,1997,11,0.33452,0.02697,0.01820,0.00000,0.37968,0.00000,43725
TORDIS,1997,12,0.35711,0.02852,0.01937,0.00000,0.40500,0.00000,43725
TORDIS,1998,1,0.34952,0.02460,0.01967,0.00000,0.39380,0.00000,43725
TORDIS,1998,2,0.30705,0.02267,0.01704,0.00000,0.34676,0.00000,43725
TORDIS,1998,3,0.34607,0.02560,0.01658,0.00000,0.38824,0.00000,43725
TORDIS,1998,4,0.31785,0.02342,0.01507,0.00000,0.35634,0.00000,43725
TORDIS,1998,5,0.36989,0.02376,0.01910,0.00000,0.41274,0.00000,43725
TORDIS,1998,6,0.36488,0.01610,0.01029,0.00000,0.39127,0.00000,43725
TORDIS,1998,7,0.35982,0.04308,0.02096,0.00000,0.42386,0.00000,43725
TORDIS,1998,8,0.10208,0.00386,0.00003,0.00000,0.10597,0.00000,43725
TORDIS,1998,9,0.36940,0.03851,0.02168,0.00000,0.42958,0.00000,43725
TORDIS,1998,10,0.37458,0.03946,0.01978,0.00000,0.43381,0.00000,43725
TORDIS,1998,11,0.33426,0.02829,0.01720,0.00000,0.37975,0.00000,43725
TORDIS,1998,12,0.37426,0.03109,0.01832,0.00000,0.42367,0.00000,43725
TORDIS,1999,1,0.40531,0.03305,0.01921,0.00000,0.45756,0.00000,43725
TORDIS,1999,2,0.36245,0.03313,0.02116,0.00000,0.41673,0.00000,43725
TORDIS,1999,3,0.39574,0.02770,0.01885,0.00000,0.44229,0.00000,43725
TORDIS,1999,4,0.37784,0.03005,0.01839,0.00000,0.42629,0.00000,43725
TORDIS,1999,5,0.36970,0.02812,0.01995,0.00000,0.41777,0.00000,43725
TORDIS,1999,6,0.38126,0.02919,0.01868,0.00000,0.42913,0.00000,43725
TORDIS,1999,7,0.41469,0.03122,0.02009,0.00000,0.46600,0.00000,43725
TORDIS,1999,8,0.39195,0.03036,0.02052,0.00000,0.44283,0.00000,43725
TORDIS,1999,9,0.37577,0.01150,0.00588,0.00000,0.39315,0.00000,43725
TORDIS,1999,10,0.13843,0.01402,0.00884,0.00000,0.16129,0.00000,43725
TORDIS,1999,11,0.39171,0.03030,0.01948,0.00000,0.44149,0.00000,43725
TORDIS,1999,12,0.41565,0.03945,0.02503,0.00000,0.48014,0.00000,43725
TORDIS,2000,1,0.38854,0.03668,0.02097,0.00000,0.44618,0.11154,43725
TORDIS,2000,2,0.35116,0.02893,0.01784,0.00000,0.39793,0.10685,43725
TORDIS,2000,3,0.38377,0.03107,0.01769,0.00000,0.43253,0.12223,43725
TORDIS,2000,4,0.12063,0.00951,0.00493,0.00000,0.13507,0.03356,43725
TORDIS,2000,5,0.39543,0.02159,0.01614,0.00000,0.43316,0.09104,43725
TORDIS,2000,6,0.38648,0.00720,0.00439,0.00000,0.39807,0.10980,43725
TORDIS,2000,7,0.39609,0.05194,0.03067,0.00000,0.47870,0.12352,43725
TORDIS,2000,8,0.35359,0.01434,0.00954,0.00000,0.37746,0.12939,43725
TORDIS,2000,9,0.36713,0.03489,0.02256,0.00000,0.42457,0.13646,43725
TORDIS,2000,10,0.14157,0.01244,0.00662,0.00000,0.16063,0.05230,43725
TORDIS,2000,11,0.28395,0.02115,0.01908,0.00000,0.32418,0.09519,43725
TORDIS,2000,12,0.42599,0.03456,0.02828,0.00000,0.48883,0.12055,43725
TORDIS,2001,1,0.42482,0.03242,0.02918,0.00000,0.48642,0.11034,43725
TORDIS,2001,2,0.36420,0.02445,0.01923,0.00000,0.40788,0.09825,43725
TORDIS,2001,3,0.42242,0.03006,0.02815,0.00000,0.48063,0.12700,43725
TORDIS,2001,4,0.42626,0.03068,0.02982,0.00000,0.48677,0.09436,43725
TORDIS,2001,5,0.13443,0.00849,0.00966,0.00000,0.15258,0.03400,43725
TORDIS,2001,6,0.42431,0.02961,0.03093,0.00000,0.48484,0.09486,43725
TORDIS,2001,7,0.44351,0.02984,0.02984,0.00000,0.50319,0.10054,43725
TORDIS,2001,8,0.38369,0.02761,0.02440,0.00000,0.43570,0.08358,43725
TORDIS,2001,9,0.42414,0.03000,0.02856,0.00000,0.48270,0.08969,43725
TORDIS,2001,10,0.44859,0.03232,0.03084,0.00000,0.51175,0.09569,43725
TORDIS,2001,11,0.39421,0.02705,0.02794,0.00000,0.44921,0.08922,43725
TORDIS,2001,12,0.46331,0.03395,0.03436,0.00000,0.53162,0.08580,43725
TORDIS,2002,1,0.44663,0.03215,0.03144,0.00000,0.51021,0.06489,43725
TORDIS,2002,2,0.43277,0.03150,0.03062,0.00000,0.49488,0.07289,43725
TORDIS,2002,3,0.19527,0.01323,0.01324,0.00000,0.22174,0.03411,43725
TORDIS,2002,4,0.38655,0.02674,0.02671,0.00000,0.44000,0.10283,43725
TORDIS,2002,5,0.40582,0.02681,0.02949,0.00000,0.46212,0.11269,43725
TORDIS,2002,6,0.35861,0.02209,0.02457,0.00000,0.40527,0.12492,43725
TORDIS,2002,7,0.37576,0.02488,0.02491,0.00000,0.42554,0.14184,43725
TORDIS,2002,8,0.39673,0.01584,0.01462,0.00000,0.42718,0.16136,43725
TORDIS,2002,9,0.39787,0.03527,0.03482,0.00000,0.46796,0.16486,43725
TORDIS,2002,10,0.41141,0.02995,0.02861,0.00000,0.46996,0.14401,43725
TORDIS,2002,11,0.39596,0.02794,0.02950,0.00000,0.45340,0.03860,43725
TORDIS,2002,12,0.41215,0.03052,0.03054,0.00000,0.47322,0.13963,43725
TORDIS,2003,1,0.41205,0.03174,0.02748,0.00000,0.47127,0.12052,43725
TORDIS,2003,2,0.38531,0.02928,0.02506,0.00000,0.43965,0.12191,43725
TORDIS,2003,3,0.41553,0.03318,0.02757,0.00000,0.47629,0.12682,43725
TORDIS,2003,4,0.37924,0.02831,0.02217,0.00000,0.42971,0.12218,43725
TORDIS,2003,5,0.40640,0.03046,0.02398,0.00000,0.46085,0.12746,43725
TORDIS,2003,6,0.37172,0.02975,0.02345,0.00000,0.42493,0.13871,43725
