prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
TROLL,1990,1,0.07188,0.00000,0.00000,0.00000,0.07188,0.00000,46437
TROLL,1990,2,0.07995,0.00000,0.00000,0.00000,0.07995,0.00000,46437
TROLL,1990,3,0.12061,0.00000,0.00000,0.00000,0.12061,0.00000,46437
TROLL,1990,4,0.12254,0.00000,0.00000,0.00000,0.12254,0.00000,46437
TROLL,1990,5,0.08272,0.00000,0.00000,0.00000,0.08272,0.00000,46437
TROLL,1990,6,0.12307,0.00000,0.00000,0.00000,0.12307,0.00000,46437
TROLL,1990,7,0.08253,0.00000,0.00000,0.00000,0.08253,0.00000,46437
TROLL,1990,8,0.08258,0.00000,0.00000,0.00000,0.08258,0.00000,46437
TROLL,1990,9,0.08106,0.00000,0.00000,0.00000,0.08106,0.00000,46437
TROLL,1990,10,0.08272,0.00000,0.00000,0.00000,0.08272,0.00000,46437
TROLL,1990,11,0.08042,0.00000,0.00000,0.00000,0.08042,0.00000,46437
TROLL,1990,12,0.04122,0.00000,0.00000,0.00000,0.04122,0.00000,46437
TROLL,1991,1,0.02680,0.00000,0.00000,0.00000,0.02680,0.00000,46437
TROLL,1991,2,0.02899,0.00000,0.00000,0.00000,0.02899,0.00000,46437
TROLL,1991,3,0.03069,0.00000,0.00000,0.00000,0.03069,0.00000,46437
TROLL,1991,4,0.02997,0.00000,0.00000,0.00000,0.02997,0.00000,46437
TROLL,1991,5,0.03008,0.00000,0.00000,0.00000,0.03008,0.00000,46437
TROLL,1991,6,0.00525,0.00000,0.00000,0.00000,0.00525,0.00000,46437
TROLL,1991,7,0.00344,0.00000,0.00000,0.00000,0.00344,0.00000,46437
TROLL,1991,8,0.00257,0.00000,0.00000,0.00000,0.00257,0.00000,46437
TROLL,1991,9,0.00436,0.00000,0.00000,0.00000,0.00436,0.00000,46437
TROLL,1991,10,0.00245,0.00000,0.00000,0.00000,0.00245,0.00000,46437
TROLL,1991,11,0.00558,0.00000,0.00000,0.00000,0.00558,0.00000,46437
TROLL,1991,12,0.00590,0.00000,0.00000,0.00000,0.00590,0.00000,46437
TROLL,1992,1,0.00537,0.00000,0.00000,0.00000,0.00537,0.00000,46437
TROLL,1992,2,0.00304,0.00000,0.00000,0.00000,0.00304,0.00000,46437
TROLL,1992,3,0.00545,0.00000,0.00000,0.00000,0.00545,0.00000,46437
TROLL,1992,4,0.00606,0.00000,0.00000,0.00000,0.00606,0.00000,46437
TROLL,1992,5,0.00505,0.00000,0.00000,0.00000,0.00505,0.00000,46437
TROLL,1992,6,0.00418,0.00000,0.00000,0.00000,0.00418,0.00000,46437
TROLL,1992,7,0.00558,0.00000,0.00000,0.00000,0.00558,0.00000,46437
TROLL,1992,8,0.00652,0.00000,0.00000,0.00000,0.00652,0.00000,46437
TROLL,1992,9,0.00624,0.00000,0.00000,0.00000,0.00624,0.00000,46437
TROLL,1992,10,0.00576,0.00000,0.00000,0.00000,0.00576,0.00000,46437
TROLL,1992,11,0.00503,0.00000,0.00000,0.00000,0.00503,0.00000,46437
TROLL,1992,12,0.00493,0.00000,0.00000,0.00000,0.00493,0.00000,46437
TROLL,1993,1,0.00515,0.00000,0.00000,0.00000,0.00515,0.00000,46437
TROLL,1993,2,0.00530,0.00000,0.00000,0.00000,0.00530,0.00000,46437
TROLL,1993,3,0.00434,0.00000,0.00000,0.00000,0.00434,0.00000,46437
TROLL,1993,4,0.00553,0.00000,0.00000,0.00000,0.00553,0.00000,46437
TROLL,1993,5,0.00512,0.00000,0.00000,0.00000,0.00512,0.00000,46437
TROLL,1993,6,0.00447,0.00000,0.00000,0.00000,0.00447,0.00000,46437
TROLL,1993,7,0.00590,0.00000,0.00000,0.00000,0.00590,0.00000,46437
TROLL,1993,8,0.00614,0.00000,0.00000,0.00000,0.00614,0.00000,46437
TROLL,1993,9,0.00543,0.00000,0.00000,0.00000,0.00543,0.00000,46437
