,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
13905,TRYM,2011,2,0.01772,0.024319999999999998,0.0,0.0,0.04204,0.0,18081500
13906,TRYM,2011,3,0.02052,0.02768,0.0,0.0,0.0482,0.0,18081500
13907,TRYM,2011,4,0.02054,0.02738,0.0,0.0,0.04792,0.0,18081500
13908,TRYM,2011,5,0.0356,0.04772,0.0,0.0,0.08332,0.0,18081500
13909,TRYM,2011,6,0.026560000000000004,0.0357,0.0,0.0,0.06226,0.0,18081500
13910,TRYM,2011,7,0.02955,0.03988,0.0,0.0,0.06942999999999999,0.0,18081500
13911,TRYM,2011,8,0.04189,0.05782999999999999,0.0,0.0,0.09972,0.0,18081500
13912,TRYM,2011,9,0.0374,0.05119,0.0,0.0,0.08857999999999999,0.0,18081500
13913,TRYM,2011,10,0.04034,0.0579,0.0,0.0,0.09823,0.0,18081500
13914,TRYM,2011,11,0.0336,0.04754,0.0,0.0,0.08113,0.0,18081500
13915,TRYM,2011,12,0.03036,0.04362,0.0,0.0,0.07399,0.0,18081500
13916,TRYM,2012,1,0.03985,0.06255,0.0,0.0,0.1024,0.0,18081500
13917,TRYM,2012,2,0.0342,0.05464,0.0,0.0,0.08885,0.0,18081500
13918,TRYM,2012,3,0.02356,0.04061,0.0,0.0,0.06417,0.0,18081500
13919,TRYM,2012,4,0.033960000000000004,0.05852,0.0,0.0,0.09247000000000001,0.0,18081500
13920,TRYM,2012,5,0.033819999999999996,0.06087000000000001,0.0,0.0,0.09469,0.0,18081500
13921,TRYM,2012,6,0.03048,0.05612,0.0,0.0,0.0866,0.0,18081500
13922,TRYM,2012,7,0.02519,0.047510000000000004,0.0,0.0,0.0727,0.0,18081500
13923,TRYM,2012,8,0.023119999999999998,0.042210000000000004,0.0,0.0,0.06532,0.0,18081500
13924,TRYM,2012,9,0.0246,0.04243,0.0,0.0,0.06702999999999999,0.0,18081500
13925,TRYM,2012,10,0.034480000000000004,0.06039,0.0,0.0,0.09487000000000001,0.0,18081500
13926,TRYM,2012,11,0.0317,0.05675,0.0,0.0,0.08845,0.0,18081500
13927,TRYM,2012,12,0.03394,0.060860000000000004,0.0,0.0,0.0948,0.0,18081500
13928,TRYM,2013,1,0.032060000000000005,0.05766,0.0,0.0,0.08971,0.0,18081500
13929,TRYM,2013,2,0.02843,0.0514,0.0,0.0,0.07983,0.0,18081500
13930,TRYM,2013,3,0.028260000000000004,0.0549,0.0,0.0,0.08317000000000001,0.0,18081500
13931,TRYM,2013,4,0.026930000000000003,0.0531,0.0,0.0,0.08002999999999999,0.0,18081500
13932,TRYM,2013,5,0.0,0.0,0.0,0.0,0.0,0.0,18081500
13933,TRYM,2013,6,0.0051,0.00563,0.0,0.0,0.01073,0.0,18081500
13934,TRYM,2013,7,0.00203,0.00309,0.0,0.0,0.00512,0.0,18081500
13935,TRYM,2013,8,0.0,0.0,0.0,0.0,0.0,0.0,18081500
13936,TRYM,2013,9,0.014469999999999998,0.02804,0.0,0.0,0.0425,0.0,18081500
13937,TRYM,2013,10,0.01831,0.035460000000000005,0.0,0.0,0.053770000000000005,0.0,18081500
13938,TRYM,2013,11,0.01818,0.03522,0.0,0.0,0.0534,0.0,18081500
13939,TRYM,2013,12,0.01818,0.04448,0.0,0.0,0.06266000000000001,0.0,18081500
13940,TRYM,2014,1,0.030889999999999997,0.057420000000000006,0.0,0.0,0.08831,0.0,18081500
13941,TRYM,2014,2,0.02456,0.05417999999999999,0.0,0.0,0.07873,0.0,18081500
13942,TRYM,2014,3,0.02305,0.050589999999999996,0.0,0.0,0.07365,0.0,18081500
13943,TRYM,2014,4,0.02444,0.05372999999999999,0.0,0.0,0.07817,0.0,18081500
13944,TRYM,2014,5,0.02509,0.0553,0.0,0.0,0.08039,0.0,18081500
13945,TRYM,2014,6,0.00402,0.009170000000000001,0.0,0.0,0.01319,0.0,18081500
13946,TRYM,2014,7,0.0,0.0,0.0,0.0,0.0,0.0,18081500
13947,TRYM,2014,8,0.007370000000000001,0.0175,0.0,0.0,0.02487,0.0,18081500
13948,TRYM,2014,9,0.01107,0.02655,0.0,0.0,0.03762,0.0,18081500
13949,TRYM,2014,10,0.02017,0.04887,0.0,0.0,0.06904,0.0,18081500
13950,TRYM,2014,11,0.0198,0.04796,0.0,0.0,0.06776,0.0,18081500
13951,TRYM,2014,12,0.00854,0.02185,0.0,0.0,0.030389999999999997,0.0,18081500
13952,TRYM,2015,1,0.015619999999999998,0.04019,0.0,0.0,0.055810000000000005,0.0,18081500
13953,TRYM,2015,2,0.016980000000000002,0.04387,0.0,0.0,0.06085,0.0,18081500
13954,TRYM,2015,3,0.01,0.0255,0.0,0.0,0.03549,0.0,18081500
13955,TRYM,2015,4,0.02169,0.056060000000000006,0.0,0.0,0.07776,0.0,18081500
13956,TRYM,2015,5,0.02118,0.05175,0.0,0.0,0.07293,0.0,18081500
13957,TRYM,2015,6,0.02109,0.051539999999999996,0.0,0.0,0.07263,0.0,18081500
13958,TRYM,2015,7,0.0196,0.05095,0.0,0.0,0.07055,0.0,18081500
13959,TRYM,2015,8,0.0163,0.04885,0.0,0.0,0.06515,0.0,18081500
13960,TRYM,2015,9,0.01687,0.05044,0.0,0.0,0.06731000000000001,0.0,18081500
13961,TRYM,2015,10,0.01499,0.04476,0.0,0.0,0.05975,0.0,18081500
13962,TRYM,2015,11,0.016,0.04768,0.0,0.0,0.06368,0.0,18081500
13963,TRYM,2015,12,0.00687,0.020040000000000002,0.0,0.0,0.026910000000000003,0.0,18081500
13964,TRYM,2016,1,0.0067,0.019469999999999998,0.0,0.0,0.02617,0.0,18081500
13965,TRYM,2016,2,0.00665,0.01959,0.0,0.0,0.02624,0.0,18081500
13966,TRYM,2016,3,0.01962,0.05836,0.0,0.0,0.07798,0.0,18081500
13967,TRYM,2016,4,0.00882,0.02624,0.0,0.0,0.03507,0.0,18081500
13968,TRYM,2016,5,0.0172,0.05113,0.0,0.0,0.06833,0.0,18081500
13969,TRYM,2016,6,0.016890000000000002,0.050339999999999996,0.0,0.0,0.06724,0.0,18081500
13970,TRYM,2016,7,0.01475,0.04475,0.0,0.0,0.0595,0.0,18081500
13971,TRYM,2016,8,0.01097,0.03316,0.0,0.0,0.04413,0.0,18081500
13972,TRYM,2016,9,0.01239,0.03753,0.0,0.0,0.04991,0.0,18081500
