prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
TYRIHANS,2009,1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3960848
TYRIHANS,2009,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3960848
TYRIHANS,2009,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3960848
TYRIHANS,2009,4,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3960848
TYRIHANS,2009,5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3960848
TYRIHANS,2009,6,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3960848
TYRIHANS,2009,7,0.15819,0.05451,0.02547,0.00000,0.23818,0.00094,3960848
TYRIHANS,2009,8,0.27775,0.08508,0.03470,0.00000,0.39754,0.00000,3960848
TYRIHANS,2009,9,0.28830,0.07130,0.03614,0.00000,0.39574,0.00013,3960848
TYRIHANS,2009,10,0.32658,0.08762,0.04279,0.00000,0.45699,0.00000,3960848
TYRIHANS,2009,11,0.28817,0.04926,0.02308,0.00000,0.36051,0.00000,3960848
TYRIHANS,2009,12,0.25716,0.00000,0.00000,0.00000,0.25716,0.00000,3960848
TYRIHANS,2010,1,0.26163,0.00419,0.00152,0.00000,0.26733,0.00000,3960848
TYRIHANS,2010,2,0.27086,0.00241,0.00090,0.00000,0.27417,0.00000,3960848
TYRIHANS,2010,3,0.22714,0.00000,0.00000,0.00000,0.22714,0.00000,3960848
TYRIHANS,2010,4,0.23969,0.00985,0.00423,0.00000,0.25377,0.00000,3960848
TYRIHANS,2010,5,0.35572,0.02012,0.00967,0.00000,0.38551,0.00005,3960848
TYRIHANS,2010,6,0.43389,0.00609,0.00270,0.00000,0.44267,0.00000,3960848
TYRIHANS,2010,7,0.44431,0.00000,0.00000,0.00000,0.44431,0.00000,3960848
TYRIHANS,2010,8,0.22540,0.00223,0.00091,0.00000,0.22854,0.00000,3960848
TYRIHANS,2010,9,0.30712,0.00055,0.00029,0.00000,0.30796,0.00000,3960848
TYRIHANS,2010,10,0.48553,0.00000,0.00000,0.00000,0.48553,0.00000,3960848
TYRIHANS,2010,11,0.48985,0.00000,0.00000,0.00000,0.48985,0.00000,3960848
TYRIHANS,2010,12,0.31493,0.00147,0.00061,0.00000,0.31700,0.00000,3960848
TYRIHANS,2011,1,0.51170,0.00000,0.00000,0.00000,0.51170,0.00000,3960848
TYRIHANS,2011,2,0.42311,0.00000,0.00000,0.00000,0.42311,0.00000,3960848
TYRIHANS,2011,3,0.42311,0.00000,0.00000,0.00000,0.42311,0.00000,3960848
TYRIHANS,2011,4,0.37397,0.00000,0.00000,0.00000,0.37397,0.00000,3960848
TYRIHANS,2011,5,0.44841,0.03762,0.01647,0.00000,0.50250,0.00000,3960848
TYRIHANS,2011,6,0.42365,0.04267,0.01798,0.00000,0.48430,0.00000,3960848
TYRIHANS,2011,7,0.39087,0.06108,0.02633,0.00000,0.47828,0.00000,3960848
TYRIHANS,2011,8,0.37399,0.06122,0.02867,0.00000,0.46388,0.00000,3960848
TYRIHANS,2011,9,0.48754,0.06773,0.03545,0.00000,0.59072,0.00000,3960848
TYRIHANS,2011,10,0.49074,0.00000,0.00000,0.00000,0.49074,0.00000,3960848
TYRIHANS,2011,11,0.38261,0.00000,0.00000,0.00000,0.38261,0.00000,3960848
TYRIHANS,2011,12,0.39117,0.00000,0.00000,0.00000,0.39117,0.00000,3960848
TYRIHANS,2012,1,0.46668,0.00000,0.00000,0.00000,0.46668,0.00000,3960848
TYRIHANS,2012,2,0.44352,0.00000,0.00000,0.00000,0.44352,0.00000,3960848
TYRIHANS,2012,3,0.48678,0.00000,0.00000,0.00000,0.48678,0.00409,3960848
TYRIHANS,2012,4,0.44799,0.00000,0.00000,0.00000,0.44799,0.02310,3960848
TYRIHANS,2012,5,0.42647,0.00000,0.00000,0.00000,0.42647,0.02336,3960848
TYRIHANS,2012,6,0.37771,0.00000,0.00000,0.00000,0.37771,0.02355,3960848
TYRIHANS,2012,7,0.43298,0.00000,0.00000,0.00000,0.43298,0.02280,3960848
TYRIHANS,2012,8,0.45004,0.00000,0.00000,0.00000,0.45004,0.02460,3960848
TYRIHANS,2012,9,0.37274,0.00000,0.00000,0.00000,0.37274,0.02144,3960848
TYRIHANS,2012,10,0.46670,0.01127,0.00584,0.00000,0.48381,0.02679,3960848
TYRIHANS,2012,11,0.39992,0.00634,0.00316,0.00000,0.40941,0.02586,3960848
TYRIHANS,2012,12,0.37656,0.00644,0.00324,0.00000,0.38624,0.02591,3960848
TYRIHANS,2013,1,0.34626,0.00949,0.00474,0.00000,0.36050,0.02361,3960848
TYRIHANS,2013,2,0.27815,0.00333,0.00159,0.00000,0.28307,0.01829,3960848
TYRIHANS,2013,3,0.35702,0.00330,0.00157,0.00000,0.36189,0.02479,3960848
TYRIHANS,2013,4,0.32854,0.05034,0.02284,0.00000,0.40172,0.02399,3960848
TYRIHANS,2013,5,0.32084,0.03050,0.01372,0.00000,0.36506,0.02457,3960848
TYRIHANS,2013,6,0.28677,0.03595,0.01578,0.00000,0.33850,0.02196,3960848
TYRIHANS,2013,7,0.37567,0.08011,0.03624,0.00000,0.49202,0.03057,3960848
TYRIHANS,2013,8,0.39895,0.11108,0.05173,0.00000,0.56176,0.03488,3960848
TYRIHANS,2013,9,0.06262,0.02805,0.01164,0.00000,0.10230,0.00559,3960848
TYRIHANS,2013,10,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3960848
TYRIHANS,2013,11,0.31067,0.00000,0.00000,0.00000,0.31067,0.02950,3960848
