prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
ULA,1986,10,0.12100,0.00020,0.00756,0.00000,0.12875,0.00000,43800
ULA,1986,11,0.29485,0.01598,0.02411,0.00000,0.33494,0.00000,43800
ULA,1986,12,0.43074,0.02178,0.03466,0.00000,0.48718,0.00000,43800
ULA,1987,1,0.43881,0.02759,0.03488,0.00000,0.50128,0.00000,43800
ULA,1987,2,0.39269,0.02832,0.03149,0.00000,0.45250,0.00000,43800
ULA,1987,3,0.34961,0.02428,0.03234,0.00000,0.40623,0.00000,43800
ULA,1987,4,0.42990,0.03131,0.03699,0.00000,0.49820,0.00000,43800
ULA,1987,5,0.44599,0.03069,0.03613,0.00000,0.51282,0.00000,43800
ULA,1987,6,0.28737,0.01893,0.02491,0.00000,0.33121,0.00000,43800
ULA,1987,7,0.45191,0.03197,0.04122,0.00000,0.52510,0.00000,43800
ULA,1987,8,0.12753,0.00918,0.01160,0.00000,0.14832,0.00000,43800
ULA,1987,9,0.39138,0.02593,0.03343,0.00000,0.45074,0.00000,43800
ULA,1987,10,0.45829,0.03382,0.04078,0.00000,0.53290,0.00000,43800
ULA,1987,11,0.42063,0.03000,0.03866,0.00000,0.48929,0.00000,43800
ULA,1987,12,0.38670,0.02801,0.03441,0.00000,0.44912,0.00000,43800
ULA,1988,1,0.45838,0.03502,0.04358,0.00000,0.53698,0.00000,43800
ULA,1988,2,0.41860,0.03017,0.04320,0.00000,0.49197,0.00000,43800
ULA,1988,3,0.45222,0.03247,0.04720,0.00000,0.53189,0.00000,43800
ULA,1988,4,0.44083,0.03143,0.04632,0.00000,0.51857,0.00000,43800
ULA,1988,5,0.42972,0.03031,0.03930,0.00000,0.49933,0.00000,43800
ULA,1988,6,0.31733,0.02261,0.03180,0.00000,0.37174,0.00000,43800
ULA,1988,7,0.46090,0.03279,0.04458,0.00000,0.53827,0.00000,43800
ULA,1988,8,0.44427,0.03059,0.04393,0.00000,0.51879,0.00000,43800
ULA,1988,9,0.42789,0.02958,0.04080,0.00000,0.49827,0.00000,43800
ULA,1988,10,0.41936,0.03047,0.04155,0.00000,0.49138,0.00000,43800
ULA,1988,11,0.43646,0.03111,0.04415,0.00000,0.51172,0.00000,43800
ULA,1988,12,0.35570,0.02489,0.03609,0.00000,0.41668,0.00000,43800
ULA,1989,1,0.46939,0.03230,0.04156,0.00000,0.54325,0.00000,43800
ULA,1989,2,0.36916,0.02545,0.03838,0.00000,0.43299,0.00000,43800
ULA,1989,3,0.45342,0.03041,0.04450,0.00000,0.52832,0.00000,43800
ULA,1989,4,0.40850,0.02853,0.04186,0.00000,0.47889,0.00000,43800
ULA,1989,5,0.45544,0.03174,0.04645,0.00000,0.53362,0.00000,43800
ULA,1989,6,0.34952,0.02263,0.03304,0.00000,0.40518,0.00000,43800
ULA,1989,7,0.44709,0.03038,0.04233,0.00000,0.51979,0.00000,43800
ULA,1989,8,0.43897,0.03080,0.04196,0.00000,0.51173,0.00000,43800
ULA,1989,9,0.44300,0.03172,0.04462,0.00000,0.51934,0.00000,43800
ULA,1989,10,0.43949,0.03024,0.04446,0.00000,0.51419,0.00000,43800
ULA,1989,11,0.40510,0.02749,0.03995,0.00000,0.47254,0.00000,43800
ULA,1989,12,0.37703,0.02632,0.03358,0.00000,0.43694,0.00000,43800
ULA,1990,1,0.46241,0.03132,0.04543,0.00000,0.53916,0.00000,43800
ULA,1990,2,0.41548,0.02859,0.04188,0.00000,0.48595,0.00000,43800
ULA,1990,3,0.45247,0.03180,0.04560,0.00000,0.52987,0.00000,43800
ULA,1990,4,0.44796,0.03059,0.04463,0.00000,0.52319,0.00000,43800
ULA,1990,5,0.32831,0.02258,0.03282,0.00000,0.38372,0.00000,43800
ULA,1990,6,0.45928,0.02991,0.04896,0.00000,0.53815,0.00000,43800
ULA,1990,7,0.43946,0.02885,0.03695,0.00000,0.50527,0.00000,43800
ULA,1990,8,0.49226,0.03340,0.04514,0.00000,0.57081,0.00000,43800
ULA,1990,9,0.45382,0.03106,0.04150,0.00000,0.52638,0.00000,43800
ULA,1990,10,0.50810,0.03670,0.04526,0.00000,0.59007,0.00000,43800
ULA,1990,11,0.51957,0.03576,0.04299,0.00000,0.59832,0.00000,43800
ULA,1990,12,0.52591,0.03524,0.04343,0.00000,0.60459,0.00000,43800
ULA,1991,1,0.55275,0.03686,0.04421,0.00000,0.63381,0.00000,43800
ULA,1991,2,0.50020,0.03253,0.03769,0.00000,0.57042,0.00000,43800
